"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","recordNumber","barcode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","individualCount","phylum","order"
"1","2020-11-26 18:07:30-03","CPAN-UFMS","COR","7686","PreservedSpecimen","Plantae","Cactaceae","Discocactus","ferricola","Discocactus ferricola","Buining & Brederoo","Geraldo A. Damasceno Jr.","Bortolotto, I.M. &Damasceno Junior, G.A., G.A.","1995","10","25","Brasil","Mato Grosso do Sul","Ladário","Próximo ao Morro Rabicho. Lajedo próximo ao morro; ;.","-57.6016998291016","-19.0046997070312","23141","Com Flor: branca","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:16:31-03","UFV","VIC","40002","PreservedSpecimen","Plantae","Cactaceae","Discocactus","ferricola","Discocactus ferricola","Buining & Brederoo","M.R.Santos","Santos, M.R.","2011","01","17","Brasil","Mato Grosso do Sul","Corumbá",NA,"-57.6533012390137","-19.0091991424561","295160","232m,sobre afloramento de canga,globoso, com várias plantulas provindas de crescimento vegetativo","auto","44","VIC040002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:16:31-03","UFV","VIC","40006","PreservedSpecimen","Plantae","Cactaceae","Discocactus","ferricola","Discocactus ferricola","Buining & Brederoo","M.R.Santos","Santos, M.R.","2011","01","18","Bolívia",NA,"Estrada para Gindal Steel",NA,NA,NA,NA,"247m,sobre afloramento de canga ,globoso",NA,"52","VIC040006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-07 11:42:02-03","UFMS","CGMS","53926","PreservedSpecimen","Plantae","Cactaceae","Discocactus","ferricola","Discocactus ferricola","Buining & Brederoo","V.J. Pott","V.J. Pott; A. Pott","2011","09","17","Brasil","Mato Grosso do Sul","Rio Verde de Mato Grosso","Fazenda Babaçu, na Serra da Pimenteira, Serra de Maracaju.","-55.0541667","-19.1344444",NA,"Flor branca. Fruto ausente. Muda. Flores em 12.XII.2011. Material em caixa. Habitat: Cerrado rupestre, presença de Pilosocereus machrisii. Laje arenítica com laterita (Ferro). Relevo quase plano. Habito: Cacto globoso, de 10 - 15 cm",NA,"11364","CGMS1083895","2011","09","17","-55,0541667","-19,1344444","344","344",NA,NA,NA,NA,NA
"5","2021-04-07 11:42:02-03","UFMS","CGMS","17537","PreservedSpecimen","Plantae","Cactaceae","Discocactus","ferricola","Discocactus ferricola","Buining & Brederoo",NA,"J.S. Garcia","2006","09","12","Brasil","Mato Grosso do Sul","Corumbá","Bancada Laterítica da Estrada Parque do Pantanal.","-57.5594444","-19.1655556",NA,"Flor branca-avermelhada. Flor branca por dentro e avermelhada por fora. Abre 1-noite após períodos de chuva.",NA,"55","CGMS1046836",NA,NA,NA,"-57,5594444","-19,1655556","107","107",NA,NA,NA,NA,NA
"6","2021-04-07 11:42:02-03","UFMS","CGMS","53922","PreservedSpecimen","Plantae","Cactaceae","Discocactus","ferricola","Discocactus ferricola","Buining & Brederoo","V.J. Pott; A. Pott","V.J. Pott; A. Pott","2004","11","26","Brasil","Mato Grosso do Sul","Corumbá","Banda Alta, próximo ao mirante; estrada da Manga (Estrada Parque), cerca de 7 km da BR-262.","-57.5597222","-19.1641667",NA,"Flor branca. Fruto maravilha. Pétalas e brácteas involucrais brancas com bordo rosado. Material em caixa. Habitat: Bancada laterítica com xerófitas (Deuterochonia meziana, Sellaginela sellowii. Solo minério de ferro. Relevo quase pla",NA,"7406","CGMS1083890",NA,NA,NA,"-57,5597222","-19,1641667","190","190",NA,NA,NA,NA,NA
"7","2013-11-21 10:12:00-02","MO","MOBOT","100655002","PreservedSpecimen","Plantae","Cactaceae","Discocactus","ferricola","Discocactus ferricola","Buining & Brederoo",NA,"L. Horst|W. Uebelmann",NA,NA,NA,"Bolivia",NA,NA,"Protected due to name conservation status",NA,NA,NA,NA,NA,"Horst HU 195",NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","South America","1",NA,NA
"8","2021-03-15 18:26:23-03","USP","SPF","212024","PreservedSpecimen","Plantae","Cactaceae","Discocactus","ferricola","Discocactus ferricola","Buining & Brederoo","Pace, MR","Pace, MR; Arruda, R; Angyalossy, V; Magalhães, LCS; Matos, DS","2011","10","23","Brasil","Mato Grosso do Sul","Corumbá","Rodovia MS 228. Bancada laterítica logo após a Fazenda Banda Alta. Estrada do Porto do Manga.","-57.61475","-19.096833",NA,"Cacto globoso, com 20 cm de altura. Localmente abundante.; Solo rico em minério de ferro. Cerrado.",NA,"126","SPF00212024","2011","10","23","-57.61475","-19.096833",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-12 16:58:42-03","UEL","FUEL","52832","PreservedSpecimen","Plantae","Cactaceae","Discocactus","ferricola","Discocactus ferricola","Buining & Brederoo",NA,"Rossetto, EFS; Molina, JMP; Ribeiro, JELS; Francisco, EM","2013","12","11","Brasil","Mato Grosso do Sul","Corumbá","Maciço do Urucum, Campo rochoso (rochas ricas em minério de ferro), área com notáveis populações de Deuterocohnia meziana","-57.558333","-19.166111",NA,"Fragmentos de caule coletados em sílica gel.",NA,"364",NA,NA,NA,NA,"-57.558333","-19.166111",NA,NA,NA,NA,NA,"Tracheophyta","Caryophyllales"
