"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","recordNumber","imagecode","identifiedBy","locality","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:36:11-03","E","E","304762","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","acerosa","Ditassa acerosa","Harley, R.M.; Souza, V.C.; Sakuragui, C.M.; Nic Lughadha, E.","1991","12","20","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:314629","<a href=http://data.rbge.org.uk/herb/E00304762 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00304762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","279089","PreservedSpecimen","Plantae","Apocynaceae","Ditassa","ericoides","Ditassa ericoides","Martii Herbar. Florae Brasil.",NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=716059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00279089","Magnoliophyta","Gentianales","Decne.","type","979","NY00279089_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","971810","PreservedSpecimen","Plantae","Apocynaceae","Minaria","acerosa","Minaria acerosa","A. F. M. Glaziou","1888",NA,NA,"South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971810","Magnoliophyta","Gentianales","(Mart.) T.U.P.Konno & Rapini",NA,"17146","NY00971810_01","S. Liede; U. Meve","Serra de Lenheiro.","-44.302262","-21.145111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","821841","PreservedSpecimen","Plantae","Apocynaceae","Minaria","acerosa","Minaria acerosa","G. G. Hatschbach","1964","12","03","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=904857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821841","Magnoliophyta","Gentianales","(Mart.) T.U.P.Konno & Rapini",NA,"11932","NY00821841_01","S. Liede; U. Meve","Serra das Furnas","-49.7056","-24.2511","Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","971815","PreservedSpecimen","Plantae","Apocynaceae","Minaria","acerosa","Minaria acerosa","H. S. Irwin","1970","03","06","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971815","Magnoliophyta","Gentianales","(Mart.) T.U.P.Konno & Rapini",NA,"27058","NY00971815_01","S. Liede; U. Meve","On middle slopes of Serra do Cabral, immediately E. of Joaquim Felício","-44.1708333","-17.7588","Joaquim Felício","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","04196948","PreservedSpecimen","Plantae","Apocynaceae","Minaria","acerosa","Minaria acerosa","J. R. I. Wood","2005","03","18","South America","Bolivia","Santa Cruz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4522348' target='other'> <mi>dwc_moreinfo</mi></a>","NY04196948","Magnoliophyta","Gentianales","(Mart.) T.U.P.Konno & Rapini",NA,"21909",NA,NA,"Chochis, Zone of pass across Chochis range climbing up from Chochis - Matacuzal trail","-59.58","-18.05","Chiquitos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","821836","PreservedSpecimen","Plantae","Apocynaceae","Minaria","acerosa","Minaria acerosa","R. M. Harley","1974","03","05","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821836","Magnoliophyta","Gentianales","(Mart.) T.U.P.Konno & Rapini",NA,"16795","NY00821836_01","S. Liede; U. Meve","Serra do Curral Feio. 8 km NW of Lagoinha (5.5 km SW of Delfino) on the road to Minas do Mimoso.","-41.28","-10.4",NA,"850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01081473","PreservedSpecimen","Plantae","Apocynaceae","Minaria","acerosa","Minaria acerosa","H. S. Irwin","1971","02","24","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018411' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081473","Magnoliophyta","Gentianales","(Mart.) T.U.P.Konno & Rapini",NA,"30872","NY01081473_01","S. Liede; U. Meve","Serra da Agua de Rega, ca. 23 km N. of Seabra, road to Agua de Rega, near Rio Riachão","-41.77805","-12.21875",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1014286","PreservedSpecimen","Plantae","Apocynaceae","Minaria","acerosa","Minaria acerosa","M. A. Farinaccio","2003","03","17","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1109518' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014286","Magnoliophyta","Gentianales","(Mart.) T.U.P.Konno & Rapini",NA,"520","NY01014286_01","C. Bitencourt","Parque Nacional da Serra da Canastra. Trilha para a Casca d'anta, parte de baixo.","-46.523696","-20.309647","São Roque de Minas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","971639","PreservedSpecimen","Plantae","Apocynaceae","Minaria","acerosa","Minaria acerosa","M. A. Farinaccio","1998","03","20","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971639","Magnoliophyta","Gentianales","(Mart.) T.U.P.Konno & Rapini",NA,"136","NY00971639_01","C. Bitencourt","Parque Nacional da Serra da Canastra.","-46.3656","-20.2456","São Roque de Minas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
