"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","individualCount","eventTime","fieldNumber"
"1","2021-04-05 14:25:37-03","UNESC","CRI","9702","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D.Legrand","M. Sobral","2010","01","25","M. Verdi; D. H. Klettenberg & A.L. Tomazi","3205","2009","11","28","Brasil","Santa Catarina","Siderópolis","Vila São Jorge.","-49.408889","-28.621944","49º24'32''W","28º37'19''S","43","43","Floresta Ombrófila Densa","CRI005198","CRI005198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","8024","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D.Legrand","Vanilde Citadini-Zanette","2007","12","27","Beatriz Wessler; Bruna Alberton",NA,"2007","12","26","Brasil","Santa Catarina","Criciúma",NA,"-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,NA,"CRI005197","CRI005197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579747","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D.Legrand","M. Sobral",NA,NA,NA,"G. G. Hatschbach","35744","1975","01","17","Brazil","Paraná","Morretes","Ilha do Malha.","-48.8342","-25.4769",NA,NA,NA,NA,"Xiloteca. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579747","NY00579747_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579748","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","8482","1959","02","20","Brazil","Santa Catarina","Lauro Muller","Novo Horizonte, Lauro Müller","-49.483071","-28.387264",NA,NA,"450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579748","NY00579748_01","Magnoliophyta","Myrtales","South America","sheet","paratype",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579749","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","9486","1960","01","29","Brazil","Santa Catarina","Sombrio","Garapuvu, Vista Alegre, Sombrio.","-49.6167","-29.1142",NA,NA,"20","20","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579749","NY00579749_01","Magnoliophyta","Myrtales","South America","sheet","possible isotype",NA,NA,NA,NA,NA,NA
"6","2020-01-20 14:40:42-03","UPM","MACK","1281","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D. Legrand","A. Stival-Santos","2010","03","10","A. Stival-Santos","1940","2010","03","10","Brasil","SC","Florianópolis","Floresta ombrofila densa submontana. Entorno do fragmento.","-48.5491981506348","-27.596700668335","S","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27000","auto",NA,NA,NA,NA
"7","2020-01-20 14:40:42-03","UPM","MACK","1333","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D. Legrand","M. Sobral","2010","01",NA,"M. Verdi; et al.","3175","2009","11","23","Brasil","SC","Morro Grande","Três Barras, floresta ombrofila densa, interior do fragmento","-49.7207984924316","-28.8006000518799","S","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22172","auto",NA,NA,NA,NA
"8","2020-02-08 10:06:07-03","NBC","NL-BOTANY","L.2503581","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","Le Grand",NA,NA,NA,NA,"Hatschbach GG",NA,"1951","08","03","Brazil",NA,NA,"Est. Parana (Brasil). Mun. Paranagua. Caioba.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2503581 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2503581","NL-L2503581",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"9","2020-02-08 10:06:07-03","NBC","NL-BOTANY","L.2503582","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","Le Grand",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","02","20","Brazil",NA,NA,"Santa Catarina. Novo Horizonte, Lauro Muller.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2503582 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2503582","NL-L2503582",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"10","2020-02-08 10:06:07-03","NBC","NL-BOTANY","WAG.1115052","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","Le Grand",NA,NA,NA,NA,"Hatschbach GG; Kummrow R",NA,"1975","01","17","Brazil",NA,NA,"Ilha do Malha (mun. Morretes) Paraná.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1115052 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1115052","NL-WAG1115052",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"11","2020-11-04 11:14:28-03","ESALQ","ESA","72956","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D.Legrand",NA,NA,NA,NA,"Oliveira, P.P.",NA,"1997","12","10","Brasil","Rio de Janeiro","Rio das Ostras",NA,"-41.9449996948242","-22.5268993377686",NA,NA,NA,NA,NA,"ESA072956","ESA072956","Magnoliophyta",NA,NA,NA,NA,"17620","auto",NA,NA,NA,NA
"12","2020-11-04 11:14:28-03","ESALQ","ESA","34985","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D.Legrand","Sobral, M.",NA,NA,NA,"Jarenkow, J.A. ; Falkenberg, D.B.","2300.0","1993","01","29","Brasil","Rio Grande do Sul","Morrinhos do Sul",NA,"-49.934700012207","-29.3649997711182",NA,NA,NA,NA,NA,"ESA034985","ESA034985","Magnoliophyta",NA,NA,NA,NA,"12766","auto",NA,NA,NA,NA
"13","2020-11-04 11:14:28-03","ESALQ","ESA","36416","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D.Legrand","Mazine, F.F.",NA,NA,NA,"Moraes, P. L. de R.","1249.0","1995","01","13","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA036416","ESA036416","Magnoliophyta",NA,NA,NA,NA,"27904","auto",NA,NA,NA,NA
"14","2020-11-04 11:14:28-03","ESALQ","ESA","15114","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","Legrand","Moraes, P.L.R.",NA,NA,NA,"Moraes, P.L.R. et al.","908.0","1994","04","21","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA015114","ESA015114","Magnoliophyta",NA,NA,NA,NA,"27904","auto",NA,NA,NA,NA
"15","2020-11-04 11:14:28-03","ESALQ","ESA","109438","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari",NA,NA,NA,NA,NA,"Duarte, A.R.","505.0",NA,NA,NA,"Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA109438","ESA109438","Magnoliophyta",NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA
"16","2020-11-04 11:14:28-03","ESALQ","ESA","109756","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari",NA,NA,NA,NA,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29330.0",NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA109756","ESA109756","Magnoliophyta",NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA
"17","2020-11-04 11:14:28-03","ESALQ","ESA","109838","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari",NA,NA,NA,NA,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29364.0",NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes","-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA109838","ESA109838","Magnoliophyta",NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA
"18","2020-11-04 11:14:28-03","ESALQ","ESA","85583","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari",NA,"Sobral, M.",NA,NA,NA,"Mazine, F.F. Lucas, E.; Souza, V.C.; Romão, G.O.; Souza, J. P .","968.0","2003","11","01","Brasil","Paraná","Cerro Azul",NA,"-49.261100769043","-24.823600769043",NA,NA,NA,NA,NA,"ESA085583","ESA085583","Magnoliophyta",NA,NA,NA,NA,"32006","auto",NA,NA,NA,NA
"19","2020-11-04 11:14:28-03","ESALQ","ESA","72955","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D.Legrand",NA,NA,NA,NA,"Oliveira, P.P.",NA,"1997","11","18","Brasil","Rio de Janeiro","Rio das Ostras",NA,"-41.9449996948242","-22.5268993377686",NA,NA,NA,NA,NA,"ESA072955","ESA072955","Magnoliophyta",NA,NA,NA,NA,"17620","auto",NA,NA,NA,NA
"20","2020-11-04 11:14:28-03","ESALQ","ESA","7842","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","Legrand","Moraes, P.L.R.",NA,NA,NA,"Moraes, P.L.R.","712.0","1992","09","10","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA007842","ESA007842","Magnoliophyta",NA,NA,NA,NA,"27904","auto",NA,NA,NA,NA
"21","2020-11-04 11:14:28-03","ESALQ","ESA","109408","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D. Legrand","Costa, R.F.",NA,NA,NA,"Duarte, A.R.","509.0",NA,NA,NA,"Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,NA,"ESA109408","ESA109408","Magnoliophyta",NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA
"22","2020-11-04 11:14:28-03","ESALQ","ESA","94888","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bacopari","Eugenia bacopari","D. Legrand","Souza, V.C.",NA,NA,NA,"Viani, R.A.G. et al.",NA,"2002","04","26","Brasil","Rio Grande do Sul","Barra do Ribeiro","Área da Riocell. Floresta Estacional.","-51.3011016845703","-30.2910995483398",NA,NA,NA,NA,NA,"ESA094888","ESA094888","Magnoliophyta",NA,NA,NA,NA,"31686","auto",NA,NA,NA,NA
