"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00909422","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","ericoides","Camarea ericoides","A.St.-Hil.","W. R. Anderson","J. H. Kirkbride Jr.","4440","1981","09","14","South America","Brazil","Distrito Federal","Brasília","2.4 km E de Colêgio Agrícola de Brasília e ca 1 km E de Rio Bartolomeu.","-47.67","-15.67","1030","1030","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909422","NY00909422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00909417","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","ericoides","Camarea ericoides","A.St.-Hil.","W. R. Anderson","R. Kral","75060","1988","09","24","South America","Brazil","Mato Grosso",NA,"Chapada Guimaraes, vicinity big vaterfall (Veu das Noivas).","-55.832445","-15.40761","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909417","NY00909417_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00909432","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","ericoides","Camarea ericoides","A.St.-Hil.",NA,"G. C. G. Argent","6506","1967","09","24","South America","Brazil","Mato Grosso",NA,"Xavantina. Brickworks near Olaria, just S. W. of Xavantina.","-52.23","-14.63",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909432","NY00909432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00909418","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","ericoides","Camarea ericoides","A.St.-Hil.","W. R. Anderson","R. Kral","75084","1988","09","26","South America","Brazil","Mato Grosso","Chapada dos Guimarães","Along road between Chapada do Guimaraes and Agua Fria.","-55.7494","-15.4608","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909418","NY00909418_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00909421","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","ericoides","Camarea ericoides","A.St.-Hil.","W. R. Anderson","G. T. Prance","18951","1973","10","14","South America","Brazil","Mato Grosso","Chapada dos Guimarães","Vicinity of Veu de Noiva.","-55.832445","-15.40761","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909421","NY00909421_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","818186","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","ericoides","Camarea ericoides","A.St.-Hil.","W. R. Anderson","V. L. Gomes-Klein","3299","1997","10","26","South America","Brazil","Goiás","Mossâmedes","Reserva Biológica Prof. José Angelo Rizzo - Serra Dourada, área próximo ao alojamento.","-50.215","-16.1269",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818186","NY00818186_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00909419","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","ericoides","Camarea ericoides","A.St.-Hil.","W. R. Anderson","P. E. Gibbs","2846","1976","09","09","South America","Brazil","Goiás","Caldas Novas","A 25 Km. da cidade rumo Catalão.","-48.6247","-17.7419",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909419","NY00909419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00980470","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","ericoides","Camarea ericoides","A.St.-Hil.","B. M. T. Walter","T. B. Cavalcanti","1813","1995","10","06","South America","Brazil","Goiás","Campinaçu","Estrada Niquelandia-Campinaçu","-48.5","-14.05","420","420","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980470","NY00980470_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00909416","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","ericoides","Camarea ericoides","A.St.-Hil.","W. R. Anderson","R. M. Harley","24808","1988","10","11","South America","Brazil","Minas Gerais","Curvelo","15 km ao sul da cidade, na estrada BR 135 para Paraopeba.","-44.47","-18.88","580","580","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909416","NY00909416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","818185","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","ericoides","Camarea ericoides","A.St.-Hil.",NA,"J. A. Ratter","R2513","1972","09","24","South America","Brazil","Goiás","Padre Bernardo","Region of Fazenda Lagoa Santa, Nr Padre Bernardo. About 140 km N of Brasília.","-48.58","-15.5",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818185","NY00818185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
