"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","individualCount"
"1","2020-09-23 10:36:10-03","E","E","196782","PreservedSpecimen","Plantae","Annonaceae","Duguetia","salicifolia","Duguetia salicifolia","Bohrer, C.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:228522","<a href=http://data.rbge.org.uk/herb/E00196782 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00196782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","823038","PreservedSpecimen","Plantae","Annonaceae","Duguetia","salicifolia","Duguetia salicifolia","F. Ehrendorfer","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823038","Magnoliophyta","Magnoliales","R.E.Fr.","P. J. M. Maas","73825-1342","1973","08","25","São Paulo","Paranapiacaba","-46.29971","-23.777841","NY00823038_01 NY00823038_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378938","PreservedSpecimen","Plantae","Annonaceae","Duguetia","salicifolia","Duguetia salicifolia","C. Lemos","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378938","Magnoliophyta","Magnoliales","R.E.Fr.","P. J. M. Maas","28313","1931","10","02","São Paulo","Alto de Serra","-46.4097","-23.71",NA,"Ribeirao Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378939","PreservedSpecimen","Plantae","Annonaceae","Duguetia","salicifolia","Duguetia salicifolia","F. C. Hoehne","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=547304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378939","Magnoliophyta","Magnoliales","R.E.Fr.","P. X. He; P. J. M. Maas",NA,"1936","10","28","São Paulo","Alto Serra","-46.4097","-23.71",NA,"Ribeirao Pires",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:28:36-03","UNESP-IBB","BOTU","8477","PreservedSpecimen","Plantae","Annonaceae","Duguetia","salicifolia","Duguetia salicifolia","Ehrendorfer, F.",NA,"Brasil",NA,NA,NA,"BOTU008477",NA,NA,"R.E.Fr.","Maas, P.J.M.","73825-13","1973","08","25","São Paulo","Paranapiacaba",NA,NA,"BOTU008477","Santo André","1999","01","01","9999","9999","800","900",NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:28:36-03","UNESP-IBB","BOTU","8474","PreservedSpecimen","Plantae","Annonaceae","Duguetia","salicifolia","Duguetia salicifolia",NA,NA,NA,NA,NA,NA,"BOTU008474",NA,NA,"R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTU008474",NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:33:35-03","EAO","IAN","39356","PreservedSpecimen","Plantae","Annonaceae","Duguetia","salicifolia","Duguetia salicifolia","Hoehne, FC; Gehrt, A","Southern America","Brasil",NA,NA,NA,"IAN039356","Dicotiledônea",NA,"R.E.Fr.",NA,"s.n.","1936","10","28","São Paulo","Alto Serra.","-46.6300010681152","-23.5400009155273",NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"8","2020-02-08 09:39:39-03","NBC","NL-BOTANY","U.1063131","PreservedSpecimen","Plantae","Annonaceae","Duguetia","salicifolia","Duguetia salicifolia","Romaniuc Neto S","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1063131 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1063131",NA,"Magnoliales","R.E.Fr.","Maas PJM",NA,"1989","04","30","São Paulo",NA,NA,NA,"NL-U1063131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0140870",NA,NA
"9","2020-02-08 09:39:39-03","NBC","NL-BOTANY","U.1063132","PreservedSpecimen","Plantae","Annonaceae","Duguetia","salicifolia","Duguetia salicifolia","Cordeiro I; et al.","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1063132 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1063132",NA,"Magnoliales","R.E.Fr.","Maas PJM; He P",NA,"1992","09","18","São Paulo",NA,NA,NA,"NL-U1063132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0140869",NA,NA
"10","2020-02-08 09:39:39-03","NBC","NL-BOTANY","U 0089502","PreservedSpecimen","Plantae","Annonaceae","Duguetia","salicifolia","Duguetia salicifolia","Cordeiro I; et al.","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200089502 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0089502",NA,"Magnoliales","R.E.Fr.","Maas PJM; He P",NA,"1992","09","18","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
