"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","barcode","dayIdentified","verbatimLongitude","verbatimLatitude","imagecode"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","547","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","repandostachys","Vriesea repandostachys","Leme","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Bruno Rezende Silva; Karl Green","2000","04","25","Brasil","Espírito Santo","Domingos Martins","Mata do Kautsky","-40.6591987609863","-20.3633003234863","48150","1","254","auto",NA,NA,NA,NA,NA
"2","2021-02-07 08:35:27-03","MN","R","214713","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","repandostachys","Vriesea repandostachys","Leme",NA,NA,NA,"Costa, A.F.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010018829",NA,NA,NA,NA
"3","2021-04-07 17:00:40-03","MN","R","225196","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","repandostachys","Vriesea repandostachys","Leme","Neves, B.F.S.","2015","08","Neves, B.F.S. 349; Jacques, S.S. & Almeida, M.C.","2015","08","20","Brasil","Espírito Santo","Domingos Martins","Mata do Instituto Kautsky","-40.659444","-20.374722",NA,NA,NA,NA,"R010016845","21","40°39'34''W","20°22'29''S","R010016845 R010016845_1 R010016845_2"
