"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","county","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00907555","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","flavescens","Eugenia flavescens","DC.","D. Philcox","3358","1967","12","04","South America","Brazil","Mato Grosso","E. of Km. 261, Xavantina-Cachimbo road","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907555","NY00907555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907558","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","flavescens","Eugenia flavescens","DC.","R. M. Harley","10380","1968","10","01","South America","Brazil","Mato Grosso","R 3, c. 2 km S.E. of base camp","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907558","NY00907558_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01450744","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","flavescens","Eugenia flavescens","DC.","H. H. Rusby","606","1886","10",NA,"South America","Brazil",NA,"Falls of Madeira.","-65.3465375","-10.7798649","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1683621' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450744","NY01450744_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00907582","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","flavescens","Eugenia flavescens","DC.","R. Vilhena","1008","1983","03","14","South America","Brazil","Maranhão","Funai, a 40 km da cidade do Arame",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907582","NY00907582_01","M. L. Kawasaki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00907579","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","flavescens","Eugenia flavescens","DC.","D. Philcox","4521","1968","03","12","South America","Brazil","Mato Grosso","1 km. E. of km. 264, Xavantina-Cachimbo road.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907579","NY00907579_01","G. E. Wickens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01450749","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","flavescens","Eugenia flavescens","DC.","S. A. Mori","20664","1989","07","31","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501(km41) of the WWF/INPA MCS Project.","-59.716667","-2.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1332837' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450749","NY01450749_01","M. L. Kawasaki","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01450756","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","flavescens","Eugenia flavescens","DC.","H. H. Rusby","606","1886","10",NA,"South America","Brazil",NA,"Falls of Madeira.","-65.3465375","-10.7798649","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1683882' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450756","NY01450756_01","B. K. Holst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01450750","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","flavescens","Eugenia flavescens","DC.","D. C. Daly","1151","1981","11","01","South America","Brazil","Pará","Approx. 18 km from Tucurui; 16 km S on old BR-422, then 2 km W on overgrown logging road.","-49.6735668","-3.9092619","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1334839' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450750",NA,"B. K. Holst",NA,NA,"Tucuruí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01450747","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","flavescens","Eugenia flavescens","DC.","G. T. Prance","9153","1969","01","08","South America","Brazil","Roraima","Ilha San Salvador near Lake Maiú, 40 Km. NW of Boa Vista","-60.9600807","3.0794101","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1335971' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450747","NY01450747_01","R. McVaugh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01450741","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","flavescens","Eugenia flavescens","DC.","D. C. Daly","1744","1981","12","05","South America","Brazil","Pará","Serra dos Carajás, 25-30 Km NW of Serra Norte mining camp","-50.433333","-5.916667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1335436' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450741","NY01450741_01","B. K. Holst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
