"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","fieldNumber","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","260199","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","pohliana","Stevia pohliana","Baker","isotype","J. B. E. Pohl","3340","South America","Brazil","Inter Fazenda do Rib. Manso & Mattinada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635037' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260199","NY00260199_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","847436","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","pohliana","Stevia pohliana","Baker",NA,"J. B. E. Pohl","2573","South America","Brazil","Ad Brejon prope S. Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=927777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847436","NY00847436_01","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","798956","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","pohliana","Stevia pohliana","Baker",NA,"H. S. Irwin","24879","South America","Brazil","Chapada dos Veadeiros. Campo ca. 12 km south of Alto do Paraíso (formerly Veadeiros)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798956","NY00798956_01","Goiás","H. E. Robinson","1969","03","22","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242","44724","1000","1000","auto",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","798980","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","pohliana","Stevia pohliana","Baker",NA,"W. R. Anderson","10413","South America","Brazil","Ca. 15 km (straight line) N of Corumbá de Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798980","NY00798980_01","Goiás","H. E. Robinson","1973","05","16","Cocalzinho de Goiás","-48.7757987976074","-15.7944002151489","56114","1230","1230","auto",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","798957","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","pohliana","Stevia pohliana","Baker",NA,"P. K. H. Dusén",NA,"South America","Brazil","Curityba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=635034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798957","NY00798957_01","Paraná","P. K. H. Dusén","1909","03","23","Curitiba","-49.2731","-25.4281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","847437","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","pohliana","Stevia pohliana","Baker",NA,"H. S. Irwin","26410","South America","Brazil","Rio Pipiripau, ca. 6 km SSE of Planaltina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=927779' target='other'> <mi>dwc_moreinfo</mi></a>","NY00847437","NY00847437_01","Distrito Federal","H. E. Robinson","1970","02","19","Brasília","-47.6586111","-15.6237",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:17:23-03","MBM","MBM","60387","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","pohliana","Stevia pohliana","Baker",NA,"Hatschbach, G.","33913","Southern America","Brazil","Serra dos Pirineus",NA,NA,"MBM060387","MBM060387","Paraná","Nakajima, J.N.","1974","04","26","Piraquara","-49.0633010864258","-25.4416999816895","12577",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:17:23-03","MBM","MBM","5142","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","pohliana","Stevia pohliana","Baker",NA,"Tessmann, G.","s.n.","Southern America","Brazil","Curitiba, 7-9km da cidade, estrada para Piraquara",NA,NA,"MBM005142","MBM005142","Paraná","Barroso, G.M.","1950","03","14","Curitiba","-49.2731018066406","-25.4277992248535","25180",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:17:23-03","MBM","MBM","72009","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","pohliana","Stevia pohliana","Baker",NA,"Hatschbach, G.","33913","Southern America","Brazil","Colônia Santa Maria",NA,NA,"MBM072009","MBM072009","Paraná","Nakajima, J.N.","1974","04","26","Piraquara","-49.0633010864258","-25.4416999816895","12577",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"10","2015-10-02 03:55:08-03","MNHN","RECOLNAT_MNHN_P","P00704334","PreservedSpecimen",NA,NA,NA,"Asteraceae","Stevia","pohliana","Stevia pohliana","Baker","isotype","Pohl, J.E.",NA,NA,"Brasilia","s.l.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00704334' target='other'> <mi>dwc_moreinfo</mi></a>","P00704334","P00704334_01",NA,"Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"464",NA,NA,NA,NA,NA,NA
