"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:41:40-03","E","E","104495","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusifolia","Ficus obtusifolia","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","07","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113738","<a href=http://data.rbge.org.uk/herb/E00104495 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 22:32:00-03","NY","NYBG","886795","PreservedSpecimen","Plantae","Moraceae","Ficus","gardneriana","Ficus gardneriana","B. Ernani Diaz","2000","06","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886795","Magnoliophyta","Rosales","J. P. P. Carauta","336","São Paulo","Campinas","Distrito de Cambuí, no Instituto Agronômico de Campinas, Comp. Bot. Monjlin","-47","-22.85","NY00886795_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02172509","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusifolia","Ficus obtusifolia","E. P. Heringer","1979","08","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326150' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172509","Magnoliophyta","Rosales",NA,"17449","Minas Gerais",NA,"Coleta efetuada entre Cristalina e Paracatu.",NA,NA,"NY02172509_01","Kunth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","818040","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusifolia","Ficus obtusifolia","G. G. Hatschbach","1980","08","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=856303' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818040","Magnoliophyta","Rosales","C. C. Berg","43086","Goiás","Cristalina","Rod. BR-040, 4 km L de Cristalina.","-47.6133","-16.7686","NY00818040_01","Kunth","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1801363","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusifolia","Ficus obtusifolia","L. P. de Queiroz","1994","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2020753' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801363","Magnoliophyta","Rosales",NA,"4100","Bahia","Barreiras","Rio de Janeiro, próximo a Cachoeira do Acaba-vida, a ca. 19 km da BR-242 na estrada para Cotias, entrando na BR-242 a ca. 70 km W de Barreiras","-45.48","-11.87","NY01801363_01","Kunth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","869415","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusifolia","Ficus obtusifolia","A. P. Duarte","1962","11","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869415","Magnoliophyta","Rosales","C. C. Berg","7507","Minas Gerais","Várzea da Palma","Varzea da Palma, Faz. Mãe d'Água.","-44.749531","-17.411382",NA,"Kunth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","869417","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusifolia","Ficus obtusifolia","E. P. Heringer","1976","01","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869417","Magnoliophyta","Rosales","C. C. Berg","15280","Goiás","Caldas Novas","Cia Termas do Rio Quente.","-48.6247","-17.7419","NY00869417_01","Kunth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","818048","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusifolia","Ficus obtusifolia","H. S. Irwin","1970","01","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=856481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818048","Magnoliophyta","Rosales","C. C. Berg","25167","Goiás","Catalão","Contraforte Central, ca. 22 km N.E. of Catalão","-47.80297","-18.02615","NY00818048_01","Kunth","875","875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02172504","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusifolia","Ficus obtusifolia","G. T. Prance","1971","07","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326140' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172504","Magnoliophyta","Rosales",NA,"14064","Amazonas",NA,"Rio Ituxi, vicinity of Bôca do Curuquetê","-65.6833","-8.3167","NY02172504_01","Kunth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2172527","PreservedSpecimen","Plantae","Moraceae","Ficus","obtusifolia","Ficus obtusifolia","J. M. Poole","1979","06","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326135' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172527","Magnoliophyta","Rosales",NA,"1602","Amazonas",NA,"Paraná Conceiçao and P. Tauatú, ca. 100 km NW of Manaus","-61","-2.5","NY02172527_01","Kunth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
