"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","day","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02450235","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Hypoxidaceae","Curculigo","scorzonaerifolia","Curculigo scorzonaerifolia","(Lam.) Baker","G. Davidse","17875","1980","04","South America","Brazil","Pará","Marapanim","Just east of the fishing village of Camara which is ca. 11 km NW of Marudá","-47.68","-0.62","2","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643249' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450235","NY02450235_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02450236","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Hypoxidaceae","Curculigo","scorzonaerifolia","Curculigo scorzonaerifolia","(Lam.) Baker","J. L. Zarucchi","2721","1979","10","South America","Brazil","Rondônia",NA,"Mineração Campo Novo (ca 100 km SW of Ariquemes).","-63.616667","-10.566667",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643253' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450236","NY02450236_01","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02450237","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Hypoxidaceae","Curculigo","scorzonerifolia","Curculigo scorzonerifolia","(Lam.) Baker","P. B. Cavalcante","2408","1970","02","South America","Brazil","Pará",NA,"Parque Indigena do Tumucumaque, Rio Parú de Oeste, Missão Tiriyo, Sede da Missâo","-55.75","2.33",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2644816' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450237","NY02450237_01","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","910770","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Hypoxidaceae","Curculigo","scorzonerifolia","Curculigo scorzonerifolia","(Lam.) Baker","R. de Lemos Fróes","11614","1939","02","South America","Brazil","Maranhão","São Luís","Estrada do Barreto. Island of São Luiz.","-44.3028","-2.5297",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910770","NY00910770_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","910767","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Hypoxidaceae","Curculigo","scorzonerifolia","Curculigo scorzonerifolia","(Lam.) Baker","H. S. Irwin","35004","1972","01","South America","Brazil","Goiás","Niquelândia","ca. 5 km W. of Niquelândia","-48.49637","-14.45","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910767","NY00910767_01","25","P. F. Ravenna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02450238","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Hypoxidaceae","Curculigo","scorzonerifolia","Curculigo scorzonerifolia","(Lam.) Baker","J. M. Pires","52581","1962","08","South America","Brazil","Amapá",NA,"Along right bank of Rio Calcoene, vic. Sete Ilhas","-50.92","2.5",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2644817' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450238","NY02450238_01","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","910769","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Hypoxidaceae","Curculigo","scorzonerifolia","Curculigo scorzonerifolia","(Lam.) Baker","W. W. Thomas","4448","1985","10","South America","Brazil","Mato Grosso","Luciara","1-5 km W of BR158, 43 km S of Porto Alegre do Norte","-51.75","-11.28",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910769","NY00910769_01","17","A. Herndon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","910768","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Hypoxidaceae","Curculigo","scorzonerifolia","Curculigo scorzonerifolia","(Lam.) Baker","H. S. Irwin","9351","1965","10","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 13 km N.W. of Veadeiros","-47.60183","-14.03362","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910768","NY00910768_01","20","P. F. Ravenna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","910765","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Hypoxidaceae","Curculigo","scorzonerifolia","Curculigo scorzonerifolia","(Lam.) Baker","H. S. Irwin","8907","1965","10","South America","Brazil","Distrito Federal","Brasília","Vicinity of Planaltina","-47.67","-15.62","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910765","NY00910765_01","03","P. F. Ravenna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","910762","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Hypoxidaceae","Curculigo","scorzonerifolia","Curculigo scorzonerifolia","(Lam.) Baker","E. P. Heringer","5642","1980","11","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994906' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910762","NY00910762_01","06","T. de S. Filgueiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
