"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2016-09-29 11:05:00-03","NY","NYBG","798032","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","macropoda","Piptocarpha macropoda","I. M. Krascheninnikov","L. Riedel","2385","1834","07","South America","Brazil","São Paulo","In sylvis pr. Va Franca","sheet","Iter Brasiliense 1833-35 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798032","NY00798032_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","861092","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","macropoda","Piptocarpha macropoda","H. E. Robinson","H. S. Irwin","18271","1966","07","South America","Brazil","Distrito Federal","Fazenda Vargem Bonita, ca. 10km. S. of Brasília, road to Belo Horizonte.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861092","NY00861092_01","(DC.) Baker","18","Brasília","-47.78","-15.85","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 11:05:00-03","NY","NYBG","798029","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","macropoda","Piptocarpha macropoda",NA,"G. J. Shepherd","10288","1979","08","South America","Brazil","São Paulo","Bairro Colonia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798029","NY00798029_01",NA,"14","Jundiaí","-46.88","-23.1803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","861105","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","macropoda","Piptocarpha macropoda",NA,"J. A. Ratter","R.4798","1982","09","South America","Brazil","Distrito Federal","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower. Córrego Capitinga.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861105","NY00861105_01","(DC.) Baker","14","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","798035","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","macropoda","Piptocarpha macropoda","H. E. Robinson","J. H. Kirkbride Jr.","5015","1982","10","South America","Brazil","Distrito Federal","Parque Florestal do Gama","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798035","NY00798035_01","(DC.) Baker","11","Brasília","-48.05","-16.05","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 11:05:00-03","NY","NYBG","798031","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","macropoda","Piptocarpha macropoda","G. L. Smith","G. L. Smith","968","1980","09","South America","Brazil","São Paulo","Serra do Bocaina. 6 km from Sao Jose da Barreiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798031","NY00798031_01",NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 11:05:00-03","NY","NYBG","798027","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","macropoda","Piptocarpha macropoda",NA,"G. Martinelli","92","1973","10","South America","Brazil","Rio de Janeiro","Vale das Videiras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798027","NY00798027_01",NA,"25","Petrópolis","-43.1783","-22.505","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 11:05:00-03","NY","NYBG","798025","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","macropoda","Piptocarpha macropoda","J. F. Pruski","C. A. Joly","6787","1977","06","South America","Brazil","São Paulo","Estrada da Serra das Cabras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798025","NY00798025_01",NA,"12","Campinas","-47.06","-22.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","885574","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","macropoda","Piptocarpha macropoda","R. L. Esteves","D. Fernandes","621","2001","11","South America","Brazil","Rio de Janeiro","Floresta da Tijuca, Morro do Sumaré, vertente norte abaixo das torres de televisão.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885574","NY00885574_01","(DC.) Baker","11","Rio de Janeiro","-43.232881","-22.951176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","861096","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","macropoda","Piptocarpha macropoda","H. E. Robinson","E. P. Heringer","1950","1979","08","South America","Brazil","Distrito Federal","Bacia do Rio São Bartolomeu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861096","NY00861096_01","(DC.) Baker","13","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
