"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","infraspecificEpithet","maximumElevationInMeters","typeStatus","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","sex"
"20","2021-03-15 16:37:00-03","NY","NYBG","555404","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.","R. Callejas Posada","R. P. Belém","1965","04","01","Brazil","Bahia","Ilhéus","-39.2273659","-14.771874",NA,NA,"NY00555404","NY00555404_01","Magnoliophyta","Piperales","650","South America","Centro de Pesquisas do cacau; CEPLAC, CEPEC.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263588' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","555398","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.","R. Callejas Posada","H. Ellenberg","1977","03","23","Peru","Ayacucho",NA,NA,NA,NA,NA,"NY00555398","NY00555398_01","Magnoliophyta","Piperales","7036","South America","Prov. Huanta/La Mar, Tambo, 37 km. Ayna","3250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104182' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","555400","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.","M. H. Nee","M. H. Nee","1994","01","08","Bolivia","Santa Cruz","Florida","-63.6916667","-18.1541667",NA,NA,"NY00555400","NY00555400_01","Magnoliophyta","Piperales","44402","South America","Quebrada La Coca, 7 km (by air) SW of Bermejo, ca. 0.5 km S of main highway from Santa Cruz to Samaipata","1130","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104181' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","04125136","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","Ruiz & Pav.",NA,"W. H. Camp","1944","11","17","Ecuador",NA,NA,"-78","-2.67",NA,NA,"NY04125136","NY04125136_01","Magnoliophyta","Piperales","E1300","South America","Santiago-Zamora: Oriente: Cordillera Cutucú","1372","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4444958' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","555397","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis brachyphylla","C.DC.",NA,"A. Fendler","1877",NA,NA,"Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"NY00555397","NY00555397_01","Magnoliophyta","Piperales","656","South America","Trinidad.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=403666' target='other'> <mi>dwc_moreinfo</mi></a>","brachyphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","250682","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis subnudicaulis","Yunck.",NA,"J. A. Steyermark","1943","06","12","Ecuador","Azuay",NA,NA,NA,NA,NA,"NY00250682","NY00250682_01","Magnoliophyta","Piperales","52963","South America","Between Cruz Pamba and Loma de Canela, in region of Rio Sadracay, tributary of Rio Mehuir, north of Molleturo","2315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663212' target='other'> <mi>dwc_moreinfo</mi></a>","subnudicaulis","2500","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","4125164","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis subnudicaulis","Yunck.",NA,"W. H. Camp","1945","05","19","Ecuador","Chimborazo",NA,"-78.981315","-2.2427802",NA,NA,"NY04125164","NY04125164_01","Magnoliophyta","Piperales","E3426","South America","Cañon of the río Chanchan, about 5 km. north of Huigra","1524","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4444994' target='other'> <mi>dwc_moreinfo</mi></a>","subnudicaulis","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 10:10:25-03","NBC","NL-BOTANY","L.1536627","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","R. & P.",NA,"Hatschbach GG","1960","02","11","Brazil",NA,NA,NA,NA,NA,NA,"NL-L1536627","NL-L1536627",NA,"Piperales",NA,"Southern America","Est Parana. Mun Cerro Azul. Turve.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1536627 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-02-08 10:10:25-03","NBC","NL-BOTANY","U.1476859","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","R. & P.",NA,"Wolf J","1985","09","21","Colombia",NA,NA,"-75.533333","4.85","-75.533333","4.85","NL-U1476859","NL-U1476859",NA,"Piperales",NA,"Southern America","Risaralda; Mnpio. de Sta. Rosa de Cabal; Ca. 300 m al E de Termales de Sta. Rosa.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1476859 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 10:10:25-03","NBC","NL-BOTANY","U.1476860","PreservedSpecimen","Plantae","Piperaceae","Peperomia","trinervis","Peperomia trinervis","R. & P.",NA,"Solomon JC","1984","12","23","Bolivia",NA,NA,NA,NA,NA,NA,"NL-U1476860","NL-U1476860",NA,"Piperales",NA,"Southern America","Dpto. La Paz; Prov. Murillo, 45.5 km below the dam at Lago Zongo, Zongo valley, Vicinity of Cahua hydroelectric plant.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1476860 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
