"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean"
"1","2020-10-14 10:00:18-03","FURB","FURB","14144","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","muelleri","Vriesea muelleri","Mez","Costa, A","2011","10","03","Stival-Santos, A.; Legal, E. & Silveira, S.","926","2009","09","25","Brasil","Santa Catarina","Ilhota","Baú.","-48.8711111","-26.8197223","-48.8711111","-26.8197223","106","106","Florística IFFSC 752 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; beira da estrada Habito: erva terrícola; flor bráctea vermelha, flor amarelo-esverdeado","FURB01176","FURB01176",NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","2454575","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","muelleri","Vriesea muelleri","Mez",NA,NA,NA,NA,"Mueller","Mueller s.n.",NA,NA,NA,"Brazil","Santa Catarina",NA,"Blumenau.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America"
