"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","county","coordinatePrecision","geoFlag","fieldNumber","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","2109047","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson ex Malme","H. S. Irwin","22497","1969","01","23","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 20 km S.W. of Diamantina","-43.68361111","-18.3580556","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2276106' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109047","NY02109047_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02109115","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson ex Malme","B. Maguire","49102","1960","08","08","South America","Brazil","Minas Gerais","Summit of Serra do Cipó, Km. 120-140 on road from Hotel Chapeu do Sol to Concepcao",NA,NA,"1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2275408' target='other'> <mi>dwc_moreinfo</mi></a>","NY02109115","NY02109115_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:54:35-03","EAO","IAN","35045","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","Nilsson","Glaziou, AFM","19948",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN035045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:39:17-02","BGBM","B","B 10 0242225","S","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A.Nilsson & Malme","A. F. M. Glaziou","19948","1891",NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100242225 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242225","B100242225","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:47:51-03","MBM","MBM","68080","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson","Irwin, H.S.; et al.; et al.","22497","1969","01","23","Southern America","Brazil","Minas Gerais","Diamantina, 20km SW","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"MBM068080","MBM068080",NA,"Kral, R.","Diamantina","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2003-11-13 10:37:41-02","MNHN","RECOLNAT_MNHN_P","P00753724","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","Alb.Nilson","Glaziou, A.",NA,"1892","4",NA,NA,"Brésil",NA,"Province de Minas : Cipo",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753724' target='other'> <mi>dwc_moreinfo</mi></a>","P00753724","P00753724_01","isotype","Smith & Downs",NA,NA,NA,"19948",NA,NA,NA,NA,NA,NA,NA
"7","2015-09-03 21:42:20-03","MNHN","RECOLNAT_MNHN_P","P01727366","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","Alb.Nilson","Glaziou, A.",NA,"1892","4",NA,NA,"Brésil",NA,"Province de Minas : Cipo",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01727366' target='other'> <mi>dwc_moreinfo</mi></a>","P01727366","P01727366_01 P01727366_02","isotype","Wandrley",NA,NA,NA,"19948",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:45:36-03","UFMG","BHCB","126850","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","Echternacht, LA; Bastos, TV","1715","2008","07","04","Southern America","Brasil","Minas Gerais","Serra dos Alves, Próximo ao córrego do Campo","-43.458056","-19.505",NA,NA,NA,"Erva ca. 2m. Brácteas involucrais castanho escuras, folhas com base rubra, escapo verde; Campo limpo, arenoso, brejoso","BHCB049226",NA,NA,NA,"Itabira",NA,NA,NA,"2018","12","-43.458056","-19.505",NA,NA,NA
"9","2020-12-11 11:45:36-03","UFMG","BHCB","149656","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","Mota, NFO; Freitas, GHS; Costa, LM","2210","2011","04","08","Southern America","Brasil","Minas Gerais","PARNA Serra do Cipó - trilha do vale do córrego do, Brejo associado à capão da nascente do córrego do Lajeado.","-43.505833","-19.296389","1362","1362",NA,"Erva cespitosa. Base das bainhas vermelhas com mucilagem hialina. Escapo com 1,6m de altura. Espigas castanhas.",NA,NA,NA,NA,"Morro do Pilar",NA,NA,NA,NA,NA,"-43.505833","-19.296389",NA,NA,NA
"10","2020-12-11 11:45:36-03","UFMG","BHCB","4041","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","platystachya","Xyris platystachya","L.A. Nilsson ex Malme","Pedro","s.n.","1982","08",NA,"Southern America","Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,"variedade:macrocephala;terrestre,arenoso;herbáceo;capítulos ovóides,grandes;folhas grandes",NA,NA,NA,NA,"Diamantina","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
