"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","dayIdentified","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","871910","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) Roque","H. S. Irwin","22393","1969","01","21","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 20 km S.W. of Diamantina","-43.6836","-18.358","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871910","NY00871910_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","871909","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) Roque","H. S. Irwin","20069","1968","02","14","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871909","NY00871909_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","871908","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Richterago","angustifolia","Richterago angustifolia","(Gardner) Roque","N. Roque","351","1997","09","24","South America","Brazil","Minas Gerais","Serra do Cipó, km 107,8 da Estrada BH-Conceção do Mato Dentro (MG 010), lado direito.","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934153' target='other'> <mi>dwc_moreinfo</mi></a>","NY00871908","NY00871908_01","N. Roque","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:18:58-03","UFRJ","RFA","11982","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Actinoseris","angustifolia","Actinoseris angustifolia","(Gardner) Cabrera","G.G. Hatschbach","27310","1971","09","06",NA,"Brasil","Minas Gerais","Serra do Espinhaço","-43.7407989501953","-18.4543991088867","1200","1200",NA,"Flor alva","RFA11419",NA,"G.M. Barroso","Gouveia","1971","37970","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:34:26-03","EAO","IAN","104594","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Actinoseris","angustifolia","Actinoseris angustifolia","(Less.) Cabrera","Magalhães, MG","2857","1943","02","06","Southern America","Brasil","Minas Gerais","Campo.",NA,NA,NA,NA,NA,"Herbácea, flor alva.","IAN104594",NA,"Barroso, GM",NA,"1984",NA,NA,"02",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:34:26-03","EAO","IAN","107742","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Actinoseris","angustifolia","Actinoseris angustifolia","(Less.) Cabrera","Magalhães, MG","16983","1958","02",NA,"Southern America","Brasil","Minas Gerais","Campo graminoso, arenoso, serra do Cipó.",NA,NA,NA,NA,NA,"Árvore de 0,30-0,40m de altura; flor amarela, frequente.","IAN107742",NA,"Barroso, GM",NA,"1984",NA,NA,"02",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:34:26-03","EAO","IAN","135502","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Actinoseris","angustifolia","Actinoseris angustifolia","(Less.) Cabrera","Irwin, HS; Maxwell, HS","19995","1968","02","14","Southern America","Brasil","Goiás","Sandy camp with outcrops, Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).",NA,NA,"1200","1200",NA,"Rosette herb, the inflorescence to ca. 1m tall. Heads white. Common.","IAN135502",NA,"Barroso, GM",NA,"1984",NA,NA,"02",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:34:26-03","EAO","IAN","135506","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Actinoseris","angustifolia","Actinoseris angustifolia","(Less.) Cabrera","Irwin, HS; Maxwell, HS","20069","1968","02","14","Southern America","Brasil","Goiás","Hillside seep. Sandy camp with outcrops, Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).",NA,NA,"1200","1200",NA,"Acaulescent, the inflorescence to ca. 35cm tall. Heads white. Hillside seep.","IAN135506",NA,"Barroso, GM",NA,"1984",NA,NA,"02",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:34:26-03","EAO","IAN","63527","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Actinoseris","angustifolia","Actinoseris angustifolia","(Less.) Cabrera","Pires, JM; Black, GA","2973","1951","01",NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"IAN063527","IAN063527 IAN063527_e","Barroso, GM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:34:26-03","EAO","IAN","69744","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Actinoseris","angustifolia","Actinoseris angustifolia","(Less.) Cabrera","Black, GA; Magalhães, MG","11920","1951","04","05","Southern America","Brasil","Minas Gerais","Perto do Hotel Palácio.",NA,NA,NA,NA,NA,NA,"IAN069744",NA,"Barroso, GM","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
