"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","day","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","infraspecificEpithet","relatedCatalogItem"
"1","2016-09-29 14:07:00-03","NY","NYBG","405507","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","apiculata","Myrciaria apiculata","isotype","E. Hassler","8386","1901","01","South America","Paraguay","Iter ad Paraguariam Septentrionalem; In regione cursus superioris fluminis Apa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405507","NY00405507_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00908329","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"H. S. Irwin","25827","1970","02","South America","Brazil","Serra dos Óculos, ca. 60 km N.E. of Patrocínio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908329","NY00908329_01","O.Berg","M. Sobral","01","Minas Gerais","-46.8","-18.66669","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","616682","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"K. Hagelund","13404","1981","01","South America","Brazil","Fazenda Faxinal - Arroio dos Ratos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616682","NY00616682_01","O.Berg","J. Mattos","01","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 17:15:00-03","NY","NYBG","616733","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"C. M. Evrard","8207","1977","10","South America","Bolivia","Fortin Suarez Arana","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616733",NA,NA,"M. Sobral","10","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00908330","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"W. R. Anderson","35662","1972","02","South America","Brazil","Serra do Espinhaço, South-eastern drainage of Pico do Itambé, about 5 km directly west and north of Santo Antonio do Itambé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908330","NY00908330_01","O.Berg","M. Sobral","09","Minas Gerais","-43.351","-18.4489","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","616691","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"G. G. Hatschbach","16595","1967","06","South America","Brazil","Bank of Rio S. Vicente, 12 km S of Sta. Helena","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683445' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616691","NY00616691_01","O.Berg","M. Sobral","19","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616687","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"P. K. H. Dusén","13077","1911","09","South America","Brazil","Jaguariahyva","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683434' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616687","NY00616687_01","O.Berg","M. Sobral","29","Paraná","-49.713647","-24.340602",NA,NA,"Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","616690","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"G. Jönsson","414a","1914","05","South America","Brazil","Jaguariahyva","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616690","NY00616690_01","O.Berg","M. Sobral","22","Paraná","-49.713647","-24.340602","740","740","Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","616681","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"R. Reitz","17918","1965","12","South America","Brazil","Rio das Mortes, Jaguariaiva","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683444' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616681","NY00616681_01","O.Berg","M. Sobral","18","Paraná","-49.7056","-24.2511","850","850","Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00908327","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"H. S. Irwin","23419","1969","02","South America","Brazil","Serra do Espinhaço, immediately north of Grão Mogol","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908327","NY00908327_01","O.Berg","M. Sobral","17","Minas Gerais","-42.8944","-16.56475","950","950","Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00908306","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"G. G. Hatschbach","36166","1975","02","South America","Brazil","Serra da Petrolina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908306","NY00908306_01","O.Berg","M. Sobral","11","Mato Grosso","-54.6356","-16.4708",NA,NA,"Rondonópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","616678","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"R. Callejas Posada","1956","1983","12","South America","Paraguay","Pedro Juan Caballero (Ponta Pora) 30 km O. de Pedo Juan Caballero","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616678",NA,"O.Berg","M. L. Kawasaki","15","Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00908326","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"H. S. Irwin","16571","1966","06","South America","Brazil","Ca. 94 km. N. of Xavantina. Serra do Roncador.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908326","NY00908326_01","O.Berg","M. Sobral","04","Mato Grosso","-52.07","-13.87","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","616686","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"R. A. Wasum","3717","1988","01","South America","Brazil","Flores da Cunha - Otávio Rocha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616686","NY00616686_01","O.Berg","S. F. Smith","24","Rio Grande do Sul","-51.26034","-29.061484","750","750","Flores da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","616683","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"K. Hagelund","13740","1982","01","South America","Brazil","Fazenda Faxinal - Arroio dos Ratos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616683","NY00616683_01","O.Berg",NA,"20","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","616684","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"R. A. Wasum","3717","1988","01","South America","Brazil","Flores da Cunha - Otavio Rocha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616684","NY00616684_01","O.Berg","S. F. Smith","24","Rio Grande do Sul","-51.26034","-29.061484","750","750","Flores da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00908328","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"H. S. Irwin","25592","1970","01","South America","Brazil","Morro da Pedras, ca. 37 km N.E. of Patrocínio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908328","NY00908328_01","O.Berg","M. Sobral","29","Minas Gerais","-43.2485756","-19.9480039","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","616689","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata",NA,"P. K. H. Dusén","9129","1910","01","South America","Brazil","Vila Velha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616689","NY00616689_01","O.Berg","M. Sobral","25","Paraná","-50.012929","-25.234872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
