"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01198677","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","confusa","Coccoloba confusa","R.A.Howard","D. E. Atha","A. M. Amorim","3747","2003","07","17","South America","Brazil","Bahia","Jussari","RPPN Serra do Teimoso, Rod. Jussari - Palmira, entra ca. 7.5 km de Jussari, Faz. Teimoso. Coletas efetuadas nas parcelas do inventario florestal","-39.5389","-15.1619","641","641","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410549' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198677","NY01198677_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","628790","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","confusa","Coccoloba confusa","R.A.Howard","C. M. Rizzini","J. Bowie","58","1814",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628790","NY00628790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","484839","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","confusa","Coccoloba confusa","R.A.Howard","R. A. Howard","B. Luschnath",NA,NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484839","NY00484839_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","484435","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","confusa","Coccoloba confusa","R.A.Howard",NA,"W. W. Thomas","10202","1994","01","30","South America","Brazil","Bahia","Ilhéus","10 km south of Ilhéus (Pontal) on road to Olivença, then 3 km west, Fazenda Manquinho","-39.08","-14.92",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484435","NY00484435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01198686","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","confusa","Coccoloba confusa","R.A.Howard","D. E. Atha","P. Fiaschi","2164","2004","03","28","South America","Brazil","Bahia","Valença","Estrada Valença-Guaibim, ca. 2 km, entrada à esquerda, 8 km, ramo vicinal à esquerda. RPPN Água Branca.","-39.0902778","-13.3288889","220","220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410548' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198686","NY01198686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","628789","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","confusa","Coccoloba confusa","R.A.Howard","C. M. Rizzini","E. Pereira","424A","1945","12","16","South America","Brazil","Distrito Federal",NA,"Ilha Nhauguetá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628789","NY00628789_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","484831","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","confusa","Coccoloba confusa","R.A.Howard","J. M. Brito; M. A. D. de Souza","C. A. Sothers","227","1994","10","07","South America","Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manuas-Itacoatiara, km 26. Próx. à entrada da reserva","-59.97","-2.88",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484831","NY00484831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02674914","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","confusa","Coccoloba confusa","R.A.Howard","D. Piotto","D. Piotto","2418","2010","06","10","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","120","300","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671276' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674914","NY02674914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","484840","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","confusa","Coccoloba confusa","R.A.Howard","R. A. Howard","L. Riedel",NA,"1831",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484840","NY00484840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","484838","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","confusa","Coccoloba confusa","R.A.Howard","C. M. Rizzini","L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,"Pr. Cajú",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=598594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484838","NY00484838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
