"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus","infraspecificEpithet","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","778986","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","birotula","Psychotria birotula","L.B.Sm. & Downs","E. A. da Anunciação; C. B. Costa","I. Cordeiro","2378","2000","11","21","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha dos Tropeiros.","-45.4097","-23.6203","140","140","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=13307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778986","NY00778986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","501622","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","birotula","Psychotria birotula","L.B.Sm. & Downs","L. B. Smith","R. M. Klein","1827","1956","01","24","South America","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081","250","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501622","NY00501622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1005523","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","umbelluligera","Psychotria umbelluligera","(Müll.Arg.) Standl.","P. C. Standley","Y. E. J. Mexia","5499","1931","01","09","South America","Brazil","Minas Gerais","Viçosa","Viçosa. Road to São Miguel, near km. 4.5","-42.8817","-20.7542",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090425' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005523","NY01005523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","502497","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","xanthophylloides","Psychotria xanthophylloides","(Müll.Arg.) Standl.","C. M. Taylor","J. G. Jardim","281","1993","09","15","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Entrada a direita, no km 10,4 Rod. Una/Ilhéus","-39.08","-15.15",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502497","NY00502497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","502533","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","xanthophylloides","Psychotria xanthophylloides","(Müll.Arg.) Standl.","C. M. Taylor","B. M. Boom","925","1981","05","26","South America","Brazil","Bahia","Itanagra","Road from Itanagra to Subaúma, 8 km W of Itanagra","-38.0147177","-12.1961899","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502533","NY00502533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","502498","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","xanthophylloides","Psychotria xanthophylloides","(Müll.Arg.) Standl.","P. G. Delprete","A. M. Amorim","2090","1997","09","18","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Picada paralela ao Rio Maruim","-39.08","-15.15",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502498","NY00502498_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","227796","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","xanthophylloides","Psychotria xanthophylloides","(Müll.Arg.) Standl.","C. M. Taylor","W. W. Thomas","10939","1995","05","21","South America","Brazil","Bahia","Ilhéus","7.3 km SW of Olivença on road to Vila Brasil","-39.0408","-14.9839",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227796","NY00227796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","502496","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","xanthophylloides","Psychotria xanthophylloides","(Müll.Arg.) Standl.","C. M. Taylor","G. G. Hatschbach","16312","1967","04","13","South America","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502496","NY00502496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1017482","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","xanthophylloides","Psychotria xanthophylloides","(Müll.Arg.) Standl.","C. M. Taylor","W. W. Thomas","6017",NA,NA,NA,"South America","Brazil","Bahia","Una","4 km N of Comandatuba, ca. 10 km S of Una","-39.069442","-15.38",NA,NA,NA,"Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473149' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017482","NY01017482_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1017481","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","xanthophylloides","Psychotria xanthophylloides","(Müll.Arg.) Standl.","C. M. Taylor","L. A. Mattos Silva","1908","1985","11","20","South America","Brazil","Bahia","Cairu","Ilha de Tinharé. Fazenda dos Pilões","-39.0439","-13.4869","20","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214616' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017481","NY01017481_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
