"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1063801","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","claussenii","Phyllanthus claussenii","Müll.Arg.","G. L. Webster","H. S. Irwin","28106","1970","03","23","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 15 km N. of São João da Chapada","-43.68125","-17.99895","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194873' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063801","NY01063801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01091862","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","claussenii","Phyllanthus claussenii","Müll.Arg.","I. Cordeiro","D. J. N. Hind","H50461","1992","12","27","South America","Brazil","Bahia","Abaíra","Brejo do Engenho","-41.8","-13.3","950","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264824' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091862","NY01091862_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","528672","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","claussenii","Phyllanthus claussenii","Müll.Arg.","G. M. Barroso","B. D. Sucre","3418","1968","08","04","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara. Encostas do Morro Mundo Novo, Botafogo","-43.185991","-22.940403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=128478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528672","NY00528672_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1063803","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","claussenii","Phyllanthus claussenii","Müll.Arg.","G. L. Webster","G. Davidse","10809","1976","02","28","South America","Brazil","Minas Gerais",NA,"Ca. 15 km W of Pará de Minas along Highway 262 to Uberaba.","-44.60831","-19.86031","760","760","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194876' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063803","NY01063803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","528674","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","claussenii","Phyllanthus claussenii","Müll.Arg.","M. F. A. Lucena","A. B. Marcon","50","1995","09","04","South America","Brazil","Pernambuco","Caruaru","Distrito de Murici, Brejo dos Cavalos","-36","-8.5","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=128483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528674","NY00528674_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","629696","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","claussenii","Phyllanthus claussenii","Müll.Arg.","I. Cordeiro","R. M. Harley","H50461","1992","12","27","South America","Brazil","Bahia","Abaíra","Brejo do Engenho","-41.8","-13.3","950","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=128480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629696","NY00629696_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","528675","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","claussenii","Phyllanthus claussenii","Müll.Arg.","S. J. Mayo","L. F. Silva","82","1995","11","03","South America","Brazil","Pernambuco","Caruaru","Murici, Brejo dos Cavalos","-36","-8.5","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=128484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528675","NY00528675_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","528673","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","claussenii","Phyllanthus claussenii","Müll.Arg.",NA,"M. F. A. Lucena","56","1995","10","05","South America","Brazil","Pernambuco","Bezerros","Parque Ecológico de Serra Negra","-35.82","-8.2","471","471","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=128486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528673","NY00528673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1063804","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","claussenii","Phyllanthus claussenii","Müll.Arg.","G. L. Webster","H. S. Irwin","26989","1970","03","05","South America","Brazil","Minas Gerais","Joaquim Felício","Ca. 1 km N. of Joaquim Felício, E. base of Serra do Cabral","-44.1708333","-17.7588","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194877' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063804","NY01063804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1063805","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","claussenii","Phyllanthus claussenii","Müll.Arg.","G. L. Webster","H. S. Irwin","27418","1970","03","13","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Rio Jequití, ca. 20 km E. of Diamantina","-43.5196","-18.18055","790","790","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194879' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063805","NY01063805_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
