"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","decimalLongitude","decimalLatitude","scientificNameAuthorship","county","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","individualCount","fieldNumber","infraspecificEpithet"
"1","2020-09-23 10:42:26-03","E","E","253230","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","hyptoides","Stemodia hyptoides","Pedersen, Troels Myndel","8061","1967","02","14","Temperate South America","AR","Provincia de Corrientes","Dep. Empedrado. Estancia  La Yela","herbarium specimen of unspecif","BGBASE:277356","<a href=http://data.rbge.org.uk/herb/E00253230 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00253230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 02:28:00-03","NY","NYBG","538936","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","hyptoides","Stemodia hyptoides","E. M. Zardini","35140","1993","02","24","South America","Paraguay","Central","Estero del Ypoá. 8 km S of Puerto Guyrati, around Arroyo Surubiy.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=154355' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538936","Magnoliophyta","Lamiales","N. H. Holmgren","-57.63","-25.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","538935","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","hyptoides","Stemodia hyptoides","L. B. Smith","12673","1964","10","17","South America","Brazil","Santa Catarina","Forest, by Rio Peperí-guaçu, Linha Coqueiro.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=154357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538935","Magnoliophyta","Lamiales","C. C. Cowan","-53.78","-27.12","Cham. & Schltdl.","Itapiranga","200","300","NY00538935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 02:21:00-03","NY","NYBG","538938","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","hyptoides","Stemodia hyptoides","E. Schwindt","1079","1949","02","13","South America","Argentina","Misiones","Monte Carlo.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=154356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538938","Magnoliophyta","Lamiales","C. C. Cowan",NA,NA,NA,"San Pedro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 14:48:00-03","NY","NYBG","538937","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","hyptoides","Stemodia hyptoides","C. P. Cowan","4203","1984","01","06","South America","Uruguay","Montevideo","Camino de los Deportes, A° Amarillo, Pista Nacional de Regatas (anti-guamente Barra Sta. Lucía).","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=154358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538937","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-26 18:09:11-03","CPAN-UFMS","COR","794","PreservedSpecimen","Plantae","Plantaginaceae","Stemodia","hyptoides","Stemodia hyptoides","Almeida Rego","625","1986","07","26",NA,"Brasil","Mato Grosso do Sul","Baía do Jacadigo. Planície.",NA,NA,"Flores com a parte de cima da pétala azul e o lábio inferior tripartido branco, 2 estames; Com Flor: branca e azul",NA,NA,NA,"Scatigna, A.V.","-57.6533012390137","-19.0091991424561","Cham. & Schltdl.","Corumbá",NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:34:07-03","NBC","NL-BOTANY","L.2806973","PreservedSpecimen","Plantae","Scrophulariaceae","Stemodia","hyptoides","Stemodia hyptoides","Reitz R",NA,"1963","02","03","Southern America","Brazil",NA,"Santa Catarina, Morro do Pinheiro Sêco, Lajes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2806973 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2806973",NA,"Lamiales",NA,NA,NA,"Cham. & Schltdl.",NA,NA,NA,"NL-L2806973",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:34:07-03","NBC","NL-BOTANY","L.2806974","PreservedSpecimen","Plantae","Scrophulariaceae","Stemodia","hyptoides","Stemodia hyptoides","Fiebrig K",NA,"1908","01","27","Southern America","Paraguay",NA,"N. Paraguay: Zwischen Rio Apa und Rio Aquidaban.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2806974 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2806974",NA,"Lamiales",NA,NA,NA,"Cham. & Schltdl.",NA,NA,NA,"NL-L2806974",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:34:07-03","NBC","NL-BOTANY","L.2806976","PreservedSpecimen","Plantae","Scrophulariaceae","Stemodia","hyptoides","Stemodia hyptoides","Hatschbach GG",NA,"1962","10","15","Southern America","Brazil",NA,"Est. Parana, Mun. Fóz do Iguacu, Fóz do Iguaçu.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2806976 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2806976",NA,"Lamiales",NA,NA,NA,"Cham. & Schltdl.",NA,NA,NA,"NL-L2806976",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:34:07-03","NBC","NL-BOTANY","L.2806977","PreservedSpecimen","Plantae","Scrophulariaceae","Stemodia","hyptoides","Stemodia hyptoides","Pedersen TM",NA,"1967","02","14","Southern America","Argentina",NA,"Estancia,,La Yela', Dep. Empedrado, Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2806977 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2806977",NA,"Lamiales",NA,NA,NA,"Cham. & Schltdl.",NA,NA,NA,"NL-L2806977",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
