"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","798270","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","langei","Senecio langei","Malme","G. O. A. Malme","P. K. H. Dusén","15812","1914","11","03","South America","Brazil","Paraná","Pinhaes, locis paludosis","-49.157618","-25.419851","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499691' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798270","NY00798270_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","803866","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","langei","Senecio langei","Malme",NA,"P. K. H. Dusén","943a","1914","09","16","South America","Brazil","Paraná","Pinhaes.","-49.157618","-25.419851","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803866","NY00803866_01","isotype","885","885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","803872","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","langei","Senecio langei","Malme","L. C. Milhomens","Tamberlik","s.n.",NA,NA,NA,"South America","Brazil",NA,"Pl. Bras. occid.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=818096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803872","NY00803872_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","798269","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","langei","Senecio langei","Malme","S. F. Smith; L. B. Smith","G. G. Hatschbach","14860","1966","02","12","South America","Brazil","Paraná","Rio Guamirim","-49.2064","-25.5347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798269","NY00798269_01",NA,NA,NA,"Sao José dos Pinhais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:19:06-03","UFRJ","RFA","9186","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","langei","Senecio langei","Malme","G.G. Hatschbach","G.G. Hatschbach","14860","1966","02","12",NA,"Brasil","Paraná","Rio Guamirim","-49.2064018249512","-25.5347003936768",NA,"Capítulos amarelos","RFA38993",NA,NA,NA,NA,"São José dos Pinhais","1967","45291","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:19:06-03","UFRJ","RFA","10792","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","langei","Senecio langei","Malme","G.G. Hatschbach","G.G. Hatschbach","11722","1964","10","13",NA,"Brasil","Paraná","Ribeirão do Taboado","-49.1988983154297","-25.9281005859375",NA,"Suffrutice, cerca 70 cm de altura. Capitulos amarelos . Endêmica do Paraná. Rara","RFA28625",NA,NA,"900","900","Tijucas do Sul","1965","25228","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:35:05-03","EAO","IAN","60556","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Senecio","langei","Senecio langei","Malme",NA,"Jonsson","943a",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN060556","IAN060556 IAN060556_e IAN060556_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:24:53-03","PUCPR","HUCP","15610","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Senecio","langei","Senecio langei","Malme.","Potrich, FB","Moraes, JG","015","2003","09","19",NA,"Brasil","Paraná","Água Verde","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00008169","HUCP00008169",NA,NA,NA,"Curitiba",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:24:53-03","PUCPR","HUCP","15453","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Senecio","langei","Senecio langei","Malme.","Potrich, FB","Reis, T","003","2003","03","23",NA,"Brasil","Paraná","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"HUCP00007944","HUCP00007944",NA,NA,NA,"Palmeira",NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:24:53-03","PUCPR","HUCP","14260","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Senecio","langei","Senecio langei","Malme.","Potrich, FB","Silva, CBX","131","1997","03","01",NA,"Brasil","Paraná","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"HUCP00007795","HUCP00007795",NA,NA,NA,"Ponta Grossa",NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA
"11","2019-12-04 15:24:53-03","PUCPR","HUCP","17004","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Senecio","langei","Senecio langei","Malme.","Hatschbach, GG","Silva, JM","4106","2004","10","12",NA,"Brasil","Paraná","Uberaba","-49.2731018066406","-25.4277992248535",NA,NA,"HUCP00007922","HUCP00007922",NA,NA,NA,"Curitiba",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
