"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount"
"1","2020-09-23 10:38:15-03","E","E","433338","PreservedSpecimen","Plantae","Compositae","Wedelia","attenuata","Wedelia attenuata","syntype","Gardner, George","3864","1905","01","12","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:462914","<a href=http://data.rbge.org.uk/herb/E00433338 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:15-03","E","E","433334","PreservedSpecimen","Plantae","Compositae","Wedelia","attenuata","Wedelia attenuata","unspecified kind of","Gardner, George","3863",NA,NA,NA,"E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:462886","<a href=http://data.rbge.org.uk/herb/E00433334 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1546550","PreservedSpecimen","Plantae","Asteraceae","Aspilia","vandenbergiana","Aspilia vandenbergiana",NA,"M. G. da Silva","2914=herb. RB 202514]","1977","03","26","South America","Brazil","Pará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1894366' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546550","Magnoliophyta","Asterales","J.U.Santos","Marabá","Serra dos Carejás, setor n. 4.","-49.1178016662598","-5.36860990524292","262883","NY01546550_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","277914","PreservedSpecimen","Plantae","Asteraceae","Viguiera","asperrima","Viguiera asperrima","isotype","G. Gardner","VIII.3863","1840","03",NA,"South America","Brazil","Tocantins","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277914","Magnoliophyta","Asterales","Gardner","Arraias","Ad margines sylvarum prope Villa de Arrayas, Brasil., Prov. Goyaz","-46.9381","-12.9317",NA,"NY00277914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","277915","PreservedSpecimen","Plantae","Asteraceae","Viguiera","asperrima","Viguiera asperrima","isotype","G. Gardner","3863","1836",NA,NA,"South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277915","Magnoliophyta","Asterales","Gardner",NA,NA,NA,NA,NA,"NY00277915_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","277916","PreservedSpecimen","Plantae","Asteraceae","Viguiera","asperrima","Viguiera asperrima","isotype","G. Gardner","3863",NA,NA,NA,"South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277916","Magnoliophyta","Asterales","Gardner",NA,NA,NA,NA,NA,"NY00277916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 14:32:00-03","NY","NYBG","277932","PreservedSpecimen","Plantae","Asteraceae","Viguiera","attenuata","Viguiera attenuata","syntype","G. Gardner","3864",NA,NA,NA,"South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=523409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277932","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,"NY00277932_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 14:32:00-03","NY","NYBG","277934","PreservedSpecimen","Plantae","Asteraceae","Viguiera","attenuata","Viguiera attenuata","syntype","G. Gardner","3864",NA,NA,NA,"South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=523411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277934","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,"NY00277934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 14:32:00-03","NY","NYBG","277933","PreservedSpecimen","Plantae","Asteraceae","Viguiera","attenuata","Viguiera attenuata","syntype","G. Gardner","3864","1836",NA,NA,"South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=523410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277933","Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,"NY00277933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:34:28-03","EAO","IAN","60487","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Gardner, A","3864",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN060487","Dicotiledônea",NA,"(Gardner) Baker",NA,NA,NA,NA,NA,"IAN060487 IAN060487_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:34:28-03","EAO","IAN","90815","PreservedSpecimen","Plantae","Asteraceae","Aspilia","attenuata","Aspilia attenuata",NA,"Macêdo, A","4418","1956","02","24","Southern America","Brasil","Goiás",NA,NA,"Subarbusto campestre, amarelas.","IAN090815","Dicotiledônea",NA,"(Gardner) Baker","Niquelândia","Jacuba.","-48.4597015380859","-14.4738998413086","74171",NA,"auto","Santos, JUM dos","1991","03","08",NA,NA,NA,NA,NA,NA,NA
