"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","class","county","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","273587","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Oxythece","scrobiculata","Oxythece scrobiculata","Monach.","holotype","J. A. Steyermark","60355","1944","11","20","South America","Venezuela","Bolívar","Quebrada O-paru-má, between Santa Teresita de Kavanayén and Río Pacairao (tributary of Rio Mouak)","1065","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273587","NY00273587_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01212919","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach.",NA,"N. A. Rosa","2304","1978","01","30","South America","Brazil","Amazonas",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1466135' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212919","NY01212919_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:49:35-03","EAO","IAN","122132","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach.",NA,"Steyermark, JA; K","92768","1964","01","06","Southern America","Venezuela","Bolivar","Bosque alto húmedo montañoso, entre la base de la ladera principal escarpada de arenisca y el salto en el Río Venamo.",NA,NA,NA,"Tree 20 m tall; leaves subcoriaceous, deep green above, silvery below with fulvous brown midrib, revolute; young stems and petioles dull ferruginous as are pedicels and buds.","IAN122132",NA,"Pennington, TD","1990",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:49:35-03","EAO","IAN","122189","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach.",NA,"Steyermark, JA","97927","1967","03","22","Southern America","Venezuela","Bolivar","Upstream from campsite, along stream. Meseta de Jaua: Cerro Jáua: cumbre de la porcióm Central-Occidental de la Meseta. Oeste, 36 miles nauticas o 60 km, noreste de la missión de Campamento Sanidade del Río Kanarakuni.","2000","2000",NA,"Shrub 2m; leaves rigid-coriaceous, dark green above, chocolate brown beneath on youngest leaves, grayish below on older leaves; calyx chocolate brown.","IAN122189",NA,"Pennington, TD","1990","-64.433333","4.75","-64.433333","4.75",NA,NA,NA,NA
"5","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1592877","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach.",NA,"Steyermark JA; Dunsterville GCK; Dunsterville E",NA,"1963","12","29","Southern America","Venezuela",NA,"Estado Bolivar. Cerro Venamo (parte Sur-Oeste) Cerca de los Limites con la Guayana Inglesa/ Bosque muscoso humedo montanoso a lo largo del afluente derecho (Oeste) subiendo el Rio Venamo, descendiendo el rio desde el campamento cerca de la union con el afluente Este.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592877 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592877","NL-U1592877",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"6","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1592882","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach.",NA,"Holst BK; Liesner RL",NA,"1987","02","23","Southern America","Venezuela",NA,"Terr. Fed. Amazonas: Dpto. Atures. Rio Coro-Coro, W of Serrania de Yutaje, 8 km N of settlement of Yutaje. E of river on gradual slope.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592882 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592882","NL-U1592882",NA,NA,"-66.125","5.691667","-66.125","5.691667","Magnoliopsidae",NA,NA,NA
"7","2014-01-16 13:31:00-02","MO","MOBOT","100664417","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach. ex T.D. Penn.",NA,"Elio Sanoja|et al.","Sanoja 8411","2006","11","28","South America","Venezuela","Bolívar","Sierra Lema. PC1. PPSS2-SP2. Km 759.","1430.00000000",NA,NA,NA,NA,NA,"E. Sanoja",NA,"-61.4419444","5.9033333",NA,NA,NA,"Gran Sabana","1",NA
"8","2010-01-01 17:51:00-02","MO","MOBOT","3380638","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach. ex T.D. Penn.",NA,"Bassett Maguire|Celia K. Maguire","Maguire 3610A","1953","2","9","South America","Brazil","Amazonas","Along right branch of Cano Yutaje.","1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","406723","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach. ex T.D. Penn.",NA,"Bruce K. Holst|Ronald L. Liesner","Holst 3124","1987","2","23","South America","Venezuela","Amazonas","ATURES: Río Coro-Coro, W of Serrania de Yutaje, 8 km N of settlement of Yutaje. E of river on gradual slope. Dry, dense dwarf forest, on exposed sandstone with deep crevices, shrubs and trees 2-5 m.","650.00000000","750.00000000",NA,NA,NA,NA,"T.D.Pennington& K.S.Edwards(FVG2005)",NA,"-66.125","5.69166",NA,NA,NA,NA,"5","87-11"
"10","2020-08-31 08:54:59-03","INPA","INPA","172309","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach. ex T.D.Penn.",NA,"Jansen-Jacobs, MJ","1487","1989","09","05","Southern America","Guyana",NA,"Gunn's Essequibo Rover","240","240",NA,NA,"INPA0172309","INPA0172309 INPA0172309_e","Pennington, TD","1990","-58","1.65","-58","1.65",NA,NA,NA,NA
"11","2020-08-31 08:54:59-03","INPA","INPA","172351","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach. ex T.D.Penn.",NA,"Jansen-Jacobs, MJ","1906","1989","09","30","Southern America","Guyana",NA,"Gunn's Essequibo River","240","240",NA,NA,"INPA0172351","INPA0172351 INPA0172351_e","Pennington, TD","1990","-58","1.65","-58","1.65",NA,NA,NA,NA
"12","2021-01-10 20:43:22-03","INPA","INPA","288483","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach. ex T.D.Penn.",NA,"Demarchi, LO","1334","2018","09","07","Southern America","Brasil","Amazonas","RDS Uatumã, Parcelas do PELD-MAUA e arredores","40","40",NA,NA,"INPA0288483",NA,"Alves-Araújo, A","2020","-59.218333","-2.191944","-59.218333","-2.191944",NA,"São Sebastião do Uatumã",NA,NA
"13","2020-09-12 05:00:02-03","US","US","3265898","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach. ex T.D. Penn.",NA,"M. J. Jansen-Jacobs, E. Nic Lughadha, B. Welle & D. Gopaul","1906","1989","9","30","South America - Neotropics","Guyana","U. Takutu-U. Essequibo","Gunn's, Essequibo River","240","260",NA,NA,"US00838126",NA,"Pennington, T. D., (K)",NA,"-58.63","1.65",NA,NA,"Dicotyledonae",NA,"1",NA
"14","2020-09-12 05:00:02-03","US","US","2583592","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach. ex T.D. Penn.",NA,"J. A. Steyermark","93289","1964","5","3","South America - Neotropics","Venezuela","Bolívar","Auyan-tepuí, Río Churún; cumbre de la parte norte de la seccion sur (division occidental del cerro); a lo largo del Rio Churún, vecindad del campamento sur, sureste del Second Wall","1690",NA,NA,NA,"US00838128",NA,NA,NA,"-62.55","5.83",NA,NA,"Dicotyledonae",NA,"1",NA
"15","2020-09-12 05:00:02-03","US","US","3343718","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach. ex T.D. Penn.",NA,"B. Maguire & C. K. Maguire","35104 A","1953","2","9","South America - Neotropics","Venezuela","Amazonas","Serranía Yutajé, Caño Yutajé, Río Manapiare","1300",NA,NA,NA,"US00838129","US00838129_01","Pennington, T. D., (K)",NA,NA,NA,NA,NA,"Dicotyledonae",NA,"1",NA
"16","2020-09-12 05:00:02-03","US","US","3265894","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata","Monach. ex T.D. Penn.",NA,"M. J. Jansen-Jacobs, E. Nic Lughadha, B. Welle & D. Gopaul","1487","1989","9","5","South America - Neotropics","Guyana","U. Takutu-U. Essequibo","Gunn's, Essequibo River","240","260",NA,NA,"US00838127",NA,"Pennington, T. D., (K)",NA,"-58.63","1.65",NA,NA,"Dicotyledonae",NA,"1",NA
"17","2019-01-23 11:23:06-02","F","FMNH-SEEDPLANTS","V0072191F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata",NA,"Isotype","J. A. Steyermark","60355","1944","11","20","South America","Venezuela",NA,NA,NA,NA,NA,NA,"V0072191F","V0072191F_01",NA,NA,"-65.9119","7.0758",NA,NA,"Dicotyledoneae",NA,NA,NA
"18","2018-08-28 10:22:21-03","F","FMNH-SEEDPLANTS","V0325427F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata",NA,NA,NA,NA,NA,NA,NA,"South America","Guyana",NA,NA,NA,NA,NA,NA,"V0325427F","V0325427F_01",NA,NA,"-58.7017","4.7364",NA,NA,"Dicotyledoneae",NA,NA,NA
"19","2018-08-28 10:22:54-03","F","FMNH-SEEDPLANTS","V0325428F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata",NA,NA,"J. A. Steyermark","60007",NA,NA,NA,"South America","Venezuela","Bolívar",NA,NA,NA,NA,NA,"V0325428F","V0325428F_01 V0325428F_02","RRC ID Flag",NA,"-63.5","6.3333",NA,NA,"Dicotyledoneae",NA,NA,"60007"
"20","2018-08-28 10:21:55-03","F","FMNH-SEEDPLANTS","V0325429F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata",NA,NA,NA,NA,NA,NA,NA,"South America","Venezuela",NA,NA,NA,NA,NA,NA,"V0325429F","V0325429F_01",NA,NA,"-65.9119","7.0758",NA,NA,"Dicotyledoneae",NA,NA,NA
"21","2018-08-28 10:22:25-03","F","FMNH-SEEDPLANTS","V0325430F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","scrobiculata","Pouteria scrobiculata",NA,NA,NA,NA,NA,NA,NA,"South America","Venezuela",NA,NA,NA,NA,NA,NA,"V0325430F","V0325430F_01",NA,NA,"-65.9119","7.0758",NA,NA,"Dicotyledoneae",NA,NA,NA
