"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:40:48-03","E","E","190423","PreservedSpecimen","Plantae","Leguminosae","Periandra","mediterranea","Periandra mediterranea","Lughadha, E. Nic; Queiroz, R.","1992","01","23","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:211176","<a href=http://data.rbge.org.uk/herb/E00190423 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00190423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:48-03","E","E","69096","PreservedSpecimen","Plantae","Leguminosae","Periandra","mediterranea","Periandra mediterranea","Harley, R.M., Stannard, B. & Hind, D.J.N.","1988","11","29","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:76912","<a href=http://data.rbge.org.uk/herb/E00069096 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00069096","26697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01057659","PreservedSpecimen","Plantae","Fabaceae","Periandra","mediterranea","Periandra mediterranea","H. S. Irwin","1966","03","18","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162407' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057659","14068","Magnoliophyta","Fabales","(Vell.) Taub.","L. T. Silveira","Brasília","Côrrego Alogado, Parque Municipal do Gama, ca. 20 km S.W. of Brasília","-48.05","-16.03","1000","1000","NY01057659_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-02 15:56:00-02","NY","NYBG","01057644","PreservedSpecimen","Plantae","Fabaceae","Periandra","mediterranea","Periandra mediterranea","E. Pereira","1964","03","21","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162663' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057644","9086","Magnoliophyta","Fabales",NA,"L. T. Silveira","Brasília","Planaltina","-47.6667","-15.6167",NA,NA,"NY01057644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 06:19:00-03","NY","NYBG","01478389","PreservedSpecimen","Plantae","Fabaceae","Periandra","mediterranea","Periandra mediterranea","R. de S. Secco","1982","06","01","South America","Brazil","Pará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1732759' target='other'> <mi>dwc_moreinfo</mi></a>","NY01478389","408","Magnoliophyta","Fabales",NA,"R. C. Barneby",NA,"Marabá, arredores do N5",NA,NA,NA,NA,"NY01478389_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 12:25:00-02","NY","NYBG","605296","PreservedSpecimen","Plantae","Fabaceae","Periandra","mediterranea","Periandra mediterranea","A. C. Cervi","1992","12","23","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605296","3984","Magnoliophyta","Fabales",NA,"A. C. Cervi","Tibagi","Quartelá.","-50.3","-24.5",NA,NA,"NY00605296_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","605278","PreservedSpecimen","Plantae","Fabaceae","Periandra","mediterranea","Periandra mediterranea","R. P. Belém","1966","06","02","South America","Brazil","Bahia","sheet",NA,"Collection number almost illegible. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605278","2473","Magnoliophyta","Fabales","(Vell.) Taub.","L. T. Silveira","Una","Estrada que liga a Rod. BR 101 (São José) com BA 215, a 17 km da entrada. Região de Mata Higrófila Sul Baiana. Folha SE-24","-39.2540887","-15.1469363",NA,NA,"NY00605278_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 12:24:00-02","NY","NYBG","605273","PreservedSpecimen","Plantae","Fabaceae","Periandra","mediterranea","Periandra mediterranea","I. Mimura","1962","03","21","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605273","328","Magnoliophyta","Fabales",NA,"L. T. Silveira","Sao José dos Campos","Uma área disjuntiva de cerrado, de várias centenas de km², rodeada antigamente por mata. 68-72 km ao SSE em linha reta da praça principal de Sao José dos Campos. 100 m ao oeste da estrada para Paraibuna.","-45.88","-23.1703","635","635","NY00605273_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 12:25:00-02","NY","NYBG","605311","PreservedSpecimen","Plantae","Fabaceae","Periandra","mediterranea","Periandra mediterranea","E. Pereira","1956","09","14","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605311","2090","Magnoliophyta","Fabales",NA,"L. T. Silveira",NA,"Entre Palmeiras e Lençóis.",NA,NA,NA,NA,"NY00605311_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","605297","PreservedSpecimen","Plantae","Fabaceae","Periandra","mediterranea","Periandra mediterranea","R. M. Harley","1974","02","28","South America","Brazil","Bahia","sheet",NA,"Field work sponsored by the Royal Botanic Gardens, Kew, and the Academia Brasileira de Ciências, and carried out with the collaboration of the Centro de Pesquisas do Cacau, Itabuna, Bahia, January-April, 1974. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=758803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605297","16548","Magnoliophyta","Fabales","(Vell.) Taub.","L. T. Silveira",NA,"Serra da Jacobina, W. of Estiva, ca. 12 Km. N. of Senhor do Bonfim on the BA 130 to Juazeiro. Upper W. facing slopes of serra to the summit with television mast.","-40.25","-10.3","1100","1100","NY00605297_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
