"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","typeStatus","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:42:18-03","E","E","304749","PreservedSpecimen","Plantae","Phyllanthaceae","Savia","dictyocarpa","Savia dictyocarpa","Silva, J.M.","1937","1997","04","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314609","<a href=http://data.rbge.org.uk/herb/E00304749 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00304749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","684634","PreservedSpecimen","Plantae","Euphorbiaceae","Kleinodendron","riosulense","Kleinodendron riosulense","R. Reitz","13942","1962","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=895998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684634","Magnoliophyta","Malpighiales","L.B.Sm. & Downs","L. B. Smith; R. J. Downs","isotype","Santa Catarina","Rio do Sul","Matador","-49.6431","-27.2144","350","350","NY00684634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","687369","PreservedSpecimen","Plantae","Phyllanthaceae","Savia","dictyocarpa","Savia dictyocarpa","E. L. M. Catharino","1248","1988","11","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687369","Magnoliophyta","Malpighiales","Müll.Arg.","I. Cordeiro",NA,"São Paulo","Piracicaba","Parque da Escola Superior de Agricultura Luiz de Queiroz - ESALQ, atrás da Estação de tratamento de água.","-47.6397","-22.72",NA,NA,"NY00687369_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","684631","PreservedSpecimen","Plantae","Phyllanthaceae","Savia","dictyocarpa","Savia dictyocarpa","U. Pastore","58","1986","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=895993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684631","Magnoliophyta","Malpighiales","Müll.Arg.","P. Hoffmann",NA,"São Paulo","Teodoro Sampaio","Reserva Florestal Morro do Diabo - Sul. Folha SF.22-Y-B. Ponto 22.","-52.23","-22.62",NA,NA,"NY00684631_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","684632","PreservedSpecimen","Plantae","Phyllanthaceae","Savia","dictyocarpa","Savia dictyocarpa","R. Reitz","13943","1962","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=895996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684632","Magnoliophyta","Malpighiales","Müll.Arg.",NA,"paratype","Santa Catarina","Rio do Sul","Matador","-49.6431","-27.2144","350","350","NY00684632_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","684633","PreservedSpecimen","Plantae","Phyllanthaceae","Savia","dictyocarpa","Savia dictyocarpa","R. Reitz","7344","1958","10","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=895997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684633","Magnoliophyta","Malpighiales","Müll.Arg.",NA,"paratype","Santa Catarina","Rio do Sul","Matador","-49.6431","-27.2144","350","350","NY00684633_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","227667","PreservedSpecimen","Plantae","Phyllanthaceae","Savia","dictyocarpa","Savia dictyocarpa","W. W. Thomas","10852","1995","05","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227667","Magnoliophyta","Malpighiales","Müll.Arg.","H.-J. Esser",NA,"Bahia","Jussari","Ca. 9 km north of Jussari, east off of road to Palmira on farm road past cattle fazenda of Alciato Carvalho.","-39.5328","-15.1161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","885599","PreservedSpecimen","Plantae","Phyllanthaceae","Savia","dictyocarpa","Savia dictyocarpa","Collector unspecified","37",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885599","Magnoliophyta","Malpighiales","Müll.Arg.","I. Cordeiro",NA,"Rio de Janeiro",NA,"Ad montem Corcovado. Prov. Sebastianopolis.","-43.212076","-22.951842",NA,NA,"NY00885599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01806217","PreservedSpecimen","Plantae","Phyllanthaceae","Savia","dictyocarpa","Savia dictyocarpa","W. W. Thomas","13495","2003","07","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139122' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806217","Magnoliophyta","Malpighiales","Müll.Arg.","H.-J. Esser",NA,"Bahia","Itororó","Fazenda Santa Ana, 14.4 km SW of Itaju do Colônia on road to Rio do Meio, then 2.7 km to edge of forest.","-39.8325","-15.1503","200","200","NY01806217_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02506299","PreservedSpecimen","Plantae","Phyllanthaceae","Savia","dictyocarpa","Savia dictyocarpa","W. W. Thomas","10852","1995","05","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2729622' target='other'> <mi>dwc_moreinfo</mi></a>","NY02506299","Magnoliophyta","Malpighiales","Müll.Arg.","H.-J. Esser",NA,"Bahia","Jussari","Ca. 9 km north of Jussari, east off of road to Palmira on farm road past cattle fazenda of Alciato Carvalho.","-39.5328","-15.1161",NA,NA,"NY02506299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
