"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","continentOcean","coordinatePrecision","geoFlag"
"1","2019-08-27 13:25:16-03","IAP","PACA-AGP","73460","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Bromeliales","Bromeliaceae","Dyckia","alba","Dyckia alba","Winkler","T. Strehl","1994","10","10","U. Eggli","2470","1994","02","03","Brasil","RS","Caçapava do Sul","Pedra do Segredo","-53.551667","-30.549167","53°33'06W","30°32'57S","260","260","VULNERÁVEL","PACA073460",NA,NA,NA
"2","2021-02-08 12:50:44-03","UFRGS","ICN","188076","S","Plantae","Monocotyledon",NA,NA,"Bromeliaceae","Dyckia","alba","Dyckia alba","S.Winkl.",NA,NA,NA,NA,"Breitsameter, CJ; Büneker, H; Troleis, J; Mariath, JEA","s.n.","2015","11","30","Brasil","RS","Caçapava do Sul",NA,"-50.474167","-30.581667","-50.474167","-30.581667",NA,NA,"Material testemunho; inflorescência duplamente ramificada de até 1,5m de altura; saxicola","ICN00029953","América do Sul",NA,NA
"3","2021-02-08 12:50:44-03","UFRGS","ICN","160934","S","Plantae","Monocotyledon",NA,NA,"Bromeliaceae","Dyckia","alba","Dyckia alba","S.Winkl.","Büneker, HM","2015","10","22","Dettke, GA; G.A.; Santos; F.S.","145","2008","12","16","Brasil","RS","Guaritas",NA,"-53.492222","-30.863889","-53.492222","-30.863889",NA,NA,"com flores; rupícola","ICN00029952","América do Sul",NA,NA
"4","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","101011A","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Bromeliaceae","Dyckia","aff. alba","Dyckia aff. alba","inkl.","Büneker, H. M.","2017","06","19","Irgang, B.","s.n.","1997","01",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul",NA,"-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,"floresceu em cultivo Te 181","HAS101011A",NA,"50525","auto"
"5","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","101012","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Bromeliaceae","Dyckia","aff. alba","Dyckia aff. alba","inkl.","Büneker, H. M.","2017","06","19","Irgang, B.","s.n.","1996","12",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul",NA,"-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,"floresceu em cultivo no JB. JB 346","HAS0101012",NA,"50525","auto"
"6","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","66531","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Bromeliaceae","Dyckia","aff. alba","Dyckia aff. alba","inkl.","Büneker, H. M.","2017","06","19","Strehl, T.","1423","1995","12",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul",NA,"-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,"JB 346","HAS0066531",NA,"50525","auto"
"7","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","66578","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Bromeliaceae","Dyckia","alba","Dyckia alba","S. Winkl.","Strehl, T.",NA,NA,NA,"Irgang, B.E.","s.n.","1994","07",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul",NA,"-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,"JB 339","HAS0066578",NA,"50525","auto"
"8","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","30572","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Bromeliaceae","Dyckia","alba","Dyckia alba","inkl.","Büneker, H. M.","2017","06","19","Strehl, T.","978","1991","12",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul","em frente à Pedra do Segredo","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,"Flor amarela, espinhos brancos com ponta marrom","HAS0030572",NA,"50525","auto"
"9","2019-10-04 16:06:56-03","MCN-FZBRS","HAS","101010","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Bromeliaceae","Dyckia","aff. alba","Dyckia aff. alba","inkl","Büneker, H. M.","2017","06","19","Strehl, T.","1465","1997","12",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul","Pedra do Segredo","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,"Te 156","HAS0101010",NA,"50525","auto"
"10","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","30577","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Bromeliaceae","Dyckia","alba","Dyckia alba","inkl.","Büneker, H. M.","2017","06","19","Strehl, T.","1026","1989","12",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul","Pedra do Segredo","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,"Te 157","HAS0030577",NA,"50525","auto"
"11","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","30578","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Bromeliaceae","Dyckia","alba","Dyckia alba","S. Winkl.",NA,NA,NA,NA,"Strehl, T.","1027","1989","12",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul","Pedra do Segredo","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,NA,"HAS0030578",NA,"50525","auto"
"12","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","33997","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Bromeliaceae","Dyckia","alba","Dyckia alba","inkl.","Büneker, H. M.","2017","06","19","Strehl, T.","1436","1989","12",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul","Pedra do Segredo","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,"planta com inflorescência completamente glabra. Sépalas na ântese e pétalas amarelo-ouro depois esverdeados. Estames excertos","HAS0033997",NA,"50525","auto"
"13","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","66524","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Bromeliaceae","Dyckia","alba","Dyckia alba","S. Winkl.","Strehl, T.",NA,NA,NA,"Strehl, T.","1297","1994","12",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul","Pedra do Segredo","-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,"Local Tipo","HAS0066524",NA,"50525","auto"
"14","2019-10-04 16:06:58-03","MCN-FZBRS","HAS","36022","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Bromeliaceae","Dyckia","alba","Dyckia alba","inkl.","Büneker, H. M.","2017","06","19","Strehl, T.","1465","1995","12",NA,"Brasil","Rio Grande do Sul","Viamão (em cultivo )",NA,NA,NA,NA,NA,NA,NA,"floresceu em cultivo; TS 155; (HAS 30562) oriunda de Caçapava do Sul","HAS0036022",NA,NA,NA
