"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","251704","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","rioense","Piper rioense","Yunck.","isotype","H. P. Velloso","s.n.","1943","02","11","South America","Brazil","Proc. Fazenda da Boa Fe, Terezopolis, E. do Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251704","NY00251704_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","251705","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","rioense","Piper rioense","Yunck.","isotype","H. P. Velloso","s.n.","1943","02","11","South America","Brazil","Proc. Fazenda da Boa Fe, Terezopolis, E. do Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251705","NY00251705_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","557223","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","rioense","Piper rioense","Yunck.",NA,"L. R. Landrum","4198","1982","01","27","South America","Brazil","Teresópolis, Posse section of Teresópolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=16636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557223","NY00557223_01","R. Callejas Posada","Rio de Janeiro","Teresópolis","-42.9656","-22.4122",NA,NA,NA
"4","2020-12-21 16:39:46-03","MBM","MBM","87371","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","rioense","Piper rioense","Yunck.",NA,"Landrum, L.R.","4198",NA,NA,NA,"Southern America","Brazil","Teresópolis",NA,"= 84436","MBM087371","MBM087371","Callejas, R.","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto",NA
"5","2020-12-21 16:39:46-03","MBM","MBM","84436","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","rioense","Piper rioense","Yunck.",NA,"Landrum, L.R.","4198",NA,NA,NA,"Southern America","Brazil","Teresópolis",NA,"= 87371","MBM084436","MBM084436","Callejas, R.","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto",NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","3076046","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","rioense","Piper rioense","Yunck.",NA,"Leslie R. Landrum","Landrum 4198","1982","1","27","South America","Brazil","Teresopolis, Posse section of Teresopolis. Hills with secondary vegetation.",NA,NA,NA,NA,"R. Callejas","Rio de Janeiro",NA,NA,NA,NA,NA,NA
"7","2021-02-23 13:22:59-03","MN","R-TIPOS","38600c","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","rioense","Piper rioense","Yunck.","Isotypus","Velloso, H.P.","220","1942","02","11",NA,"Brasil","Agriões",NA,NA,"R000038600c","R000038600c_001","Guimarães, E.F.","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto","2011"
"8","2021-02-23 13:22:59-03","MN","R-TIPOS","38600a","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","rioense","Piper rioense","Yunck.","Isotypus","Velloso, H.P.","220","1942","02","11",NA,"Brasil","Agriões",NA,NA,"R000038600a","R000038600a_001","Guimarães, E.F.","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto","2011"
"9","2021-02-23 13:22:59-03","MN","R-TIPOS","38600","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","rioense","Piper rioense","Yunck.","Holotypus","Velloso, H.P.","220","1942","02","11",NA,"Brasil","Agriões",NA,NA,"R000038600","R000038600_001","Guimarães, E.F.","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto","2011"
"10","2021-02-23 13:22:59-03","MN","R-TIPOS","38600b","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","rioense","Piper rioense","Yunck.","Isotypus","Velloso, H.P.","220","1942","02","11",NA,"Brasil","Agriões",NA,NA,"R000038600b","R000038600b_001","Guimarães, E.F.","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto","2011"
