"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","492160","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","paranaensis","Justicia paranaensis","(Rizzini) Wassh. & L.B.Sm.","G. G. Hatschbach","G. G. Hatschbach","42495","1979","09","17","South America","Brazil","Paraná","Morretes","Rio Bromado.","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492160","NY00492160_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","492161","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","paranaensis","Justicia paranaensis","(Rizzini) Wassh. & L.B.Sm.",NA,"G. G. Hatschbach","14697","1966","09","13","South America","Brazil","Paraná","Morretes","Estr. Itupava, Rio S. Joao.","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323930' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492161","NY00492161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","492162","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","paranaensis","Justicia paranaensis","(Rizzini) Wassh. & L.B.Sm.","D. C. Wasshausen","R. Reitz","9813","1960","09","02","South America","Brazil","Santa Catarina","Garuva","Monte Crista, Garuva, Sao Francisco do Sul.","-48.8547","-26.0269","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492162","NY00492162_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:18:42-03","UFRJ","RFA","8252","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Duvernoia","paranaensis","Duvernoia paranaensis","Rizzini","O. Guimarães","G.G. Hatschbach; O. Guimarães 40","14697","1966","09","13",NA,"Brasil","Paraná","Morretes","Estrada Itupava, Rio São João","-48.834400177002","-25.476900100708",NA,"Arbusto de flor alva","RFA27451",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:24:39-03","PUCPR","HUCP","16549","S","Plantae","Eudicotiledonea",NA,"Acanthaceae","Schaueria","paranaensis","Schaueria paranaensis","(Rizz.) A.L.A. Cortês","Hatschbach, GG","Labiak, P","1904","2001","10","13",NA,"Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:29:25-03","NBC","NL-BOTANY","L.2833300","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Justicia","paranaensis","Justicia paranaensis","(Rizzini) Wassh. & L.B.Sm.",NA,"Reitz R; Klein RM",NA,"1960","09","02","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina, Monte Crista, Garuva.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2833300 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2833300","NL-L2833300",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-19 08:07:52-03","FPS","FPS","2499","MachineObservation","Plantae",NA,NA,"Acanthaceae","Schaueria","paranaensis","Schaueria paranaensis","(Rizz.) A.L.A. Côrtes?","Schwirkowski, P.","Schwirkowski, P.","1933","2016","10","15",NA,"Brasil","Santa Catarina","São Bento do Sul","Localidade de Rio Natal.","-49.269824","-26.326217",NA,NA,"FPS02499,MBM410367,HUCS006460,FURB52037","FPS02499_v01 FPS02499_v02 FPS02499_v03 FPS02499_v04 FPS02499_v05 FPS02499_v06 FPS02499_v07 FPS02499_v08 FPS02499_v09 FURB52037 MBM410367",NA,NA,NA,NA,NA,"2016","10","15","-49.269824","-26.326217","voucher","FURB 52037, HUCS 46175, MBM 410367",NA,NA
"8","2019-11-21 14:29:50-03","UFJF","CESJ","38335","PreservedSpecimen","Plantae","Angiosperma",NA,"Acanthaceae","Justicia","paranaensis","Justicia paranaensis","(Rizzini) Wassh. & L.B.Sm.","G. Hatschbach","P.H. Labiak; M. Kaehler","1904","2001","10","13","América do Sul","Brasil","Paraná","Morretes","Parque Estadual do Pico do Marumbi, Rio São João","-48.834400177002","-25.476900100708",NA,"Arbusto, flor creme. Floresta Ombrófila Densa Submontana.","CESJ038335","CESJ038335","25","25","30514","auto",NA,"2002",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-07 11:40:27-03","UFMS","CGMS","75519","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Schaueria","paranaensis","Schaueria paranaensis","(Rizz.) A.L.A. Côrtes",NA,"G. Hatschbach","14697","1966","09","13",NA,"Brasil","Paraná","Morretes","Estrada Itupava, Rio São João.","-48.834400177002","-25.476900100708",NA,"Flor alva. UPCB 5478. Habitat: Mata pluvial de vertente atlântica. Habito: Arbusto.","CGMS1108473",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:02:09-03","UNICAMP","UEC","20746","S","Plantae","Magnoliopsida",NA,"Acanthaceae","Justicia","paranaensis","Justicia paranaensis","(Rizzini) Wassh. & L.B.Sm.","Hatschbach, G","Hatschbach, G","42495","1979","09","17",NA,"Brazil","Paraná","Morretes","Rio Bromado","-48.834400177002","-25.476900100708",NA,"flor, Arbusto delgado, 1,7m, flor alvecente. Mata pluvial.","UEC022123","UEC022123",NA,NA,"30514","auto",NA,"1980",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-10-14 09:57:56-03","FURB","FURB","45686","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Schaueria","paranaensis","Schaueria paranaensis","(Rizz.) A.L.A. Côrtes","Funez, L.A.","Funez, L.A.","3138","2014","12","18",NA,"Brasil","Santa Catarina","Apiúna","Morro Dom Bosco.","-49.3669445","-27.0511111",NA,"ocorre ao longo de cursos d#?#água Habitat: floresta Habito: erva terrestre; flor branca","FURB13875","FURB13875","451","451",NA,NA,NA,"2018","06","07","-49.3669445","-27.0511111",NA,NA,NA,NA
"12","2020-10-14 09:57:56-03","FURB","FURB","47845","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Schaueria","paranaensis","Schaueria paranaensis","(Rizz.) A.L.A. Côrtes","Barboza, E.","Engels, M.E.","1579","2013","09","02",NA,"Brasil","Paraná","Guaratuba","Linha de transmissão elétrica Curitiba a Joinville.","-48.9430555","-25.8819445",NA,"Habitat: Floresta Ombrófila Densa. Habito: Arbusto em sub-bosque, ca 1.5 m. Caule castanho, folhas verdes. Flores alvas.","FURB47845","FURB47845","800","800",NA,NA,NA,"2013","10","02","-48.9430555","-25.8819445",NA,NA,NA,NA
"13","2020-10-14 09:57:56-03","FURB","FURB","52037","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Schaueria","paranaensis","Schaueria paranaensis","(Rizz.) A.L.A. Côrtes","Schwirkowski, P.","Schwirkowski, P.","1933","2016","10","15",NA,"Brasil","Santa Catarina","São Bento do Sul","Localidade de Rio Natal.","-49.2697223","-26.3261111",NA,"Arbusto, semi-ciófita, 2 m alt. flores cor creme","FURB52037","FURB52037","500","500",NA,NA,NA,"2016","10","15","-49.2697223","-26.3261111",NA,NA,NA,NA
"14","2021-03-24 16:38:33-03","FURB","FURB","67056","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Schaueria","paranaensis","Schaueria paranaensis","(Rizz.) A.L.A. Côrtes",NA,"Funez, L.A.","9300","2019","12","30",NA,"Brasil","Santa Catarina","Indaial","Salto Andorinhas.","-49.31","-27.015",NA,"Flores brancas Habitat: Floresta às margens do rio Habito: Erva","FURB67056","FURB67056","221","221",NA,NA,NA,NA,NA,NA,"-49.3100000","-27.0150000",NA,NA,NA,NA
"15","2021-03-16 17:52:40-03","UCS","HUCS","43835","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Schaueria","paranaensis","Schaueria paranaensis","(Rizzini) A.L.A. Côrtes","Barbosa, E.","Engels, M.E.","1579","2013","09","02",NA,"Brasil","Paraná","Guaratuba","Serra do mar, linha de transmissão elétrica Curitiba- Joinville","-48.943056","-25.881944",NA,"Arbusto em sub-bosque, 1,5m, caule castanho, folhas verdes, flores alvas.; FOD;","HUCS006447",NA,"800","800",NA,NA,NA,"2013","10","02","-48.943056","-25.881944",NA,NA,NA,NA
"16","2021-03-16 17:52:40-03","UCS","HUCS","46175","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Schaueria","paranaensis","Schaueria paranaensis","(Rizzini) A.L.A. Côrtes","Schwirkowski, P.","Schwirkowski, P.","1933","2016","10","15",NA,"Brasil","Santa Catarina","São Bento do Sul","Localidade de Rio Natal.","-49.269722","-26.326111",NA,"Arbusto, semi-ciófita, 2 m alt. flores cor creme","HUCS006460",NA,"50","50",NA,NA,NA,"2016","10","15","-49.269722","-26.326111",NA,NA,NA,NA
