"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","scientificNameAuthorship","day","identifiedBy","yearIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","individualCount","fieldNumber","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","infraspecificEpithet"
"1","2016-10-19 09:55:00-02","NY","NYBG","404985","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","plurisepala","Eugenia plurisepala","type","E. Hassler","6304","1900","09","South America","Paraguay","Florula cordillerae centralis; in regione collium; Cerros de Tobaty","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=185713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404985","NY00404985_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:06:37-03","NBC","NL-BOTANY","L.1134964","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Hexachlamys","anomala","Hexachlamys anomala",NA,"Pedersen TM",NA,"1971","09","Southern America","Argentina","Carambola. Dep. Concepcion, Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1134964 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1134964","NL-L1134964","Magnoliopsidae","(D.Legrand) D.Legrand","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:06:37-03","NBC","NL-BOTANY","L.2525823","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Hexachlamys","anomala","Hexachlamys anomala",NA,"Pedersen TM",NA,"1971","09","Southern America","Argentina","Carambola. Dep. Concepcion, Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2525823 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2525823","NL-L2525823","Magnoliopsidae","(D.Legrand) D.Legrand","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:14:27-03","ESALQ","ESA","80937","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","anomala","Eugenia anomala",NA,"Delaroche, F.","2230.0","1999","11",NA,"Brasil",NA,NA,NA,"ESA080937","ESA080937",NA,"D. Legrand","21","Kuntz, J.","2011","Goiás","Alto Paraíso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:27-03","ESALQ","ESA","86666","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","anomala","Eugenia anomala",NA,"Fantinati, M.R.","98.0","2002","07",NA,"Brasil",NA,NA,NA,"ESA086666","ESA086666",NA,"P. Ligrand.","11","Sobral, M.","2013","São Paulo","Brotas","-48.1199989318848","-22.2800006866455","26585","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:14:35-03","ESALQ","ESA","52209","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","plurisepala","Eugenia plurisepala",NA,"Hatschbach, G. et al.","76220.0","2003","10",NA,"Brasil",NA,NA,NA,"ESA052209",NA,NA,"Barb. Rodr. ex Cham. & Hassler","12","Sobral, M.","2005","Mato Grosso do Sul","Porto Murtinho","-57.8824996948242","-21.6989002227783","185577","auto","01","01",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:42-03","ESALQ","ESA","9610","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Hexachlamys","humilis","Hexachlamys humilis",NA,"Souza, V.C.; Sakuragui, C.M.; Scaramuzza, C.A.M.; Fina, B.G.; Rolim, G.S.; Shimabukuro, M.T.","2436.0","1993","02",NA,"Brasil",NA,NA,NA,"ESA009610",NA,NA,"O.Berg","19","Kawasaki, M.L.",NA,"São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0043121","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","anomala","Eugenia anomala",NA,"S. G. Tressens; V. Marunak, A. Krapovickas, C. L. Cristobal, M. de Pompert","3477","1988",NA,NA,"Argentina","Isla Apipe Grande, ca. 5 km de Pto. Araza.",NA,"Fruto anaranjado, +/-3.5 cm diam.; comestible. La infusion de las hojas se usa para la diabetes. N. V. ivajhai-poni.",NA,NA,NA,"D. Legrand","26","J. E. Q. Faria",NA,"Corrientes",NA,"-56.9","-27.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0057308","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","anomala","Eugenia anomala",NA,"H. A. Keller; J. Pirelli, L. Ritter","4599","2007",NA,NA,"Argentina","Candelaria. Municipio Loreto, Ruta Nac. 12.",NA,"Subarbusto, hojas aromaticas, flores blancas.",NA,NA,NA,"D. Legrand","6","J. E. Q. Faria",NA,"Misiones",NA,"-55.533333","-27.316667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0060383","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","anomala","Eugenia anomala",NA,"Elsa Matilde Zardini; Julian Rodriguez","52144","1999",NA,NA,"Paraguay","Yacyreta Dam Island Reserve: Punta de observacion.",NA,"Collecting area: around two hectares.; Subshrub 1 m. Fruit green.",NA,NA,NA,"D. Legrand","25","J. E. Q. Faria",NA,"Itapua",NA,"-56.823056","-27.448611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0060381","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Hexachlamys","humilis","Hexachlamys humilis",NA,"E. Zardini; P. Aquino","28479","1991",NA,NA,"Paraguay","Pindoty.",NA,"Subshrub 80 cm. Fruit dark.",NA,NA,NA,"O. Berg","4","L. R. Landrum",NA,"Central",NA,"-57.516667","-25.616667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
