"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","verbatimLongitude","verbatimLatitude","continentOcean","minimumElevationInMeters","maximumElevationInMeters","order","class","typeStatus","individualCount","relatedCatalogItem","fieldNumber","sex","preparationType"
"1","2020-06-29 11:29:35-03","UFRJ","RFA","28239","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","castanea","Aechmea castanea","L.B.Sm.","A.P.G. Faria","2002","09","26","A.P.G. Faria; T. Wendt; D.M.C. Santos; L.F.G. Silva; G.K. Brown","68","2002","09","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Brácteas escapais castanhas, frutos amarelos","RFA52402","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:25:26-03","MN","R","215791","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","castanea","Aechmea castanea","L.B. Sm.","Coser, T.S.","2010","09","29","Coser, T.S. 330; Zanella, C.M. & Goetze, M.",NA,"2010","09","29","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Roschi","-40.6002998352051","-19.9356002807617","23813",NA,"R010000150","auto","R010000150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-04 23:42:31-03","UFPI","TEPB","20893","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","castanea","Aechmea castanea","L. B. Sm.","B.Walter","2000","01","01","G. M. Sousa","481","2001","03","10","Brasil","Espírito Santo","Santa Teresa","Reserva biológica de Santa Lúcia.","-40.529444","-19.9825",NA,"Epífita; ca 2m; folhas verdes com estrias brancas na superfície inferior; bainhas escuras; inflorescência ca. 17cm; bráctea floral verde; flores com sépalas verdes e pétalas lilás de ápice roxo. (final de floração) Ambiente: Floresta Pluvial Atlântica",NA,NA,NA,"40°31'46W","19°58'57S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-12 12:03:22-03","UFPI","TEPB","20900","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","castanea","Aechmea castanea","L. B. Sm.","G. M. S. Sousa","2000","02","16","G. M. Sousa","317","2000","02","16","Brasil","Espírito Santo","Santa Teresa","Valaugana velha, Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Planta epífita; folhas até 1,86m compr., bainha escura; brácteas escapais presa ao mesmo, marrom a vinácea; inflorescência em fruto de cor amarela e bráctea floral marrom, a com floração passada, presença de plântulas (germinação) na inflorescência. Ambie",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-04-27 16:09:03-03","UFES","VIES","12618","S","Plantae","Bromeliaceae","Aechmea","castanea","Aechmea castanea","L.B.Sm.","Gomes, J.M.L.","1993","05","29","Gomes, J.M.L.","1928","1993","05","29","Brasil","Espírito Santo","Domingos Martins","Panelas.","-40.6591987609863","-20.3633003234863","48150",NA,"VIES012618","auto","VIES012618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-12 18:11:56-03","UFES","VIES","12461","S","Plantae","Bromeliaceae","Aechmea","castanea","Aechmea castanea","L.B.Sm.","Gomes, J.M.L.","1996",NA,NA,"Gomes, J.M.L.","1925b","1993","05","23","Brasil","Espírito Santo","Vila Velha","Barra do Jucu.","-40.2924995422363","-20.3297004699707","27156",NA,"VIES012461","auto","VIES012461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:19:16-03","MBM","MBM","280661","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","castanea","Aechmea castanea","L.B.Sm.","Martinelli, G.",NA,NA,NA,"Fernandes, H.Q.B.","1134","1985","05",NA,"Brazil","Espírito Santo","Santa Teresa","Santa Teresa","-40.6002998352051","-19.9356002807617","23813",NA,"MBM280661","auto","MBM280661",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:44:16-03","MBML","MBML-HERBARIO","12265",NA,"Plantae","Bromeliaceae","Aechmea","castanea","Aechmea castanea","L.B.Smith","G. M. Souza/IV-2001",NA,NA,NA,"V. Demuner; et al","879","2000","03","29","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epifita, 5m de altura flor com pétalas lilases. Folha maior 1,64m, folha menor 1,51m, pendunculo 0,58 de comprimento e de diametro 0,1m. Interior de mata sombreado.","MBML012265",NA,"MBML012265_1 MBML012265_2","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:44:16-03","MBML","MBML-HERBARIO","12449",NA,"Plantae","Bromeliaceae","Aechmea","castanea","Aechmea castanea","L.B.Smith","G. M. Souza/IV-2001",NA,NA,NA,"L. Kollmann; et al","2850","2000","04","13","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Mata baixa. Solo de areia. Terrestre. Folhas verdes escuras, acizentadas por baixo. Pedunculo e bracteas cinzas. Frutos verdes.","MBML012449",NA,"MBML012449_1 MBML012449_2","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:44:16-03","MBML","MBML-HERBARIO","12742",NA,"Plantae","Bromeliaceae","Aechmea","castanea","Aechmea castanea","L.B.Smith","G. M. Souza/IV-2001",NA,NA,NA,"A. B. Lucas",NA,"1999","02","26","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita sobre tronco de árvore caída, fixada ca de 10m da base.","MBML012742",NA,"MBML012742_1 MBML012742_2 MBML012742_3","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
