"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","891358","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","J. Prado","H. S. Irwin","2692","1959","02","22","South America","Brazil","Minas Gerais","Viçosa","State Agricultural School","-42.868031","-20.7613428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891358","NY00891358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-07 18:07:53-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","03658","S","Plantae","Tracheophyta","Polypodiales","Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","J. Prado","E. Pereira","1333","1955","03","24","América do Sul","Brasil","Rio de Janeiro","Santa Maria Madalena","Serra da Rifa","-41.94333333","-21.96361111",NA,"Nada consta",NA,NA,"Polypodiopsida","2021","04","06","-41.94333333","-21.96361111",NA,NA,NA,NA,NA
"3","2021-04-05 09:59:18-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","03431","S","Plantae","Tracheophyta","Polypodiales","Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","J. Prado","E. Pereira","1333","1955","03","24","América do Sul","Brasil","Rio de Janeiro","Santa Maria Madalena","Serra Rifa","-42.0080986022949","-21.9552993774414",NA,"Nada consta",NA,NA,"Polypodiopsida",NA,NA,NA,NA,NA,"30526","auto",NA,NA,NA
"4","2020-12-20 21:19:11-03","UFV","VIC","015941","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro",NA,"Graçano, D.","159","1996","05","02",NA,"Brasil","Minas Gerais","Marliéria","PERD, Trilha do Anibal.","-42.7322006225586","-19.7122001647949",NA,"Acima de barranco. Terrestre. Local seco, argiloso, sombrio. Folhas chegando a 1 m de comprimento.","VIC015941","VIC015941",NA,NA,NA,NA,NA,NA,"28215","auto",NA,NA,NA
"5","2021-03-01 16:43:57-03","UNICAMP","UEC","37409","S","Plantae","Pteridophyta",NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J","Weyland Vieira, MC","719","1983","07",NA,NA,"Brazil","Minas Gerais","Caratinga","Fazenda Montes Claros","-42.1391983032227","-19.7896995544434",NA,"Herbácea.","UEC031722","UEC031722",NA,"1996","02",NA,NA,NA,"49886","auto",NA,NA,NA
"6","2019-11-06 09:57:19-03","UFOP","OUPR","11550","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J.","Oliveira, L.; Baeta-Neves, A.T.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,"1999","01","12",NA,NA,"18289","auto",NA,NA,NA
"7","2020-12-21 16:42:14-03","MBM","MBM","145710","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J.","Pedralli, G.; et al.; et al.","PT453","1987","09","28","Southern America","Brazil","Minas Gerais","Santa Bárbara","Santa Bárbara","-43.4152984619141","-19.959400177002",NA,"Área 1 - carvoeira - Herbácea ca. 1,0m","MBM145710","MBM145710",NA,"2009",NA,NA,NA,NA,"33136","auto",NA,NA,NA
"8","2020-12-21 16:42:14-03","MBM","MBM","145706","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J.","Stehmann, J.C.; et al.; et al.","497","1987","09","30","Southern America","Brazil","Minas Gerais","Santa Bárbara","Santa Bárbara","-43.4152984619141","-19.959400177002",NA,"Refúgio de Prti-CEMIG. ERva 1,2m altura, em interior de mato","MBM145706","MBM145706",NA,"2009",NA,NA,NA,NA,"33136","auto",NA,NA,NA
"9","2020-12-21 16:42:14-03","MBM","MBM","145709","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J.","Pedralli, G.; et al.; et al.","PT130","1987","04","09","Southern America","Brazil","Minas Gerais","Santa Bárbara","Santa Bárbara","-43.4152984619141","-19.959400177002",NA,"Herbáceo, algumas folhas férteis","MBM145709","MBM145709",NA,"2008",NA,NA,NA,NA,"33136","auto",NA,NA,NA
"10","2020-12-21 16:42:14-03","MBM","MBM","145705","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J.","Stehmann, J.C.; et al.; et al.","1239","1988","07","21","Southern America","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","São Gonçalo do Rio Abaixo","-43.3622016906738","-19.826099395752",NA,"Mata. Herbáceo","MBM145705","MBM145705",NA,"2009",NA,NA,NA,NA,"17525","auto",NA,NA,NA
