"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2016-09-30 07:24:00-03","NY","NYBG","01529344","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","andicola","Chamaecrista glandulosa andicola","H.S.Irwin & Barneby","G. P. Lewis","G. P. Lewis","3075","1997","03","09","South America","Ecuador","Loja","Loja-Catamayo, km 7 at Villonaco, 18 km along track to Cera and Chantaco and onwards to La Loma","-79.3","-3.9","640","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1803376' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529344","NY01529344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4177","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","rapidarum","Chamaecrista glandulosa rapidarum","H.S.Irwin & Barneby",NA,"J. J. Wurdack","39975","1955","12","18","South America","Venezuela","Bolívar","edge of Laja Caruto, E bank of river [Río Orinoco] just below Raudal Marimare. Alt. 80-90 m.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=133217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004177","NY00004177_01 NY00004177_02","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01529371","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby","R. C. Barneby","J. C. Solomon","12225","1984","04","05","South America","Bolivia","La Paz","10.2 km SW of Yolosa on road to Chuspipata (20 km NE of Chuspipata)","-67.78","-16.2","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1804283' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529371",NA,NA,"Nor Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01529388","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"J. J. Triana","4489","1854",NA,NA,"South America","Colombia","Cauca","Valleé de Cauca",NA,NA,"1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1804698' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01529367","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"E. Geyger","1","1979","05",NA,"South America","Bolivia","La Paz","Valle de Tamampaya de Puente Villa via Chulumani",NA,NA,"1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1804224' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529367",NA,NA,"Sud Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","634001","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","brasiliensis","Chamaecrista glandulosa brasiliensis","(Vogel) H.S.Irwin & Barneby",NA,"W. R. Anderson","11186","1975","01","10","South America","Brazil","Rio de Janeiro","Leblon, morro above beach",NA,NA,"200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634001","NY00634001_01",NA,NA,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01529390","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"W. H. Camp","E3004","1945","05","07","South America","Ecuador","Chimborazo","Cañon of the río Chanchan near Huigra",NA,NA,"1219","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1804743' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529390","NY01529390_01",NA,NA,"1372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","633997","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","brasiliensis","Chamaecrista glandulosa brasiliensis","(Vogel) H.S.Irwin & Barneby",NA,"B. D. Sucre","9572","1972","08","29","South America","Brazil","Rio de Janeiro","Serra das Piabas, vertente Sul",NA,NA,"100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00633997","NY00633997_01",NA,NA,"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","633988","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","brasiliensis","Chamaecrista glandulosa brasiliensis","(Vogel) H.S.Irwin & Barneby",NA,"E. Pereira","4511","1959","02","24","South America","Brazil","Rio de Janeiro","Restinga de Jacarepaguá","-43.397161","-23.010952",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00633988","NY00633988_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01529417","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","glandulosa","flavicoma","Chamaecrista glandulosa flavicoma","(Kunth) H.S.Irwin & Barneby",NA,"E. P. Killip","24239","1929","06","06","South America","Peru","Junín","Huacapistana","-75.523096","-11.241054","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1806857' target='other'> <mi>dwc_moreinfo</mi></a>","NY01529417",NA,NA,NA,"2400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
