"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","identifiedBy","typeStatus","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","imagecode","class","order","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2021-03-30 12:34:28-03","EAO","IAN","57930","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Aspilia","reticulata","Aspilia reticulata","Baker","Martins-da-Silva, RCV","825","Southern America","Brasil","IAN057930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:28-03","EAO","IAN","104304","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Aspilia","reticulata","Aspilia reticulata","Baker","Magalhães, MG","1183","Southern America","Brasil","IAN104304","Barreto, M","isoparatipo","1942","01","28","Minas Gerais","Ouro Preto","Vale no campo, serra do Itatiatia.","-43.5080986022949","-20.2875003814697","44599","SANTOS (2001:217) citou: Tipo: Brasil, Minas Gerais, Jaboticatubas, Serra do Cipó, km 153, A.P. Duarte 8160, 20/VI/1964 (Holotipo: RB; Isotipo: HB).; Flores amarelas, arbusto 0,6 metro de altura.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:34:28-03","EAO","IAN","14224","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Aspilia","reticulata","Aspilia reticulata","Baker","Magalhães, MG","1183","Southern America","Brasil","IAN014224","Barreto, M","isoparatipo","1942","01","28","Minas Gerais","Ouro Preto","Vale no campo, serra do Itatiatia.","-43.5080986022949","-20.2875003814697","44599","SANTOS (2001:217) citou: Tipo: Brasil, Minas Gerais, Jaboticatubas, Serra do Cipó, km 153, A.P. Duarte 8160, 20/VI/1964 (Holotipo: RB; Isotipo: HB).; Flores amarelas, arbusto 0,6 metro de altura.","auto","IAN014224 IAN014224_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:47:38-03","NBC","NL-BOTANY","L 0001832","PreservedSpecimen","Plantae",NA,"Compositae","Aspilia","reticulata","Aspilia reticulata","Baker","Martius CFP von",NA,"Southern America","Brazil","NL-L0001832","Santos JUM dos","isolectotype",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200001832 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-L0001832","Magnoliopsidae","Asterales","1991","10","01","90971536",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:23:05-03","UNICAMP","UEC","114182","S","Plantae","Magnoliopsida","Asteraceae","Aspilia","reticulata","Aspilia reticulata","Baker","Magalhães, M","1054",NA,"Brazil","UEC113439","Mello Barreto, HL",NA,"1942","01","18","Minas Gerais","Ouro Preto","Serra de Lavras Novas","-43.5080986022949","-20.2875003814697","44599","flor amarela; entre rochas","auto","UEC113439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-05 16:43:33-03","UFOP","OUPR","1647","PreservedSpecimen","Plantae",NA,"Asteraceae","Aspilia","reticulata","Aspilia reticulata","Baker","Badini, J.","s.n.",NA,"Brasil",NA,"Lisboa, M.A.",NA,NA,NA,NA,"Minas Gerais",NA,"Serra do Cascabulho",NA,NA,NA,"Campo. Subarbusto. Flores amarelas",NA,NA,NA,NA,"1969","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-05 16:43:33-03","UFOP","OUPR","31345","PreservedSpecimen","Plantae",NA,"Asteraceae","Aspilia","reticulata","Aspilia reticulata","Baker","Pedrosa, L.G.","404",NA,"Brasil",NA,"Nakajima, J.N.",NA,"2018","06","07","Minas Gerais","Ouro Preto","APA Estadual Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697","44599","Subarbusto, 0,9-1,5m. Flores amarelas. Campo rupestre.","auto",NA,NA,NA,"2019","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-05 16:43:33-03","UFOP","OUPR","31434","PreservedSpecimen","Plantae",NA,"Asteraceae","Aspilia","reticulata","Aspilia reticulata","Baker","Pedrosa, L.G.","492",NA,"Brasil",NA,"Nakajima, J.N.",NA,"2018","06","23","Minas Gerais","Ouro Preto","Próximo a Três Moinhos.","-43.5080986022949","-20.2875003814697","44599","Subarbusto, 0,5-1,5m. Flores amarelas. Cerrado.","auto",NA,NA,NA,"2019","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-05 16:43:33-03","UFOP","OUPR","1646","PreservedSpecimen","Plantae",NA,"Asteraceae","Aspilia","reticulata","Aspilia reticulata","Baker","s.col.","s.n.",NA,"Brasil",NA,"Lisboa, M.A.",NA,NA,NA,NA,"Minas Gerais","Ouro Preto","Serra de Lavras Novas","-43.5080986022949","-20.2875003814697","44599",NA,"auto",NA,NA,NA,"1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-05 16:43:33-03","UFOP","OUPR","4059","PreservedSpecimen","Plantae",NA,"Asteraceae","Aspilia","reticulata","Aspilia reticulata","Baker","s.col.","s.n.",NA,"Brasil",NA,"Mondin, C.A.; Nakajima, J.N.",NA,NA,NA,NA,"Minas Gerais","Ouro Preto","Serra de Lavras Novas","-43.5080986022949","-20.2875003814697","44599",NA,"auto",NA,NA,NA,"2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
