"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","886127","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","maritima","Inga maritima","Benth.","O. Poncy","L. T. Eiten","3950","1958","07","01","South America","Brazil","Rio de Janeiro","Guanabara. Restinga de Jacarepaguá.","-43.397161","-23.010952","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886127","NY00886127_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886135","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","maritima","Inga maritima","Benth.","H. C. de Lima","D. S. D. de Araújo","2180","1978","09","14","South America","Brazil","Rio de Janeiro","À 3 km da Barra de São João","-42.0183","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886135","NY00886135_01","Cabo Frio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","886138","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","maritima","Inga maritima","Benth.","P. H. W. Taubert","L. Riedel","442","1933","06","18","South America","Brazil","Rio de Janeiro","Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886138","NY00886138_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886130","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","maritima","Inga maritima","Benth.","T. D. Pennington","W. Hoehne","5818","1964","07","16","South America","Brazil","Rio de Janeiro","Prox. Recreio dos Bandeiramentes.","-43.482796","-23.016442","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886130","NY00886130_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1019444","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","maritima","Inga maritima","Benth.",NA,"R. D. Ribeiro","1121","2009","06","10","South America","Brazil","Rio de Janeiro","Entorno das dunas do Peró.","-42.0183","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282398' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019444","NY01019444_01","Cabo Frio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00932373","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","maritima","Inga maritima","Benth.",NA,"O. X. B. Machado","s.n.","1946","07","13","South America","Brazil","Rio de Janeiro","Restinga da Tijuca. D. F.","-43.36594","-23.011012","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932373","NY00932373_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","886129","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","maritima","Inga maritima","Benth.","O. Poncy","H. F. Martins","114","1960","06","11","South America","Brazil","Rio de Janeiro","Jacarepaguá, Restinga de Itapeba.","-43.397161","-23.010952","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886129","NY00886129_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","886133","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","maritima","Inga maritima","Benth.","C. Farney","C. Farney","325","1983","07","16","South America","Brazil","Rio de Janeiro","Restinga próxima ao Morro do Mololô.","-42.8183","-22.9194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886133","NY00886133_01","Maricá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","886139","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","maritima","Inga maritima","Benth.","P. H. W. Taubert","L. Riedel","442","1933","06","18","South America","Brazil","Rio de Janeiro","Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886139","NY00886139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","886137","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","maritima","Inga maritima","Benth.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro","In arenosis maritimis prope Rio Janeiro.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886137","NY00886137_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
