"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:25:49-03","UNESC","CRI","12362","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","Aline Votri Guislon & Peterson T. Padilha","2017","06","08","Alexandre Medeiros","2017","04","24","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375","8793","Coleta 208","CRI010569","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:49-03","UNESC","CRI","12599","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","Aline Votri Guislon & Renato colares","2017","08","23","Alexandre Medeiros","2017","05","16","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras. Entrada do Parque Unipraias.","-48.6347007751465","-26.9906005859375","8793","Coleta 325. Habito: Bambu","CRI010806","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:49-03","UNESC","CRI","12440","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","Renato Colares & Aline V. Guislon","2017","07","17","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375","8793","Coleta 94. Habito: Bambu","CRI010647","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-01 14:16:00-02","NY","NYBG","650282","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"L. G. Clark",NA,NA,NA,"T. Sendulsky","1974","05","14","Brazil","São Paulo","Sao Paulo","Reserva Biológica, Parque Estadual das Fontes do Ipiranga","-46.621883","-23.654505",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229160' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650282",NA,"Magnoliophyta","Poales","1401","South America","sheet","NY00650282_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01806829","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.","G. Davidse",NA,NA,NA,"W. W. Thomas","2004","09","21","Brazil","Bahia","Camacan","RPPN Serra Bonita. 9.6 km NNW of Camacan on road to Jacareci and Jussari; then 6 km up road to Serra Bonita.","-39.5653","-15.3914",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828246' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806829",NA,"Magnoliophyta","Poales","14210","South America","sheet","NY01806829_01","820","820",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","650281","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides","(Raddi) Hack.",NA,NA,NA,NA,"M. A. Chase","1925","01","13","Brazil","Rio de Janeiro",NA,"Corcovado, vicinity of Rio de Janeiro. Near top of steep embankment, (half buried by earth from road) below Paineiras","-43.212496","-22.953099",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650281",NA,"Magnoliophyta","Poales","8207","South America","sheet","NY00650281_01","350","400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 13:29:00-02","NY","NYBG","650999","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"A. C. da Mota",NA,NA,NA,"T. Sendulsky","1974","05","14","Brazil","São Paulo","Sao Paulo","Sao Paulo, Reserva Biologica, Parque Estadual das Fontes do Ipiranga","-46.621883","-23.654505",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356787' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650999",NA,"Magnoliophyta","Poales","1402","South America","sheet","NY00650999_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 14:17:00-02","NY","NYBG","650285","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"L. G. Clark",NA,NA,NA,"W. Pizziolo","1985","11","25","Brazil","Espírito Santo","Santa Teresa","Fazenda Tabajara","-40.6003","-19.9358",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650285",NA,"Magnoliophyta","Poales","246","South America","sheet","NY00650285_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 14:16:00-02","NY","NYBG","650294","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"L. B. Smith",NA,NA,NA,"R. Reitz","1968","05","24","Brazil","Santa Catarina","Ilhota","Parque Botânico do Morro Baú, Ilhota","-48.8269","-26.8997",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650294",NA,"Magnoliophyta","Poales","7056","South America","sheet","NY00650294_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 14:16:00-02","NY","NYBG","650286","PreservedSpecimen","Plantae","Poaceae","Chusquea","bambusoides","Chusquea bambusoides",NA,"L. G. Clark",NA,NA,NA,"T. Sendulsky","1974","05","14","Brazil","São Paulo","Sao Paulo","Sao Paulo, Reserva Biológica, Parque Estadual das Fontes do Ipiranga","-46.621883","-23.654505",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=229161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00650286",NA,"Magnoliophyta","Poales","1402","South America","sheet","NY00650286_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
