"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","identifiedBy","yearIdentified","year","month","day","stateProvince","county","locality","class","order","monthIdentified","dayIdentified","relatedCatalogItem","occurrenceRemarks","fieldNumber","preparationType","minimumElevationInMeters","decimalLongitude","decimalLatitude","individualCount","typeStatus","coordinatePrecision","geoFlag"
"1","2021-04-08 17:42:12-03","EAO","IAN","4458","PreservedSpecimen","Plantae","Dicotiledônea","Leguminosae-Pap.","Vicia","tephrosioides","Vicia tephrosioides","Vogel","Sellow, F","s.n.","Southern America","Brasil","IAN004458","IAN004458_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:42:12-03","EAO","IAN","4458","PreservedSpecimen","Plantae","Dicotiledônea","Leguminosae-Pap.","Vicia","tephrosioides","Vicia tephrosioides","Vogel","Sellow, F","s.n.","Southern America","Brasil","IAN004458","IAN004458_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:17:27-03","UFBA","ALCB","046454","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Vicia","tephrosioides","Vicia tephrosioides","Vog.","Seijo, G","1267","Southern America","Argentina","ALCB033227","ALCB033227","Kurtz","1999","1998","11","08","Corrientes","Dep. Santo Tomé","Gdor. Virasoro, 10 Km W por caminho a Garruchos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:15:18-03","NBC","NL-BOTANY","U.1607672","PreservedSpecimen","Plantae",NA,"Leguminosae-Pap.","Vicia","tephrosioides","Vicia tephrosioides","Vogel","Woolston AL",NA,"Southern America","Paraguay","NL-U1607672",NA,"Bastos NR","1996","1955","11","13","San Pedro",NA,NA,"Magnoliopsidae","Fabales","05","10","U 0256744","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1607672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:15:18-03","NBC","NL-BOTANY","L.3977529","PreservedSpecimen","Plantae",NA,"Leguminosae-Pap.","Vicia","tephrosioides","Vicia tephrosioides","Vogel","Schwarz GJ",NA,"Southern America","Argentina","NL-L3977529","NL-L3977529","Hechenleitner P","2013","1948","09","28","Misiones",NA,"Puerto Espana.","Magnoliopsidae","Fabales","12","01","L 0837520","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3977529 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:15:18-03","NBC","NL-BOTANY","U.1607653","PreservedSpecimen","Plantae",NA,"Leguminosae-Pap.","Vicia","tephrosioides","Vicia tephrosioides","Vogel","Bertoni MB",NA,"Southern America","Argentina","NL-U1607653",NA,"Hechenleitner P","2015","1945","10","07","Misiones",NA,NA,"Magnoliopsidae","Fabales","08","19","U 0256724","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1607653 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:15:18-03","NBC","NL-BOTANY","L.3977511","PreservedSpecimen","Plantae",NA,"Leguminosae-Pap.","Vicia","tephrosioides","Vicia tephrosioides","Vogel","Fiebrig K",NA,"Southern America","Paraguay","NL-L3977511","NL-L3977511","Hechenleitner P","2015","1909","10","01",NA,NA,NA,"Magnoliopsidae","Fabales","08","19","L 0837519","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3977511 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-22 11:47:10-03","IPA","IPA","31827","S","Plantae","Plantae","Leguminosae-Pap.","Vicia","tephrosioides","Vicia tephrosioides","Vogel","Schulz, A.G.","12379","Southern America","Argentina","IPA0031827",NA,"Vanni, R.","1983","1963","09","18","Chaco","Dep. Bermejo","Isla Brasileira. En la playa, entre leños de la resaca",NA,NA,NA,NA,NA,"40-80 cm altura. Flores lila-branquecinas, cáliz glabro sépalos medianos; semilla chica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:15:22-03","UNICAMP","UEC","93432","S","Plantae","Magnoliopsida","Fabaceae","Vicia","tephrosioides","Vicia tephrosioides","Vogel","Vanni, RO; Maruñak, V","3724",NA,"Argentina",NA,NA,"Kurtz, D","1996","1996","11","04","Corrientes","Santo Tomé","38 km N de Santo Tomé,",NA,NA,NA,NA,NA,"fruto, Trepadora hasta 1 m alt. Flores violáceas.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-05-30 11:57:41-03","MNHN","RECOLNAT_MNHN_P","P00761548","PreservedSpecimen",NA,NA,"Fabaceae","Vicia","tephrosioides","Vicia tephrosioides","Vogel","Hassler, E.",NA,NA,"Paraguay","P00761548","P00761548_01","Hechenleitner",NA,"1905","9","1",NA,NA,"Florula Caaguazuensis: in regione fluminis Yhu",NA,NA,NA,NA,NA,"reçu le 11 janvier 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00761548' target='other'> <mi>dwc_moreinfo</mi></a>","9419","hb",NA,NA,NA,NA,NA,NA,NA
"11","2021-02-11 17:19:07-03","UFPR","UPCB","41287","PreservedSpecimen","Plantae",NA,"Fabaceae","Vicia","tephrosioides","Vicia tephrosioides","Vog.","Seijo, G.","1267",NA,"Argentina",NA,NA,"Kurtz, D.","1999","1998","12","08","Corrientes","Santo Tomé","Corrientes, Dep. Santo Tomé, Gdor. Virasoro, 10km W por camino a Garruchos",NA,NA,"01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2011-04-03 17:25:00-03","MO","MOBOT","2255255","PreservedSpecimen","Plantae",NA,"Fabaceae","Vicia","tephrosioides","Vicia tephrosioides","Vogel","Carmen L. Cristóbal|Dieter C. Wasshausen|Victor Maruñak","Cristóbal 2290","South America","Argentina",NA,NA,"Vanni, R. O., //",NA,"1993","9","26","Corrientes","Ituzaingó","Ruta 12, Ea. Santa Ana Ñú, 10 Km W de Villa Olivari",NA,NA,NA,NA,NA,NA,NA,NA,"50.00000000",NA,NA,NA,NA,NA,NA
