"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","fieldNumber","individualCount","typeStatus","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1549760","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","regnelliana","Cambessedesia regnelliana","Cogn.","K. F. Rodrigues","A. C. Brade","17765","1945","04","10","South America","Brazil","Minas Gerais","S.S. Paraíso - Baú.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1794832' target='other'> <mi>dwc_moreinfo</mi></a>","NY01549760","NY01549760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1018455","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","regnelliana","Cambessedesia regnelliana","Cogn.","D. Sasaki","D. Sasaki","323","2003","04","17","South America","Brazil","São Paulo","Estreito. Usina de Estreito (Acampamento de Estreito).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259770' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018455","NY01018455_01","Pedregulho","-47.2772","-20.1578","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3909681","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","regnelliana","Cambessedesia regnelliana","Cogn.",NA,"F. Almeda","9451","2009","02","20","South America","Brazil","Goiás","Off of Highway G0-118, about 10 km north of Alto Paraíso de Goiás en route to Terezina de Goiás.","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451457' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909681","NY03909681_01","Terezina","-47.50907","-14.05487","1480","1480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3909987","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","regnelliana","Cambessedesia regnelliana","Cogn.",NA,"F. Almeda","9424","2009","02","19","South America","Brazil","Goiás","Turnoff at Km 12 from main road to Parque Nacional Chapada dos Veadeiros, about 1-3 km on this road to the Santuario do Vale Dourado and to Serra da Boa Vista.","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451451' target='other'> <mi>dwc_moreinfo</mi></a>","NY03909987",NA,"Alto Paraiso","-47.63015","-14.16562","1145","1145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:44:17-03","EAO","IAN","105338","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Cambessedesia","regnelliana","Cambessedesia regnelliana","Cogn.",NA,"Magalhães, MG","154","1940","06","03","Southern America","Brasil","Minas Gerais","Alagoas. Monte Carmelo.",NA,NA,"IAN105338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:44:17-03","EAO","IAN","131183","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Cambessedesia","regnelliana","Cambessedesia regnelliana","Cogn.","Wurdack, JJ","Irwin, HS; Santos, RR dos","24332","1969","03","14","Southern America","Brasil","Goiás","Sandy campo and rocky slopes with crystalline outcrops, ca. 35km north of Veadeiros.",NA,NA,"IAN131183",NA,NA,NA,NA,"1000","1000","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:44:17-03","EAO","IAN","138935","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Cambessedesia","regnelliana","Cambessedesia regnelliana","Cogn.","Wurdack, JJ","Irwin, HS; Harley, RM","32210","1971","03","19","Southern America","Brasil","Goiás","Campo. Gallery forest and adjacent wet campo (brejo), ca. 20km N of Alto do Paraíso.",NA,NA,"IAN138935",NA,NA,NA,NA,"1250","1250","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:44:17-03","EAO","IAN","15065","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Cambessedesia","regnelliana","Cambessedesia regnelliana","Cogn.",NA,"Magalhães, MG","154","1940","06","03","Southern America","Brasil","Minas Gerais","Alagoas. Monte Carmelo.",NA,NA,"IAN015065","IAN015065 IAN015065_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:02:21-03","NBC","NL-BOTANY","WAG.1091108","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Cambessedesia","regnelliana","Cambessedesia regnelliana","Cogn.",NA,"Irwin HS; Harley RM; Smith GL",NA,"1971","03","19","Southern America","Brazil",NA,"Estado de Goiás, Campo. Gallery forest an adjacent wet campo (brejo), ca. 20km N. of Alto do Paraiso.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1091108 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1091108","NL-WAG1091108",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:13:20-03","ESALQ","ESA","60336","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Cambessedesia","regnelliana","Cambessedesia regnelliana","Cogn.","Rodrigues, K.F.","Elias, S.I. ; Rolim, G.S.","349.0","1999","03","24",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA060336","ESA060336","São Roque de Minas","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA
