"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","scientificNameAuthorship","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","class","order","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","imagecode","infraspecificEpithet","eventTime","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:38:15-03","E","E","433200","PreservedSpecimen","Plantae","Compositae","Trichogonia","menthifolia","Trichogonia menthifolia","unspecified kind of","Gardner, George","4226","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:459663","<a href=http://data.rbge.org.uk/herb/E00433200 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:19:06-03","UFRJ","RFA","4261","PreservedSpecimen","Plantae","Asteraceae","Trichogonia","martii","Trichogonia martii",NA,"Liene; D. Sucre, A.P. Duarte & E. Pereira",NA,NA,"Brasil","Rio de Janeiro",NA,NA,"Arbusto, flores alvas.","RFA39086","Baker","Graziela M. Barroso","1958","04","16","Rio de Janeiro","Restinga de Jacarepaguá, Recreio dos Bandeirantes.","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-19 15:43:26-03","UNEB","HUNEB","3036","PreservedSpecimen","Plantae","Asteraceae","Trichogonia","zehntneri","Trichogonia zehntneri",NA,"Fonseca, M.R.","46322",NA,"Brasil","Bahia",NA,NA,"Arbustiva-arbórea.","HUNEB0003036","Mattf.",NA,"2000","02","27","Remanso","Caminho para Pau Ferro.","-42.234722","-9.645556",NA,NA,"Angiospermae","Dicotyledoneae","Florideophycidae","42W14'5''","9S38'44''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:35:11-03","EAO","IAN","36667","PreservedSpecimen","Plantae","Asteraceae","Trichogonia","martii","Trichogonia martii",NA,"Martins-da-Silva, RCV","s.n.","Southern America","Brasil","Minas Gerais",NA,NA,NA,"IAN036667","Baker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2013-07-03 10:32:18-03","EBDA","BAH","9580","S","Plantae","Asteraceae","Trichogonia","zehntneri","Trichogonia zehntneri",NA,"Fonseca, M.R","1289",NA,"Brasil","Bahia",NA,NA,"Erva, 0,45m. Folhas membranaceas, discolores. Inflorescencia em capitulos, filários verdes com pelos alvos no ápice, flores com corola de ápice lilás e tomentos alvos, ramos do estilete lilases e ápices alvos.",NA,"Mattf.","Saar, E.","2000","02","27","Remanso","Caminho para pau ferro","-42.234722","-9.645556",NA,NA,NA,NA,NA,"42W 14' 05","09S 38' 44","2000","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:11:27-03","UFBA","ALCB","92976","PreservedSpecimen","Plantae","Asteraceae","Trichogonia","eupatorioides","Trichogonia eupatorioides",NA,"Guedes, ML; Xavier, AB","s/n","Southern America","Brasil","Bahia",NA,NA,"Ca. 1,0 m de alt. Folhas membranáceas, discolores. Inflorescência com flores lilases.; Charco arenoso.",NA,"(Gardner) D.J.N.Hind","Roque, N","2005","09","15","Formosa do Rio Preto","Oeste","-44.942778","-10.906111",NA,NA,"Dicotyledon",NA,NA,"-44.942778","-10.906111","2010","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:11:27-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Asteraceae","Trichogonia","eupatorioides","Trichogonia eupatorioides",NA,"Queiroz, LP de; Carvalho-Sobrinho, JG de","10990","Southern America","Brasil","Bahia",NA,NA,"ereta, ramificada, ca. 0,7 m alt. Folhas membranáceas. Capítulos com brácteas verdes. Flores com corola lilás e ramos do estilete brancos. DNA.; arbórea, sobre afloramentos calcáreos.","72859","(Gardner) D.J.N.Hind","Roque, N","2005","10","13","São Félix do Coribe","Oeste, ca. 50,9 km S de Santa Maria da Vitória (em linha reta) na estrada para Alagoinhas","-43.958889","-13.789444",NA,NA,"Dicotyledon",NA,NA,"-43.958889","-13.789444","2015","05","528","528",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:11:27-03","UFBA","ALCB","04420","PreservedSpecimen","Plantae","Asteraceae","Trichogonia","eupatorioides","Trichogonia eupatorioides",NA,"Costa, AL","s/n","Southern America","Brasil","Bahia",NA,NA,"Folhas roxas.; Várzeas - lugares húmidos.",NA,"(Gardner) D.J.N.Hind","Roque, N","1963","07","24","Baianópolis","Oeste, Margem do Marimbú","-44.533333","-12.3",NA,NA,"Dicotyledon",NA,NA,"-44.533333","-12.3","2010","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:11:27-03","UFBA","ALCB","55528","PreservedSpecimen","Plantae","Asteraceae","Trichogonia","eupatorioides","Trichogonia eupatorioides",NA,"Alves, L. de J.; Guedes, ML; Santana, DL; Loureiro, DM","s/n","Southern America","Brasil","Bahia",NA,NA,"Ca. 1,60 m. Folhas membranáceas, discolores. Capítulos de flores róseas.",NA,"(Gardner) D.J.N.Hind","Roque, N","2001","07","01","São Desidério","Oeste, Assentamento Thainá","-44.85","-12.6",NA,NA,"Dicotyledon",NA,NA,"-44.85","-12.6","2010","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:11:27-03","UFBA","ALCB","76020","PreservedSpecimen","Plantae","Asteraceae","Trichogonia","eupatorioides","Trichogonia eupatorioides",NA,"Jardim, JG; Sano, PT; Watanabe, MTC; Travó, MLO; Costa, FN","3594","Southern America","Brasil","Bahia",NA,NA,"Ca. 40 cm alt. Folhas verdes com a face inferior mais clara. Flores róseas, estames brancos.; Floresta Ciliar, bacia do Rio Carinhanha.",NA,"(Gardner) D.J.N.Hind","Roque, N","2007","01",NA,"Feira da Mata","Médio São Francisco, Rod. Cocos/ Feira da Mata, 23 km de Cocos","-44.369444","-14.251111",NA,NA,"Dicotyledon",NA,NA,"-44.369444","-14.251111","2010","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-08-11 00:15:37-03","UFBA","ALCB","033562","PreservedSpecimen","Plantae","Asteraceae","Trichogonia","zehntneri","Trichogonia zehntneri",NA,"Stannard, B; Atkins, S; Woodgyer, EM; Conceição, AA","PCD2540","Southern America","Brasil","Bahia",NA,NA,"0,40 m. Flores de brácteas verdes, sépalas e pétalas alvas; estilete e estigma roxo-claro. Frequente.; Vegetação rica em ervas e arbustos. Solo arenoso.",NA,"Mattf.","Hind, DJN","1996","03","19","Xique-Xique","Irecê, Lagoa de Itaparica","-42.738333","-11.062222",NA,NA,"Dicotyledon",NA,NA,"-42.738333","-11.062222","1997",NA,"480","480",NA,NA,NA,NA,NA,NA,NA
