"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","infraspecificEpithet","locality","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","487215","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","praelonga","Alternanthera praelonga","A.St.-Hil.","T. M. Pedersen","T. M. Pedersen","12667","1979","12","10","South America","Brazil","Santa Catarina","Itapema","-48.6114","-27.0906","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=245881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487215","NY00487215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:54:07-03","NBC","NL-BOTANY","U.1052862","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","praelonga","Alternanthera praelonga australis","Pedersen",NA,"Irgang BE",NA,"1970","11","20","Southern America","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1052862 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1052862","NL-U1052862","Magnoliopsidae","australis","Torres-Morro do Farol-RGS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:28:21-03","IAP","PACA-AGP","118016","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","praelonga","Alternanthera praelonga","A. St.-Hil.","Marchioretto, M.S.","Silveira, N.","4946","1987","08","26",NA,"Brasil","RS","Torres","-49.7268981933594","-29.3353004455566",NA,"HAS 50635 Habitat: no areial Fenofase: Inflorescência branca","PACA118016",NA,"Magnoliatae",NA,"Parque Estadual da Guarita","2018","03","20837","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:28:21-03","IAP","PACA-AGP","108267","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","praelonga","Alternanthera praelonga","A. St.-Hil.","M.S. Marchioretto","Marchioretto, M. S.","565","2010","12","09",NA,"Brasil","RS","Torres","-49.735183","-29.3567",NA,"Habitat: Próximo ao morro, na areia com vegetação, lado direito","PACA108267",NA,"Magnoliatae",NA,"Parque da Guarita",NA,NA,NA,NA,"49° 44.111'W","29° 21.402'S",NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:28:21-03","IAP","PACA-AGP","108269","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","praelonga","Alternanthera praelonga","A. St.-Hil.","M.S. Marchioretto","Marchioretto, M. S.","567","2010","12","09",NA,"Brasil","RS","Torres","-49.732767","-29.357117",NA,"Habitat: Próximo ao morro de areia, no lado esquerdo","PACA108269",NA,"Magnoliatae",NA,"Parque da Guarita","2010",NA,NA,NA,"49° 43.966'W","29° 21.427'S",NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:28:21-03","IAP","PACA-AGP","108270","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","praelonga","Alternanthera praelonga","A. St.-Hil.","M.S. Marchioretto","Marchioretto, M. S.","568","2010","12","09",NA,"Brasil","RS","Torres","-49.735183","-29.3567",NA,"Habitat: na areia com vegetação, no outro lado do morro, na direita","PACA108270",NA,"Magnoliatae",NA,"Parque Guaritas","2010",NA,NA,NA,"49° 44.111'W","29° 21.402'S",NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:28:21-03","IAP","PACA-AGP","68703","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","praelonga","Alternanthera praelonga","A. St.-Hil.","Marchioretto, M.S.","D. B. Falkenberg","2494","1985","06","23",NA,"Brasil","SC","Armação - Penha",NA,NA,NA,"Habitat: Restinga, beira da praia Ecossistema: Mata Atlântica","PACA068703",NA,"Magnoliatae",NA,NA,"2018","05",NA,NA,NA,NA,"3","3",NA,NA,NA,NA
"8","2019-08-27 13:28:21-03","IAP","PACA-AGP","56515","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","praelonga","Alternanthera praelonga","A. St.-Hil.","M.S. Marchioretto",NA,NA,"1978",NA,NA,NA,"Brasil","RS","Torres","-49.7268981933594","-29.3353004455566",NA,"Habitat: In arenosis graminosis. Fenofase: flor e fruto","PACA056515",NA,"Magnoliatae",NA,NA,"2011","04","20837","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:28:21-03","IAP","PACA-AGP","56192","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","praelonga","Alternanthera praelonga","A. St.-Hil.","M.S. Marchioretto","Rambo, B.",NA,"1954","11","12",NA,"Brasil","RS","Torres","-49.7268981933594","-29.3353004455566",NA,"Habitat: In graminosis. Fenofase: flor e fruto","PACA056192",NA,"Magnoliatae",NA,NA,"2011","04","20837","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:28:21-03","IAP","PACA-AGP","118017","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","praelonga","Alternanthera praelonga","A. St.-Hil.","Marchioretto, M.S.","Mattos, J.","31251","1980","12","22",NA,"Brasil","RS","Torres","-49.7268981933594","-29.3353004455566",NA,"Habitat: nas rochas da orla maritima","PACA118017",NA,"Magnoliatae",NA,"parque da guarita","2018","03","20837","auto",NA,NA,NA,NA,NA,NA,NA,NA
