"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","continentOcean","infraspecificEpithet","typeStatus"
"1","2021-02-11 17:20:59-03","UFPR","UPCB","72405","PreservedSpecimen","Plantae","Orchidaceae","Pabstia","viridis","Pabstia viridis","(Lindl.) Garay","Mancinelli, W.S.","2010","12","07","Mancinelli, W.S.","1363","2010","12","07","Brasil","Santa Catarina","Joinville","Morro da Tromba","-48.8456001281738","-26.3043994903564","37150","400","400","Epífita, flor verde, labelo branco com azul, ocorrente em Floresta Ombrófila Densa Montana..","UPCB0033045","UPCB0033045","auto",NA,NA,NA,NA,NA
"2","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","15130",NA,"Plantae","Orchidaceae","Zygopetalum","viride","Zygopetalum viride","(Lindl.) Schltr.","T.E.C. Meneguzzo/2017",NA,NA,NA,"L. Kollmann; et al","4509","2001","09","05","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Epífita na sombra. Frutos verdes. Sépalas verdes com manchas vináceas.","MBML015130",NA,NA,"40W31'49","19S58'17",NA,NA,NA
"3","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","17174",NA,"Plantae","Orchidaceae","Zygopetalum","viride","Zygopetalum viride","(Lindl.) Schltr.","T.E.C. Meneguzzo/2017",NA,NA,NA,"R.R. Vervloet; et al","383","2002","06","18","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Epífita a 5m do solo, local sombreado, frutos imaturos de cor verde, flor envelhecida esverdeada, meia encosta.","MBML017174",NA,NA,"40W33'11","19S54'27",NA,NA,NA
"4","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","19699",NA,"Plantae","Orchidaceae","Zygopetalum","viride","Zygopetalum viride","(Lindl.) Schltr.","T.E.C. Meneguzzo/2017",NA,NA,NA,"A. P. Fontana; et al","458","2002","12","31","Brasil","Espírito Santo","Fundão","Goiapaba-Açu","-40.472222","-19.914167",NA,NA,NA,"Epífita umbrófila, flores verdes com brácteas marrons na base, labelo branco calos, coluna branca com meio na parte interna lilás. Bráctea verde.","MBML019699",NA,NA,"40W28'20","19S54'51",NA,NA,NA
"5","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","13334",NA,"Plantae","Orchidaceae","Zygopetalum","viride","Zygopetalum viride","(Lindl.) Schltr.","T.E.C. Meneguzzo/2017",NA,NA,NA,"C. N. de Fraga","587","2000","01","30","Brasil","Espírito Santo","Domingos Martins","Próximo a Pedra Azul","-40.6591987609863","-20.3633003234863","48150",NA,NA,"Mata Atlântica. Terrestre em pedras, flores com pétalas verdes maculadas de castanho, labelo com listras lilás (coerulea) em fundo branco.","MBML013334",NA,"auto",NA,NA,NA,NA,NA
"6","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","35946",NA,"Plantae","Orchidaceae","Zygopetalum","viride","Zygopetalum viride","(Lindl.) Schltr.","T.E.C. Meneguzzo/2017",NA,NA,NA,"L. Kollmann; A.P. Fontana, C. Fraga & M. Simonelli","10421","2008","01","23","Brasil","Espírito Santo","Divino de São Lourenço",NA,"-41.6857986450195","-20.6200008392334","16004","1000","1000","Epífita, sépalas verdes, pétalas verdes com a base vinacea, labelo branco de ápice azulado.","MBML035946",NA,"auto",NA,NA,NA,NA,NA
"7","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Colax","placanthera","Colax placanthera","Lindl.",NA,NA,NA,NA,"Harrison, W","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro ad Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"8","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Colax","placanthera","Colax placanthera","Lindl.",NA,NA,NA,NA,"Harrison, W","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro ad Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"9","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Colax","viridis","Colax viridis","(Lindl.) Lindl.",NA,NA,NA,NA,"Chamberlain, Henry","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"10","2017-09-11 17:11:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Colax","viridis","Colax viridis","(Lindl.) Lindl.",NA,NA,NA,NA,"Chamberlain, Henry","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
