"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","county","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","822876","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","hatschbachii","Portulaca hatschbachii","D.Legrand","J. C. Lindeman","J. C. Lindeman","1140","1966","05","01","South America","Brazil","Paraná","Near Sawmill Brandalize, N of R. Chopim, ca. 20 km N of Clevelândia","-52.436319","-26.225361","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822876","NY00822876_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:23:08-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Portulacaceae","Portulaca","hatschbachii","Portulaca hatschbachii","D.Legrand","Hatschbach, G","Barbosa, E; Cunha, EM","1768","2006","10","26","Southern America","Brasil","Paraná","Lagoa Seca","-52.0558013916016","-25.5722007751465",NA,NA,NA,"flor violeta",NA,NA,"2006","Candói","42664","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:56:42-03","NBC","NL-BOTANY","L.1687209","PreservedSpecimen","Plantae",NA,"Caryophyllales","Portulacaceae","Portulaca","hatschbachii","Portulaca hatschbachii","D.Legrand",NA,"Hatschbach GG; Guimarães OA",NA,"1968","09","26","Southern America","Brazil",NA,"Est. Paraná, Mun. Guarapuava, Canto Galo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1687209 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1687209","NL-L1687209",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:56:42-03","NBC","NL-BOTANY","L.1687210","PreservedSpecimen","Plantae",NA,"Caryophyllales","Portulacaceae","Portulaca","hatschbachii","Portulaca hatschbachii","D.Legrand",NA,"Hatschbach GG",NA,"1960","10","21","Southern America","Brazil",NA,"Est. Parana Mun. Guarapuava, Rio Coutinho.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1687210 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1687210","NL-L1687210",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:56:42-03","NBC","NL-BOTANY","U.1524713","PreservedSpecimen","Plantae",NA,"Caryophyllales","Portulacaceae","Portulaca","hatschbachii","Portulaca hatschbachii","D.Legrand","Lindeman JC","Lindeman JC; Haas JH de",NA,"1966","05","01","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1524713 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1524713","NL-U1524713",NA,NA,NA,NA,"Magnoliopsidae","U 0137069",NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:56:42-03","NBC","NL-BOTANY","U.1524714","PreservedSpecimen","Plantae",NA,"Caryophyllales","Portulacaceae","Portulaca","hatschbachii","Portulaca hatschbachii","D.Legrand","Lindeman JC","Lindeman JC; Pott A",NA,"1972","12","19","Southern America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1524714 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1524714","NL-U1524714",NA,NA,NA,NA,"Magnoliopsidae","U 0024929",NA,NA,NA,NA,NA,NA
"7","2020-11-19 10:25:08-03","CPAP","CPAP","10121","PreserverdSpecimen","Plantae",NA,NA,"Portulacaceae","Portulaca","hatschbachii","Portulaca hatschbachii","Legr.","A. C. Cervi","Cervi, A. C.","3394","1991","10","14",NA,"Brasil","PR","Cantagalo, próximo ao km 421","-52.1263999938965","-25.3743991851807",NA,NA,NA,"Erva rastejante. FLOR: rósea. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Terreno basaltico. SUBSTRATO: . RELEVO: .",NA,NA,"1991","Cantagalo","29583","auto",NA,NA,"10","14",NA,NA,NA,NA
"8","2019-08-27 13:28:46-03","IAP","PACA-AGP","86431","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Portulacaceae","Portulaca","hatschbachii","Portulaca hatschbachii","D. Legrand","M.I.A. Rodrigues","Hatschbach, G.","22892","1969","11","17",NA,"Brasil","PR","Campo das Pedras","-51.1627998352051","-23.3103008270264",NA,NA,NA,"Cf. por A. Oliveira-Paes Coelho em 2007. Habitat: Lajeados úmidos","PACA086431",NA,"1999","Londrina","63728","auto","Magnoliatae",NA,NA,NA,NA,NA,NA,NA
"9","2021-04-07 11:48:00-03","UFMS","CGMS","50711","PreservedSpecimen","Plantae",NA,NA,"Portulacaceae","Portulaca","hatschbachii","Portulaca hatschbachii","D.Legrand","G. Hatschbach","E. Barbosa; E.M. Cunha","1768","2006","10","26",NA,"Brasil","Paraná","Lagoa Seca.","-52.0558013916016","-25.5722007751465",NA,NA,NA,"Flor violeta. Habitat: Lajeado. Habito: Ereta.","CGMS1080698",NA,"2006","Candói","42664","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-16 17:51:37-03","UCS","HUCS","20181","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Portulacaceae","Portulaca","hatschbachii","Portulaca hatschbachii","Legrand","Hatschbach, G.","Silva, J.M.","3615","2002","04","13",NA,"Brasil","Paraná","Reserva Indígena de Guarapuava , Rio Marrecas","-51.5297012329102","-25.0428009033203",NA,NA,NA,"ascendente, flor púrpurea - MBM; Lajeados rochosos",NA,NA,"2002","Turvo","36663","auto",NA,NA,NA,NA,NA,NA,NA,NA
