"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","recordNumber","continentOcean","preparationType","barcode","imagecode","class","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","fieldNumber","sex"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3751","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","remotiflora","Dyckia remotiflora","Kelen Soars","2016","05","25","Lucas Assis; Kelen Soares","2016","05","10","Brasil","Rio Grande do Sul","Canguçu","Morro da Antena","-52.6755981445312","-31.3950004577637","52º40'53","31º23'28","68702","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376548","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","remotiflora","Dyckia remotiflora",NA,NA,NA,NA,"J. E. Leite","1942","01",NA,"Brazil","Rio Grande do Sul","Porto Alegre","Arredores de Porto Alegre","-51.153181","-30.11284",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396129' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Otto & A.Dietr.","2499","South America","sheet","NY00376548","NY00376548_01",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376593","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","remotiflora","Dyckia remotiflora",NA,NA,NA,NA,"Á. L. Cabrera","1981","01",NA,"Uruguay","Rocha",NA,"La Pedrera.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396130' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Otto & A.Dietr.","32325","South America","sheet","NY00376593","NY00376593_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:44:51-03","EAO","IAN","35375","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Dyckia","montevidensis","Dyckia montevidensis",NA,NA,NA,NA,"Sellow, F",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.Koch","s.n.","Southern America",NA,"IAN035375","IAN035375_f",NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:44:51-03","EAO","IAN","40952","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Dyckia","vaginosa","Dyckia vaginosa",NA,NA,NA,NA,"Glaziou, AFM",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mez","15497","Southern America",NA,"IAN040952",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:12:11-03","NBC","NL-BOTANY","AMD.48939","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Dyckia","montevidensis","Dyckia montevidensis",NA,NA,NA,NA,"Herter G",NA,NA,NA,"Uruguay",NA,NA,"Dep de Rio Negro, Bote.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.48939 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"K.Koch",NA,"Southern America",NA,"NL-AMD48939","NL-AMD48939","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U.1177790","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Dyckia","montevidensis","Dyckia montevidensis",NA,NA,NA,NA,"Herter","1927","11","01","Uruguay",NA,NA,"Plantae Uruguayenses. Dep. de Rio Negro. Loc. Dict. Bote.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1177790 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"K.Koch",NA,"Southern America",NA,"NL-U1177790","NL-U1177790","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:12:11-03","NBC","NL-BOTANY","L.3737156","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Dyckia","remotiflora","Dyckia remotiflora",NA,NA,NA,NA,"Pedersen TM","1977","01","22","Uruguay",NA,NA,"Estancia 'Cerros de San Juan'Dep. Colonia.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3737156 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"A.Dietr.",NA,"Southern America",NA,"NL-L3737156","NL-L3737156","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U.1177789","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Dyckia","remotiflora","Dyckia remotiflora",NA,NA,NA,NA,"Rosengurtt B","1942","11","14","Uruguay",NA,NA,"Paysandu. Chapicuy, Orillas del rio Uruguay, Sta. Sofia. En pedregales.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1177789 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"A.Dietr.",NA,"Southern America",NA,"NL-U1177789","NL-U1177789","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U.1177830","PreservedSpecimen","Plantae",NA,"Poales","Bromeliaceae","Dyckia","remotiflora","Dyckia remotiflora",NA,NA,NA,NA,"Leite JE","1942","01","01","Brazil",NA,NA,"Cerrados de Porte Alegre.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1177830 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"A.Dietr.",NA,"Southern America",NA,"NL-U1177830","NL-U1177830","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:03:56-03","ESALQ","ESA","76772","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","remotiflora","Dyckia remotiflora","Wanderley, M.G.L.",NA,NA,NA,"Souza, V.C. et al.","1994","11","13","Brasil","São Paulo","Bom Sucesso de Itararé",NA,"-49.1399993896484","-24.3099994659424",NA,NA,"14955",NA,NA,"auto","Otto & Dietrich",NA,NA,NA,"ESA076772","ESA076772",NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:25:52-03","MN","R","102771","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","remotiflora","Dyckia remotiflora",NA,NA,NA,NA,"Smith, L.B. 5846; Reitz, R.","1952","02","26","Brasil","Rio Grande do Sul","Torres",NA,"-49.833333","-29.3","49°50'W","29°18'S",NA,NA,NA,NA,"Otto & A. Dietr.",NA,NA,NA,"R010005710",NA,NA,"10","10",NA,NA,NA,NA
"13","2021-01-14 15:25:52-03","MN","R","116366","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","remotiflora","Dyckia remotiflora","Forzza, R.C.","1996","03","08","Mello Filho, L.E. 2280; Andrade, A.G. 2184 ; Nobre de Mello ; Lessa, E. & Medeiros, F.","1966","07","27","Brasil","Minas Gerais","Furnas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Otto & A. Dietr.",NA,NA,NA,"R010005734","R010005734",NA,NA,NA,NA,NA,NA,NA
