"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","fieldNumber","eventTime"
"1","2021-04-05 14:34:11-03","UNESC","CRI","227","PreservedSpecimen","Plantae","Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum","Dunal","L. A. Mentz","1997","06","25","Vanilde Citadini-Zanette; Valdemar P. Boff","1983","11","09","Brasil","Santa Catarina","Siderópolis","-49.431667","-28.595833","49º25'54''W","28º35'45''S","CRI007300","CRI007300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","9127","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","A. Korte","2011","07","22","A. Korte","2011","03","15","Brasil","Santa Catarina","Chapadão do Lageado","-49.5","-27.54","49º30'0''W","27º32'24''S","CRI007533","CRI007533","3336","Rio Lageado.","470","470","Floresta Ombrófila Densa Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:11-03","UNESC","CRI","7404","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Tanise Boeira Pelegrine Bertolin","2007","06","25","Tanise Boeira Pelegrine Bertolin","2006","06","28","Brasil","Santa Catarina","Araranguá","-49.486389","-28.935556","49º29'11''W","28º56'8''S","CRI007532","CRI007532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:09-03","UNESC","CRI","12170","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Verdi, M","2008","12","15","Verdi, M.; Grosch, B. & Klemz, G.","2008","12","15","Brasil","Santa Catarina","Campo Belo do Sul","-50.849722","-28.035","50º50'59''W","28º2'6''S","CRI010348","CRI010348","1151","Canoas / Fazenda Gateados.","845","845","Florística IFFSC 677 Habitat: Ecótono Floresta Ombrófila Mista e Floresta Estacional Decidual; entorno do fragmento Habito: flor roxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:11-03","UNESC","CRI","11830","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti","2016","04","04","Brasil","Santa Catarina","Grão Pará","-49.391944","-28.191111","49º23'31''W","28º11'28''S","CRI007534","CRI007534",NA,"Parque Estadual Serra Furada.","470","470","Floresta Ombrófila Densa Montana Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:11-03","UNESC","CRI","12049","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha","2016","07","28","Brasil","Santa Catarina","Grão Pará","-49.392222","-28.156389","49º23'32''W","28º9'23''S","CRI010227","CRI010227",NA,NA,"450","450","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:26:09-03","UNESC","CRI","12171","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Korte, A","2010","02","25","Korte, A.; Kniess, A.","2010","02","05","Brasil","Santa Catarina","Santa Terezinha","-49.950556","-26.730278","49º57'2''W","26º43'49''S","CRI010349","CRI010349","1703","Nova Esperança.","535","535","Florística IFFSC 797 (Arbusto) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbusto; flor roxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:26:09-03","UNESC","CRI","11990","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Aline Votri Guislon","2016","10","10","Vanilde Citadini-Zanette","2016","07","19","Brasil","Santa Catarina","Grão Pará","-49.421389","-28.136944","49º25'17''W","28º8'13''S","CRI010136","CRI010136",NA,NA,"450","450","Flor Roxa Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:09-03","UNESC","CRI","3130","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","L. A. Mentz",NA,NA,NA,"Robson dos Santos","1994","05","13","Brasil",NA,"Brasil","-49.7","-29.133333","49º42'W","29º8'S","CRI007536","CRI007536","67","Proximidades da Escola Técnico Federal Agrícola.","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:11-03","UNESC","CRI","8142","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","M. Verdi","2008","12","11","M. Verdi; G. Klemz R. P. Hasckel","2008","12","11","Brasil","Santa Catarina","Anita Garibaldi","-51.130278","-27.689722","51º7'49''W","27º41'23''S","CRI007530","CRI007530","1339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:34:11-03","UNESC","CRI","8407","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Vanilde Citadini-Zanette","2007",NA,NA,"Mainara F. Cascaes","2007","04","23","Brasil","Santa Catarina","Maracajá","-49.453056","-28.847222","49º27'11''W","28º50'50''S","CRI007529","CRI007529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:34:11-03","UNESC","CRI","11285","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","A. Korte","2009","11","25","A. Korte; A. Kniess","2009","11","25","Brasil","Santa Catarina","Alfredo Wagner","-49.500556","-27.630278","49º30'2''W","27º37'49''S","CRI007527","CRI007527","160","Alto Limeirinha.","642","642","Floresta Ombrófila Densa Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:34:11-03","UNESC","CRI","12866","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Renato Colares","2018","03","12","Alexandre Medeiros","2017","08","31","Brasil","Santa Catarina","Balneário Camboriú","-48.637778","-27.001389","48º38'16''W","27º0'5''S","CRI011474","CRI011474",NA,"Praia do Estaleiro (mirante)",NA,NA,"Coleta 711. Flor lilás. Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:34:11-03","UNESC","CRI","14530","PreservedSpecimen","Plantae","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","Uller, HF","2015","07","02","Uller, H.F.; Klitzke, A.R.","2015","07","02","Brasil","Santa Catarina","Guaramirim","-49.041667","-26.531389","49º2'30''W","26º31'53''S","CRI013646","CRI013646","651","Morro da Antena. Morro da Antena.","28","28","Habitat: Beira da estrada em área submetida ao manejo madeireiro Habito: árvore com 20cm de DAP e 19 m de altura. Fuste retilíneo medindo 8.55cm. Flores lilás com pequenas manchas amareladas no centro das pétalas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
