"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","stateProvince","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:25:25-03","UNESC","CRI","9530","PreservedSpecimen","Plantae","Lauraceae","Ocotea","porosa","Ocotea porosa","(Nees & Mart.) Barroso","A. Quinet","2010","09","15","M. Verdi; E. M. Martins e O. N. Veiga","5452","2010","08","19","Brasil","Brasil","Barreiros.","-50.495","-26.278333","50º29'42''W","26º16'42''S","807","807","Floresta Ombrófila Mista","CRI003633","CRI003633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:25-03","UNESC","CRI","9547","PreservedSpecimen","Plantae","Lauraceae","Ocotea","porosa","Ocotea porosa","(Nees & Mart.) Barroso","A. Quinet","2010","09","15","E.M. Martins; M. Verdi","10","2010","08","26","Brasil","Colombo","Imbuial da Roseira.","-49.146389","-25.298056","49º8'47''W","25º17'53''S","992","992","Floresta Ombrófila Mista","CRI003638","CRI003638","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","538094","PreservedSpecimen","Plantae","Lauraceae","Ocotea","porosa","Ocotea porosa","(Nees & Mart.) Barroso","H. H. van der Werff",NA,NA,NA,"G. G. Hatschbach","22386","1969","10","08","Brazil","Ivaí","Bom Jardim","-50.8589","-25.0108",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538094","NY00538094_01","Paraná","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","469402","PreservedSpecimen","Plantae","Lauraceae","Ocotea","porosa","Ocotea porosa","(Nees & Mart.) Barroso",NA,NA,NA,NA,"K. Kubitzki","79274","1979","10","02","Brazil","Sao Paulo","Pinheirinho, Serra da Cantareira ao Norte da Cidade","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469402","NY00469402_01","São Paulo","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","469388","PreservedSpecimen","Plantae","Lauraceae","Ocotea","porosa","Ocotea porosa","(Nees & Mart.) Barroso",NA,NA,NA,NA,"R. Reitz","3074","1956","04","12","Brazil","Ibirama","Horto Florestal I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,"450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469388","NY00469388_01","Santa Catarina","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","469387","PreservedSpecimen","Plantae","Lauraceae","Ocotea","porosa","Ocotea porosa","(Nees & Mart.) Barroso",NA,NA,NA,NA,"R. Reitz","3014","1956","04","05","Brazil","Palhoça","Pilhoes, Palhoça","-48.6678","-27.6456",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469387","NY00469387_01","Santa Catarina","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","538100","PreservedSpecimen","Plantae","Lauraceae","Ocotea","porosa","Ocotea porosa","(Nees & Mart.) Barroso","I. de Vattimo",NA,NA,NA,"L. B. Smith","13047","1964","11","08","Brazil","Irani","Campo de Irani","-51.83","-26.95",NA,NA,"700","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538100","NY00538100_01","Santa Catarina","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","469389","PreservedSpecimen","Plantae","Lauraceae","Ocotea","porosa","Ocotea porosa","(Nees & Mart.) Barroso",NA,NA,NA,NA,"R. Reitz","3152","1956","04","19","Brazil","Luiz Alves","Braço Joaquim, Luis Alves, Itajai","-48.941177","-26.748537",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469389","NY00469389_01","Santa Catarina","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","538107","PreservedSpecimen","Plantae","Lauraceae","Ocotea","porosa","Ocotea porosa","(Nees & Mart.) Barroso","R. Reitz",NA,NA,NA,"L. B. Smith","12425","1964","10","12","Brazil","Catanduvas","East of Catanduvas","-51.75","-27.05",NA,NA,"700","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538107","NY00538107_01","Santa Catarina","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","469384","PreservedSpecimen","Plantae","Lauraceae","Ocotea","porosa","Ocotea porosa","(Nees & Mart.) Barroso",NA,NA,NA,NA,"R. Reitz","2621","1956","02","04","Brazil","Ibirama","Horto Florestal I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469384","NY00469384_01","Santa Catarina","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
