"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:36:29-03","E","E","202913","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","rufa","Jacaranda rufa","Proença, C.","1892","1997","11","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217537","<a href=http://data.rbge.org.uk/herb/E00202913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","931376","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","rufa","Jacaranda rufa","E. P. Heringer","2861","1979","12","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931376","Magnoliophyta","Lamiales","Silva Manso","A. H. Gentry","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","NY00931376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","402702","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","rufa","Jacaranda rufa","J. C. Solomon","7732","1982","05","21","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402702","Magnoliophyta","Lamiales","Silva Manso","I. de Vattimo","El Beni","Vaca Díez","37 km E of Riberalta on road to Guayaramerín.","-65.75","-11.08",NA,"230","230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","483904","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","rufa","Jacaranda rufa","G. M. Magalhaes","19242","1963","05","21","South America","Brazil","separate fruit",NA,"See fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483904","Magnoliophyta","Lamiales","Silva Manso","I. de Vattimo","Minas Gerais","Monte Alegre","8 Km Noroeste da cidade Monte Alegre. Bacia do Rio Paranaiba.",NA,NA,"NY00483904_01 NY00483904_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","402698","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","rufa","Jacaranda rufa","I. Silberbauer-Gottsberger","23101074","1974","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402698","Magnoliophyta","Lamiales","Silva Manso","I. Silberbauer-Gottsberger","São Paulo","Botucatu","18 km ao norte de Botucatu, 14 km a leste de Sao Maneul. Ao longo da estada Sao Manuel-Piracicaba. Perto da Estaçao 13 de Maio, da antiga linha de trem.","-48.42","-22.75","NY00402698_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","931380","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","rufa","Jacaranda rufa","M. Macedo","1474","1980","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931380","Magnoliophyta","Lamiales","Silva Manso","R. Callejas Posada","Mato Grosso",NA,"Rio da Casca Road, Jamaca farm, Chapada dos Guimarães, Cuiabá.",NA,NA,"NY00931380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","402703","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","rufa","Jacaranda rufa","M. Chumzum",NA,"1985","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402703","Magnoliophyta","Lamiales","Silva Manso","I. de Vattimo",NA,NA,"Campo Grande, Rochedo.",NA,NA,"NY00402703_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","931378","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","rufa","Jacaranda rufa","H. S. Irwin","16722","1966","06","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931378","Magnoliophyta","Lamiales","Silva Manso","A. H. Gentry","Mato Grosso",NA,"Ca. 2 km. N.E. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.33687","-14.65392","NY00931378_01 NY00931378_02","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","931383","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","rufa","Jacaranda rufa","J. Ramos","R.&S.61",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1011517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00931383","Magnoliophyta","Lamiales","Silva Manso",NA,"Mato Grosso",NA,"Collected near the base camp of the expedition (c. 270 km. N of Xavantina)","-51.87","-12.9","NY00931383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01177673","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","rufa","Jacaranda rufa","B. W. Nelson","384","1979","11","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418086' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177673","Magnoliophyta","Lamiales","Silva Manso","A. H. Gentry","Rondônia",NA,"40 km N of Vilhena on BR-364.","-60.58","-12.42","NY01177673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
