"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","402637","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","K. Kubitzki","8127","1981","02","13","South America","Brazil","São Paulo","Cunha","Reserva Florestal Estadual de Cunha","-45.052474","-23.263965","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402637","NY00402637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","402729","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","A. H. Gentry","49383","1985","01","09","South America","Brazil","São Paulo",NA,"Parque Estadual de Caraguatatuba, road NE from SP. Hwy. 99 at Km. 66, 0-2.4 km from main hwy.","-45.5","-23.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402729","NY00402729_01","700","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","402728","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","A. H. Gentry","49382","1985","01","09","South America","Brazil","São Paulo",NA,"Parque Estadual de Caraguatatuba, road NE from SP. Hwy. 99 at Km. 66, 0-2.4 km from main hwy.","-45.5","-23.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402728","NY00402728_01","700","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:03:16-03","ESALQ","ESA","27390","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Garcia, R.J.F. et al.","704.0","1995","08","14",NA,"Brasil","São Paulo","Marsilac",NA,NA,NA,NA,NA,"ESA027390","ESA027390",NA,NA,"Mazine, F.F. (10/II/1998)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:03:16-03","ESALQ","ESA","31046","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Dias, A.C.",NA,"1984","10","02",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA031046","ESA031046",NA,NA,"Mazine, F.F. (10/II/1998)","27904","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:03:16-03","ESALQ","ESA","31049","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Dias, A.C. ; Machado, M.P.","52.0","1985","08","20",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA031049","ESA031049",NA,NA,"Mazine, F.F. (24/III/1998)","27904","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:03:16-03","ESALQ","ESA","13367","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana",NA,"Kirizawa, M. ; Sugiyama, M.","2703.0","1992","09","22",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA013367","ESA013367",NA,NA,"Mazine, F.F. (19/II/1998)","27904","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:03:16-03","ESALQ","ESA","20448","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Tamashiro, J.Y. et al.","886.0","1995","04","13",NA,"Brasil","São Paulo","São Bento do Sapucaí",NA,"-45.7299995422363","-22.6800003051758",NA,NA,"ESA020448","ESA020448",NA,NA,"Mazine, F.F. (08/VII/1999)","18089","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:03:16-03","ESALQ","ESA","31047","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Dias, A.C.","6.0","1984","11","08",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA031047","ESA031047",NA,NA,"Mazine, F.F. (18/II/1998)","27904","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:03:16-03","ESALQ","ESA","13118","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Jacaranda","montana","Jacaranda montana","Morawetz","Moraes, P.L.R.","841.0","1993","10","29",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA013118","ESA013118",NA,NA,"Mazine, F.F. (10/II/1998)","27904","auto",NA,NA,NA,NA,NA,NA,NA,NA
