"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","910702","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Amaryllis","heringeri","Amaryllis heringeri","Ravenna","E. P. Heringer","15945","1976","09","09","South America","Brazil","Minas Gerais","Região de Brasília","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910702","NY00910702_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","910703","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Amaryllis","heringeri","Amaryllis heringeri","Ravenna","E. P. Heringer","16920","1977","03","06","South America","Brazil","Distrito Federal","cultivada no jardim de E.P. Heringer","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910703","NY00910703_01","E. P. Heringer","Brasília","-47.9296989440918","-15.7797002792358","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03993395","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Hippeastrum","reginae","Hippeastrum reginae","(L.) Herb.","P. Acevedo-Rodríguez","16541","2017","08","29","South America","Brazil","Mato Grosso do Sul","Serra da Bodoquena, northern area of southern sector.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4291469' target='other'> <mi>dwc_moreinfo</mi></a>","NY03993395",NA,NA,"Bonito","-56.7189","-21.1144",NA,NA,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:45:37-03","NBC","NL-BOTANY","U.1065316","PreservedSpecimen","Plantae",NA,"Asparagales","Amaryllidaceae","Hippeastrum","reginae","Hippeastrum reginae","(L.) Herb.","Harley RM; et al.",NA,"1974","02","28","Southern America","Brazil",NA,"Estado de Bahia. Serra da Jacobina, W. of Estiva, ca. 12km N. of Senhor do Bonfim on the BA 130 to Juazeiro. Upper W. facing slope of serra to the summit with television mast.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1065316 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1065316","NL-U1065316",NA,NA,"-40.25","-10.3",NA,NA,NA,"Magnoliopsidae","-40.25","-10.3",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 10:59:02-03","ESALQ","ESA","25194","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaryllidaceae","Hippeastrum","reginae","Hippeastrum reginae","Herb.","Rodrigues, R.R. et al.","216.0","1995","09","04",NA,"Brasil","São Paulo",NA,NA,NA,"ESA025194","ESA025194","Dutilh, J.","Eldorado","-48.0999984741211","-24.5200004577637","38804","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:00:13-03","JBP","HPL","319","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","reginae","Hippeastrum reginae","Herb.","H. Lorenzi","297","1993","09","02",NA,"Brasil","SP","Cultivado como ornamental.",NA,NA,NA,NA,"J.H.A. Dutilh","Piracicaba","-47.64","-22.72","44778","auto",NA,NA,NA,NA,"2013","02","06",NA,NA,NA,NA
"7","2019-11-21 14:30:02-03","UFJF","CESJ","30374","PreservedSpecimen","Plantae","Angiosperma",NA,"Amaryllidaceae","Hippeastrum","reginae","Hippeastrum reginae","(L.) Herb.","A.N. Caiafa","s.n.","1998","09",NA,"América do Sul","Brasil","Minas Gerais","Pedreira que margea a estrada União Indústria (antiga BR-040).",NA,"Planta cultivada, flores vermelhas com interior verde.","CESJ030374","CESJ030374","J. Dutilh",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1999","04",NA,NA,NA,NA,NA
"8","2021-03-01 16:18:54-03","UNICAMP","UEC","148005","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Hippeastrum","reginae","Hippeastrum reginae","(L.) Herb.","Pott, VJR; Scremin-Dias, E; Pott, A","8121","2005","09","04",NA,"Brazil","Mato Grosso do Sul","Fazenda Remanso, 10 Km sul da sede. Parque Nacional da Serra da Bodoquena. Afloramento rochoso de calcário dolomítico, seco. Solo litólico, calcário. Relevo plano em vale.",NA,"Erva com cerca de 30-40 cm de altura. Mancha ocasional. Flor vermelha. Fruto imaturo, verde. Oservação: guia de néctar, mácula branca da base a 2/3 da pétala.","UEC090160","UEC090160","Oliveira, RS","Bodoquena","-56.749722","-20.89",NA,NA,"390",NA,"-56.749722","-20.89","2013","02",NA,"390",NA,NA,NA
"9","2021-03-01 16:18:54-03","UNICAMP","UEC","163426","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Hippeastrum","reginae","Hippeastrum reginae","(L.) Herb.","Silva, GP; Guarino, ESG; Pereira, JB; Jesus, JA; Pastore, JFB","5695","2001","10","18",NA,"Brazil","Goiás","Margem direita do rio do Carmo, cerca de 500 m ao sul da ponte de madeira.&nf;Área de influência da futura Hidroelétrica de Cana Brava. Influência direta (lago).",NA,"Flor vermelha, Erva. Ocasional no local.; Mata de galeria, relevo plano, solo argiloso.","UEC028877","UEC028877","Oliveira, RS","Cavalcante","-48.110833","-13.408889",NA,NA,"320",NA,"-48.110833","-13.408889","2013","02",NA,"320",NA,NA,NA
"10","2019-08-20 09:59:00-03","UNICAMP","UEC","170543","S","Plantae","Liliopsida",NA,"Amaryllidaceae","Hippeastrum","reginae","Hippeastrum reginae","(L.) Herb.","Dutilh, JHA","s.n.","1995","10","12",NA,"Brazil","Mato Grosso",NA,NA,NA,"UEC010193","UEC010193","Oliveira, RS","Pontes e Lacerda","-59.145","-15.532222",NA,NA,NA,NA,"-59.145","-15.532222","2013","02",NA,NA,NA,NA,NA
