"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag"
"1","2021-03-01 16:24:38-03","UNICAMP","UEC","173760","S","Plantae","Magnoliopsida","Asteraceae","Lychnophora","saxosa","Lychnophora saxosa","Krasch.","Semir, J; Pirani, JR; Wanderley, MDGL; Henrique, MC","CFSC5600","1979","08","14","Brazil","Minas Gerais","Santana do Riacho","Ao longo da rodovia Belo Horizonte- Conceição do Mato Dentro. Km 127 antigo.","-43.7144012451172","-19.1688995361328","26557","Arbusto de +/- 1m de altura.; Campo próximo as pedras.","UEC089636","UEC089636","auto"
"2","2019-11-21 10:00:56-03","IBt","SP","209910","S","Plantae",NA,"Asteraceae","Lychnophora","saxosa","Lychnophora saxosa","Krasch.","Semir, J; Wanderley, MGL; Henrique, MC; Pirani, JR","CFSC5588","1979","08","14","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 132 (antigo) ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro","-43.7144012451172","-19.1688995361328","26557",NA,NA,NA,"auto"
