"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","898568","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","exscapa","Barbacenia exscapa","Mart.","L. B. Smith","W. R. Anderson","35831","1972","02","11","South America","Brazil","Minas Gerais","Serra do Espinhaço, eastern slope of Pico do Itambé, first large sandstone outcrop below the summit","-43.3919444","-18.43185","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898568","NY00898568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L 0649913","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Aylthonia","exscapa","Aylthonia exscapa","(Mart.) N.L.Menezes",NA,"Unknown",NA,"1823","03","01","Southern America","Brazil","Piauí",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200649913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0649913","NL-L0649913","Magnoliopsidae","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:20:21-03","ESALQ","ESA","41306","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Velloziaceae","Barbacenia","exscapa","Barbacenia exscapa","Mart.","Alcântara, S.","Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21125.0","1998","04","07",NA,"Brasil","Minas Gerais",NA,"-43.3067016601562","-18.465799331665",NA,NA,NA,NA,"ESA041306","ESA041306",NA,NA,"2013","06","06","Santo Antônio do Itambé","19014","auto",NA,NA,NA
"4","2020-12-11 11:45:25-03","UFMG","BHCB","178190","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","exscapa","Barbacenia exscapa","Mart.",NA,"Ribeiro, OBC","689","2011","03","24","Southern America","Brasil","Minas Gerais","Fazenda Angloamerican, Projeto Azteca","-43.386119","-18.544178","1173","1173",NA,"Saxícola.; Em campo ferruginoso entre as corncrescências de hematita","BHCB030675",NA,NA,NA,"2011",NA,NA,"Serro",NA,NA,"-43.386119","-18.544178",NA
"5","2020-12-11 11:45:25-03","UFMG","BHCB","65249","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","exscapa","Barbacenia exscapa","Mart.",NA,"Magalhães, GM","1703",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,"-43.3793983459473","-18.604700088501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serro","37754","auto",NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","3031476","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","exscapa","Barbacenia exscapa","Mart.",NA,"Martins, *","Martins s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:44-03","FZB-BH","BHZB","10930","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","exscapa","Barbacenia exscapa",NA,"C.A, Ferreira Junior","Ribeiro, O.B.C.","689","2011","03","24",NA,"Brasil","MG",NA,"-43.386194","-18.544278","1173","1173",NA,"Saxícola em campo ferruginoso entre as corncrescências de hematita. Com duplicata.Anteriormente identificado como Barbacenia sp. por O.B.C. Ribeiro em 24/03/2011",NA,NA,NA,NA,"2015","06","10","Serro",NA,NA,"43W 23' 10.3","18S 32' 39.4''",NA
"8","2019-06-10 10:11:44-03","FZB-BH","BHZB","12260","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","exscapa","Barbacenia exscapa",NA,"Ferreira Jr., C.A.","Souza, J.A.M","292","2018","06","12",NA,"Brasil","MG","Parque Estadual Pico do Itambé","-43.3067016601562","-18.465799331665","1502","1502",NA,"unicata",NA,NA,NA,NA,"2018","09","12","Santo Antonio do Itambé","19014","auto","43°19' 07","18°24'02",NA
"9","2020-09-12 05:00:02-03","US","US","2645337","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","exscapa","Barbacenia exscapa","Mart.",NA,"W. R. Anderson, M. T. Stieber & J. H. Kirkbride","35831","1972","2","11","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaço. Eastern slopes of Pico do Itambé, first large sandstone outcrop below the summit",NA,NA,NA,NA,NA,NA,"US01329163","US01329163_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"10","2020-09-12 05:00:02-03","US","US","2709185","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","exscapa","Barbacenia exscapa","Mart.",NA,"W. R. Anderson, M. T. Stieber & J. H. Kirkbride","35831","1972","2","11","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaço. Eastern slopes of Pico do Itambé, first large sandstone outcrop below the summit",NA,NA,NA,NA,NA,NA,"US01329162","US01329162_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
