"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2020-09-23 10:43:50-03","E","E","285303","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","aegrota","Symplocos aegrota","syntype","Glaziou, Auguste Francois Marie","17696","E. Tropical South America","BR","Rio de Janeiro","herbarium specimen of unspecif","BGBASE:293404","<a href=http://data.rbge.org.uk/herb/E00285303 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","486949","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","aegrota","Symplocos aegrota",NA,"T. C. Plowman","12863","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486949","Magnoliophyta","Ericales","Brand","1983","02","22","Santa Maria Madalena","Santa Maria Madalena. Pedra Dubois","-42.02","-21.97","900","1195","NY00486949_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","486948","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","aegrota","Symplocos aegrota",NA,"A. F. M. Glaziou",NA,"South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=320458' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486948","Magnoliophyta","Ericales","Brand","1885","08","06",NA,"Plantes des environs de Rio-de-Janeiro et d'Ouro-Preto",NA,NA,NA,NA,"NY00486948_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1019511","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","densiflora","Symplocos densiflora",NA,"L. Schumm","62","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285928' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019511","Magnoliophyta","Ericales","Brand","2004","08",NA,"Bocaina de Minas","Parque Nacional do Itatiaia (Alto dos Brejos)","-44.3947","-22.1675",NA,NA,"NY01019511_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","687468","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","falcata","Symplocos falcata",NA,"M. Kuhlmann","2048","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687468","Magnoliophyta","Ericales","Brand","1949","11","22","Campos do Jordao","Umuarama","-45.59","-22.73",NA,NA,"NY00687468_01","A. Bidá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03754509","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","falcata","Symplocos falcata",NA,"L. P. de Queiroz","2932","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4082711' target='other'> <mi>dwc_moreinfo</mi></a>","NY03754509","Magnoliophyta","Ericales","Brand","1992","12","08","Castro Alves","Serra da Jibóia (=Serra da Pioneira)","-39.4719","-12.8531",NA,NA,"NY03754509_01","P. W. Fritsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","584331","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","falcata","Symplocos falcata",NA,"J. R. Pirani","4896","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=66297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584331","Magnoliophyta","Ericales","Brand","2001","10","19","Campos do Jordao","Parque Estadual, Trilha do Rio Sapucaí","-45.59","-22.73",NA,NA,"NY00584331_01","I. Cordeiro; J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1921007","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","falcata","Symplocos falcata",NA,"F. Almeda","8782","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2181528' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921007","Magnoliophyta","Ericales","Brand","2004","11","09","Camanducaia","Distrito Monte Verde. Serra da Mantiqueira. 8 km from Monte Verde on the trail to Pedra Partida and Pedra Redonda.","-46.024","-22.88356","1700",NA,"NY01921007_01","J. L. M. Aranha Filho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","720391","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","falcata","Symplocos falcata",NA,"J. M. A. Braga","1516","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2501007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720391","Magnoliophyta","Ericales","Brand","1994","10","26","Rio de Janeiro","Parque Nacional do Itatiaia. Estrada para o Abrigo Macieiras.","-44.65833","-22.35833","1700",NA,"NY00720391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:21:02-03","UFRJ","RFA","Foto 17159","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","aegrota","Symplocos aegrota",NA,"Glaziou","15203",NA,"Brasil",NA,NA,NA,NA,"RFA-Foto35405",NA,NA,"Brand",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
