"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","typeStatus","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00907607","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","chnoosepala","Siphoneugena chnoosepala","(Kiaersk.) Kausel","M. Sobral","G. G. Hatschbach","43123","1980","08","14","South America","Brazil","Goiás","Cristalina","Fazenda Bela Vista","-47.6133","-16.7686","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907607","NY00907607_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907608","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","chnoosepala","Siphoneugena chnoosepala","(Kiaersk.) Kausel","M. Sobral","H. S. Irwin","5151","1964","08","15","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 20 km E. of Brasília.","-47.82","-15.65","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907608","NY00907608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00907632","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","densiflora","Siphoneugena densiflora","O.Berg","C. E. B. Proença","E. P. Heringer","5250","1980","07","17","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907632","NY00907632_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00917848","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","densiflora","Siphoneugena densiflora","O.Berg","C. E. B. Proença","E. P. Heringer","14801","1975","08","02","South America","Brazil","Distrito Federal","Brasília","Reserva das Águas Emendadas. Margem do corrego Alexandre Brade.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994031' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917848","NY00917848_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00907638","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","densiflora","Siphoneugena densiflora","O.Berg","C. E. B. Proença","E. P. Heringer","5433","1980","09","03","South America","Brazil","Distrito Federal","Brasília","Catetinho","-47.988069","-15.948311",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907638","NY00907638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00907609","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","densiflora","Siphoneugena densiflora","O.Berg","C. E. B. Proença","H. S. Irwin","5318","1964","08","19","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 20 km E. of Brasília","-47.9294","-15.7797","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907609","NY00907609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00907635","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","densiflora","Siphoneugena densiflora","O.Berg","C. E. B. Proença","E. P. Heringer","5363","1980","08","27","South America","Brazil","Distrito Federal","Brasília","Taguatinga- Mata vizinha ao Estádio Serejao","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907635","NY00907635_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00907612","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","densiflora","Siphoneugena densiflora","O.Berg","C. E. B. Proença","H. S. Irwin","8882","1965","10","02","South America","Brazil","Distrito Federal","Brasília","Hills ca. 10 km N. of Planaltina","-47.6667","-15.52633","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907612","NY00907612_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00907637","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","densiflora","Siphoneugena densiflora","O.Berg","C. E. B. Proença","E. P. Heringer","17369","1979","07","15","South America","Brazil","Goiás","Luziânia","(Mansoes Reunidas Heringer)","-47.9503","-16.2528",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907637","NY00907637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00907640","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","densiflora","Siphoneugena densiflora cipoensis","Proença","C. E. B. Proença","G. G. Hatschbach","49780","1985","09","17","South America","Brazil","Minas Gerais","Diamantina","Diamantina, rod. p/ C. Magalhaes","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907640","NY00907640_01","cipoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
