"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2690","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","bathyrrhena","Mimosa bathyrrhena","Barneby","isotype","G. G. Hatschbach","17143","1967","09","08","South America","Brazil","Paraná","Passo do Pupo, Municipio Ponta Crosse","-49.96198","-25.145584","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=216908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002690","NY00002690_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:09:59-03","ESALQ","ESA","113963","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","bathyrrhena","Mimosa bathyrrhena",NA,NA,"Savassi-Coutinho, A.P.","1079.0","2006","10","19",NA,"Brasil","Paraná",NA,"-50.1618995666504","-25.0949993133545",NA,NA,"ESA113963","ESA113963","Savassi-Coutinho, A.P.","Ponta Grossa","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:30:58-03","UNICAMP","UEC","161486","S","Plantae","Magnoliopsida",NA,"Fabaceae","Mimosa","bathyrrhena","Mimosa bathyrrhena","Barneby",NA,"Coutinho, APS; Sampaio, D; Silva, JM; Campos, OR","1079","2006","10","19",NA,"Brazil","Paraná","Estrada Ponta Grossa-Passo do Pupo, A 4 Km da PR-090. Beira da estrada em afloramento rochoso de arenito. Floresta de Araucaria.","-50.1618995666504","-25.0949993133545",NA,"Arbusto, cerca de 2,5-5,0 m de altura. Frutos imaturos bege.","UEC024931","UEC024931","Coutinho, APS","Ponta Grossa","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-06 09:55:35-03","UFOP","OUPR","32082","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bathyrrhena","Mimosa bathyrrhena","Barneby",NA,"Savassi-Coutinho, A.P.; Sampaio, A.P.; Silva, D. & Campos, J.M.","1079","2006","10","19",NA,"Brasil","Paraná","Estrada Ponta Grossa-Passo do Pupo, a 4km da PR-0,90. Beira da estrada em afloramento rochoso de arenito.","-50.1618995666504","-25.0949993133545",NA,"Arbusto, cerca de 2,5-5,0m de altura, frutos imaturas bege. Floresta de Araucaria.",NA,NA,"Savassi-Coutinho, A.P.","Ponta Grossa","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 10:01:40-03","FURB","FURB","6449","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bathyrrhena","Mimosa bathyrrhena","Barneby",NA,"Barbosa, E.; Cordeiro, J.","5143","2006","10","19",NA,"Brasil","Paraná","Passo do Pupo.","-50.1618995666504","-25.0949993133545",NA,NA,"FURB01753","FURB01753","Silva, JM; Sampaio, D; Coutinho, APS","Ponta Grossa","46557","auto","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-16 08:39:27-03","UTFPR","HCF","18554","S","Plantae",NA,NA,"Fabaceae","Mimosa","bathyrrhena","Mimosa bathyrrhena","Barneby",NA,"J.M. Silva","8396","2013","10","11",NA,"Brasil","PR","Furnas de Itaiacoca","-49.955556","-25.146944",NA,"arbusto 2 m. Frutos imaturos. Beira de barranco.",NA,NA,"E. Barboza","Ponta Grossa",NA,NA,"2013","11","21","49°57'20 W","25°08'49 S","1035","1035",NA,NA,NA
"7","2020-12-21 16:27:09-03","MBM","MBM","386208","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bathyrrhena","Mimosa bathyrrhena","Barneby",NA,"Silva, J.M.; Motta, J.T.; Motta, J.T.","8396","2013","10","11","Southern America","Brazil","Paraná","Furnas de Itaiacoca","-49.955556","-25.146944",NA,"Arbusto 2m. Frutos imaturos.; Beira de barranco.","MBM386208","MBM386208","Barboza, E.","Ponta Grossa",NA,NA,"2013","11","21","-49.955556","-25.146944","1035","1035",NA,NA,NA
"8","2020-12-21 16:27:09-03","MBM","MBM","402435","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bathyrrhena","Mimosa bathyrrhena","Barneby",NA,"Ribas, O.S.; Morales, M.; Morales, M.","8236","2009","04","19","Southern America","Brazil","Paraná","Passo do Pupo","-49.963333","-25.143611",NA,NA,"MBM402435","MBM402435","Morales, M.","Ponta Grossa",NA,NA,"2015",NA,NA,"-49.963333","-25.143611","1000","1000",NA,NA,NA
"9","2020-12-21 16:27:09-03","MBM","MBM","322082","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bathyrrhena","Mimosa bathyrrhena","Barneby",NA,"Silva, J.M.; Sampaio, D.; Coutinho, A.P.S.; Sampaio, D.; Coutinho, A.P.S.","5143","2006","10","19","Southern America","Brazil","Paraná","Passo do Pupo","-50.1618995666504","-25.0949993133545",NA,"Arbusto, 3m, fruto imaturo.; Beira do capão. Solo úmido.","MBM322082","MBM322082","Cordeiro, J.; Barbosa, E.","Ponta Grossa","46557","auto","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:27:09-03","MBM","MBM","4033","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bathyrrhena","Mimosa bathyrrhena","Barneby","HOLOTYPE","Hatschbach, G.","17143",NA,NA,NA,"Southern America","Brazil","Paraná","Passo do Pupo","-50.1618995666504","-25.0949993133545",NA,"Arbusto 2m, flor amarela, região de arenito, proximidades de córrego; Arbusto 2m, flor amarela.; Região de arenito, proximidades de córrego.","MBM004033","MBM004033","Barneby, R.","Ponta Grossa","46557","auto","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:27:09-03","MBM","MBM","374658","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bathyrrhena","Mimosa bathyrrhena","Barneby",NA,"Savassi-Coutinho, A.P.; Sampaio, D.; Silva, J.M.; Campos, O.R.; Sampaio, D.; Silva, J.M.; Campos, O.R.","1079","2006","10","19","Southern America","Brazil","Paraná","Passo do Pupo, a 4 Km da PR-090","-50.1618995666504","-25.0949993133545",NA,"Arbusto, cerca de 2,5-5,0 m de altura. Frutos imaturos bege.; Beira da estrada em afloramento rochoso de arenito. floresta de Araucária.","MBM374658","MBM374658","Savassi-Coutinho, A.P.","Ponta Grossa","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
