"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","typeStatus","class","verbatimLongitude","verbatimLatitude","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00857193","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.","R. M. Harley","H. S. Irwin","13683","1966","03","07","South America","Brazil","Goiás","Cristalina","Serra dos Cristais, ca. 20 km N. of Cristalina","-47.6","-16.56928","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857193","NY00857193_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00857182","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.","R. M. Harley","G. G. Hatschbach","51861","1988","01","25","South America","Brazil","Goiás","Cristalina","Rod. BR-040, 15-20 km L de Cristalina","-47.6133","-16.7686",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857182","NY00857182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00857194","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.","R. M. Harley","H. S. Irwin","9806","1965","11","02","South America","Brazil","Goiás","Cristalina","Serra dos Cristais. 10 km S. of Cristalina","-47.6","-16.84036","1125","1125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857194","NY00857194_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00857188","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.","R. M. Harley","R. Kral","75916","1988","12","06","South America","Brazil","Goiás","Cristalina","Ca. 4 kms SSE Cristalina, N side of BR 040.","-47.6133","-16.7686","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857188","NY00857188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:40:36-02","IPA","IPA","52775","S","Plantae","Plantae",NA,"Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.","Harley, R.M.","Hatschbach, G.; Cordeiro, J.; Cordeiro, J.","51861","1988","01","25","Southern America","Brasil","Goiás",NA,"BR-040, 15-20 Km L de Cristalina.",NA,NA,NA,NA,NA,"Xilopdífera. Forte cheiro desagradável.; Campo cerrado.","IPA0052775",NA,"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0015074","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.","R.M. Harley","G. Hatschbach; J. Cordeiro","51861","1988","1","25",NA,"Brazil","Goias",NA,"Rod. BR-040, 15-20 km L de Cristalina, Goiás","-47.606903","-16.768171",NA,NA,NA,"Xilopodífera. Forte cheiro desagradável. Flor lilás. Campo cerrado. Hyptis caprariifolia Pohl ex Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:32:09-03","UNICAMP","UEC","56851","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.","Harley, RM","Hatschbach, G; Cordeiro, J","51861","1990","01","25",NA,"Brazil","Goiás",NA,"Rod. BR-040, 15-20 Km L de Cristalina.",NA,NA,NA,NA,NA,"Xilopodífera. Forte cheiro desagradável. Flor lilás.; Campo cerrado.","UEC041535","UEC041535","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-16 17:52:47-03","UCS","HUCS","7955","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Cyanocephalus","caprariifolius","Cyanocephalus caprariifolius","(Pohl ex Benth.) Harley & J. F. B. Pastore","Harley, R.M.","Hatschbach, G.","51861","1988","01","25",NA,"Brasil","Goiás","Cristalina","BR 040","-47.6136016845703","-16.7686004638672",NA,NA,NA,"Xelopodífera. Forte cheiro desagradável. Flor Lilás.; campo cerrado",NA,NA,"1990","85457","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-16 08:39:40-03","UTFPR","HCF","1212","S","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","caprariifolius","Cyanocephalus caprariifolius","(Pohl. ex Benth.) Harley & J.F.B. Pastore","J. Cordeiro & E. Barboza","C. Lima","27","2004","07","17",NA,"Brasil","DF","Brasília","Condomínio Lago Sul","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Planta herbácea, ereta, com material fértil em inflorescências terminais.",NA,NA,"2005","70570","auto","09",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:30:13-03","MBM","MBM","121712","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.","Harley, R.M.","Hatschbach, G.; Cordeiro, J.; Cordeiro, J.","51861","1988","01","25","Southern America","Brazil","Goiás","Cristalina","Rod. BR-040, 15-20 km L de Cristalina","-47.6136016845703","-16.7686004638672",NA,NA,NA,NA,"MBM121712","MBM121712",NA,"85457","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-11 17:19:15-03","UFPR","UPCB","19086","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","caprariifolius","Cyanocephalus caprariifolius","(Pohl ex Benth) Harley & J.F.B. Pastore","Buchoski, M.G.","Hatschbach, G.","51861","1988","01","25",NA,"Brasil","Goiás",NA,"BR 040, 15-20km L de Cristalina",NA,NA,NA,NA,NA,"Xilopodífera, forte cheiro desagradável, flor lilás. Campo cerrado..","UPCB0036540","UPCB0036540","2018",NA,NA,"08","31",NA,NA,NA,NA,NA,NA
"12","2020-05-25 15:13:54-03","FSU","FSU","000066568","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.",NA,"J. W. Grear, R. Souza, H. S. Irwin, R. Reis dos Santos","13683",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-11-30 13:51:00-02","MO","MOBOT","2904393","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","caprariifolius","Cyanocephalus caprariifolius","(Pohl ex Benth.) Harley & J.F.B. Pastore","R.Liesner (MO)","Gert G. Hatschbach","Hatschbach 51861","1988","1","25","South America","Brazil","Goiás",NA,"Rod. BR-040, 15-20km L de Cristalina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"14","2012-08-13 13:53:00-03","MO","MOBOT","100508196","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","caprariifolia","Hyptis caprariifolia","Pohl ex Benth.",NA,"J.B.E. Pohl","Pohl 1020",NA,NA,NA,"South America","Brazil","Goiás",NA,"Cristalina Serra dos Chrystais.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Lectotype",NA,NA,NA,NA
