"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","recordNumber","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:14-03","UNESC","CRI","11953","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Aline Votri Guislon","2013","01","11","Aline Votri Guislon; Altamir Rocha Antunes; Robson dos Santos & Peterson Teodoro Padilha","2013","01","10","Brasil","Santa Catarina","Grão Pará","-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","CRI010099","CRI010099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:14-03","UNESC","CRI","7998","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Vanilde Citadini- Zanette","2007","12","26","Beatriz Wessler; Bruna Alberton","2007","12","25","Brasil","Santa Catarina","Içara","-49.300278","-28.713889","49º18'1''W","28º42'50''S","46","46","CRI002573","CRI002573","SANTEC Resíduos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:14-03","UNESC","CRI","6270","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Vanilde Citadini- Zanette",NA,NA,NA,"Átila Portal","1997","11","01","Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S","350","350","CRI002580","CRI002580","Interior do Canyon Malacara.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:29-03","UNESC","CRI","249","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","V. C. Zanette",NA,NA,NA,"V. Citadini-Zanette; V. P. Boff","1985","05","24","Brasil","Santa Catarina","Urussanga","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","CRI002564","CRI002564","Santana.","657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:29-03","UNESC","CRI","8001","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Vanilde Citadini- Zanette","2007","10","11","Beatriz Wessler; Bruna Alberton","2007","10","10","Brasil","Santa Catarina","Içara","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","CRI002574","CRI002574","SANTEC Resíduos.",NA,"Habitat: borda da mata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:14-03","UNESC","CRI","4163","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.",NA,NA,NA,NA,"V. P. Boff","1995","11","29","Brasil","Santa Catarina","Jacinto Machado","-49.763889","-28.998056","49º45'50''W","28º59'53''S",NA,NA,"CRI002557","CRI002557","Pinheirinho.",NA,"Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:14-03","UNESC","CRI","7906","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin","2007","12","31","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9","CRI002578","CRI002578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:14-03","UNESC","CRI","6877","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.",NA,NA,NA,NA,"Reitz; Klein","1964","01","01","Brasil","Santa Catarina","Itapiranga","-53.7125","-27.17","53º42'45''W","27º10'12''S","250","250","CRI002586","CRI002586",NA,"16748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:14-03","UNESC","CRI","10190","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","M. G. Caxambu","2006","12","13","M. G. Caxambu","2006","11","18","Brasil","Paraná","Piraquara","-48.981111","-25.497778","48º58'52''W","25º29'52''S","1021","1021","CRI002555","CRI002555","Mananciais da Serra.","1279","Floresta Ombrófila Densa Montana Habitat: próxima ao reservatório do Carvalho Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:29-03","UNESC","CRI","4442","PreservedSpecimen","Plantae","Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","(Spreng.) Müll.Arg.","V. C. Zanette",NA,NA,NA,"Valdemar Boff","1995","11","04","Brasil","Santa Catarina","Urussanga","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","CRI002588","CRI002588",NA,"235","Habitat: beira da Estrada Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
