"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01874703","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","F. A. Michelangeli","V. Demuner","2967","2006","10","18","South America","Brazil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira","-40.66558","-18.97792","170","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2699019' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874703","NY01874703_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","521114","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","J. J. Wurdack","S. A. Mori","10723","1978","09","19","South America","Brazil","Bahia","Itamarajú","Fazenda Pau-brasil, ca. 5 km a NW de Itamaraju. Mata Higrófila Sul Baiana. Folha SE-24 (17-40d)","-39.5676631","-16.9808834",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521114","NY00521114_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01874702","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","F. A. Michelangeli","H. Q. B. Fernandes","3419","2007","10","03","South America","Brazil","Espírito Santo","Águia Branca","Santa Lúzia. Pedra do Ciro.","-40.3944","-18.5989","175","210","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2698861' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874702","NY01874702_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2423175","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.",NA,"T. Bochorny","145","2015","05","13","South America","Brazil","Espírito Santo","Aguia Branca","Prop. José Rochinha","-40.7402992248535","-18.9831008911133","200",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685455' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423175","NY02423175_01","19701","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:31:23-03","UFRJ","RFA","8275","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.",NA,"P. Occhioni","3585","1967","09",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, cultivado","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Arbusto de flor roxa","RFA45351",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:34:28-03","UNICAMP","UEC","203915","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","Goldenberg, R","Bochorny, T; Bacci, LF; Goldenberg, R; Kollmann, L","145","2015","05","13",NA,"Brazil","Espírito Santo","Águia Branca","Prop.José Rocinha.","-41.23915","-19.643656","200","200",NA,"Arbusto ca. 2.5m alt. Folhas glabras. Frutos secos velhos.; Afloramento rochoso.","UEC169596","UEC169596",NA,NA,"2015","-41.23915","-19.643656",NA,NA,NA,NA,NA
"7","2021-03-01 16:34:28-03","UNICAMP","UEC","188815","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","Goldenberg, R","Goldenberg, R; Fortuna-Perez, AP; Fraga, CN; Esgario, C","MBML033323","2008","05","11",NA,"Brazil","Espírito Santo","Águia Branca","Santa Luzia, Córrego Taquaral.","-40.697139","-18.986722","211","211",NA,"Arbusto 4m, sobre pedra pouco inclinada; ramos castanho vináceos frutos velhos, já secos.","UEC126566","UEC126566",NA,NA,NA,"-40.697139","-18.986722",NA,NA,NA,NA,NA
"8","2019-06-27 10:25:38-03","UFES","VIES","5174","S","Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","Goldenberg, R.","Fernandes, H.Q.B.; Gomes, J.M.L.","2958","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"VIES005174","VIES005174","13709","auto","2013",NA,NA,NA,NA,NA,NA,NA
"9","2021-02-11 17:19:52-03","UFPR","UPCB","94086","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","Gomes, M.","Martinelli, G. | Pougy, N. | Maurenza, D. | Carvalho, C.","20704","2018","11","26",NA,"Brasil","Bahia","Itamaraju","Assentamento Pau-Brasil, Nucleo Pau-Brasil. Monte das Orquideas. Afloramento Rochoso","-39.568889","-16.971667","120","120",NA,"Saxicola, heliófila, frequente.","UPCB0041903","UPCB0041903",NA,NA,NA,"-39.568889","-16.971667",NA,NA,NA,NA,NA
"10","2021-02-11 17:19:52-03","UFPR","UPCB","86567","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm","Paula, L.F.A. & Azevedo, L.O.","Azevedo, L.O. et al.","415","2016","03","11",NA,"Brasil","Espírito Santo","Pancas","Pedra da Colina.","-40.876667","-19.231111","745","745",NA,"Folhas levemente discolores. Frutos passados. Altura: 3,5m. Habitat: em ilha de vegetação, depressão rasa. Inselberg granítico com entorno florestado. Hábito/Forma de vida: Árvore..","UPCB0014970","UPCB0014970",NA,NA,"2016","-40.876667","-19.231111","03","11",NA,NA,NA
"11","2021-02-11 17:19:52-03","UFPR","UPCB","62573","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Cogn.","Goldenberg, R.","Goldenberg, R.","1153","2008","05","11",NA,"Brasil","Espírito Santo","Águia Branca","BLOQUEADO",NA,NA,"211","211",NA,"Arbusto 4m, sobre pedra pouco inclinada, ramos castanho-vináceos, frutos velhos, já secos..","UPCB0002442","UPCB0002442",NA,NA,"2020","9999","9999","05",NA,NA,NA,NA
"12","2021-02-11 17:19:52-03","UFPR","UPCB","84012","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","Goldenberg, R.","Fernandes, H.Q.B.","2958","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.3694","-19.8319",NA,NA,NA,NA,"UPCB0014969","UPCB0014969",NA,NA,"2013","-40.3694","-19.8319",NA,NA,NA,NA,NA
"13","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","27407",NA,"Plantae",NA,NA,"Melastomataceae","Merianthera","pulchra","Merianthera pulchra","Kuhlm.","R. Goldenberg/2013","V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen","2967","2006","10","18",NA,"Brasil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira","-40.665556","-18.977778","170","170",NA,"Arvoreta 6m, botões florais, flores roxas, frutos jovens verdes. Vegetação rupestre.","MBML027407","MBML027407",NA,NA,NA,"40W39'56","18S58'40",NA,NA,NA,NA,NA
