"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","typeStatus","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","00923942","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","ovatus","Diplusodon ovatus","Pohl","A. Lourteig","H. S. Irwin","25261","1970","01","24","South America","Brazil","Goiás","Catalão","Contraforte Central, Serra do Facão, ca. 25 km N.E. of Catalão","-47.7830556","-18.00698","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923942","NY00923942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00923941","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","ovatus","Diplusodon ovatus","Pohl","T. B. Cavalcanti","S. A. T. Graham","861","1982","03","11","South America","Brazil","Minas Gerais","Uberaba","Ca. 48 km. SE of Uberlandia on Uberlandia-Uberaba road and 2 km. S of km. 117 marker, E side of road.","-47.9306","-19.7508",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923941","NY00923941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00923943","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","ovatus","Diplusodon ovatus","Pohl","A. Lourteig","G. G. Hatschbach","33061","1973","11","11","South America","Brazil","Mato Grosso do Sul","Camapuã","Capao Redondo","-54.0439","-19.5317",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1014249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923943","NY00923943_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG981","S","Plantae",NA,NA,"Lythraceae","Diplusodon","ovatus","Diplusodon ovatus",NA,"Maria Eugênia","Marise",NA,"1986","04","04",NA,"Brasil","Minas Gerais","Belo Horizonte","Parque das Mangabeiras","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2013-07-03 11:07:57-03","EBDA","BAH","8113","S","Plantae",NA,NA,"Lythraceae","Diplusodon","ovatus","Diplusodon ovatus","Marloth ex Koehne","Joana","Cássia V.A. Moruz","113","1988","04","28",NA,"Brasil","Bahia","Lençois","Coqueiro.","-41.39","-12.5631",NA,NA,NA,"Herbáceas, flores rosa.",NA,NA,"47385","auto","1989","04",NA,NA,NA,NA,NA,NA,NA
"6","2014-10-14 15:56:52-03","BS","M","M-0146265","S","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","ovatus","Diplusodon ovatus","Pohl",NA,"Pohl, J.B.E.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"In Brasilia.",NA,NA,NA,NA,NA,NA,"M0146265",NA,NA,NA,NA,NA,"Magnoliopsida","ISOSYNTYPE",NA,NA,NA,NA,NA
"7","2020-12-21 16:32:20-03","MBM","MBM","217413","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ovatus","Diplusodon ovatus","Pohl",NA,"Cristóbal, C.L.; et al.; et al.","661",NA,NA,NA,"Southern America","Brazil","Goiás","Luziânia","Ca. 15km SW de Luziânia","-47.9502983093262","-16.2525005340576",NA,NA,NA,NA,"MBM217413","MBM217413","83221","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:32:20-03","MBM","MBM","188805","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ovatus","Diplusodon ovatus","Pohl","Cavalcanti, T.B.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","64063","1996","01","14","Southern America","Brazil","Minas Gerais","Uberaba","Rod. BR-050, próximo do Rio Tejuco","-47.9319000244141","-19.7483005523682",NA,NA,NA,NA,"MBM188805","MBM188805","73879","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:32:20-03","MBM","MBM","156422","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ovatus","Diplusodon ovatus","Pohl","Lourteig, A.","Hatschbach, G.; Barboza, E.; Barboza, E.","58271",NA,NA,NA,"Southern America","Brazil","Goiás","Campo Alegre","Rod. BR-050, próximo ao Rio Imbiruçu",NA,NA,NA,NA,NA,NA,"MBM156422","MBM156422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:32:20-03","MBM","MBM","27698","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","ovatus","Diplusodon ovatus","Pohl","Lourteig, A.","Hatschbach, G.; et al.; et al.","33061",NA,NA,NA,"Southern America","Brazil","Mato Grosso","Camapuã","Capão Redondo",NA,NA,NA,NA,NA,NA,"MBM027698","MBM027698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
