"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","monthIdentified","dayIdentified","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","imagecode","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:25:14-03","UNESC","CRI","1955","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana","(Müll.Arg.) Mull. Arg,","L. B. Smith & R. J. Downs","1983","R. M. Klein","11132","1974","12","26","Brasil","Santa Catarina","Blumenau","Limite municipal de Gaspar e Blumenau.","-49.0661010742188","-26.9193992614746","34291","Flor esverdeada. Fruto imaturo: roxo. Habito: Arbustivo","CRI010546","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 15:16:31-03","UNESC","CRI","6410","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana","(Müll.Arg.) Mull. Arg,","J. A. Jarenkow","1986","J. A. Jarenkow","486","1986","10","22","Brasil","Rio Grande do Sul","Capão do Leão","Campos UFPEL","-52.4838981628418","-31.7632999420166","28605","Orla do Arroio Padre Doutor","CRI010541","auto","10","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:14-03","UNESC","CRI","1953","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana angustifolia","(Müll. Arg.) Pax & K. Hoffm.","L. B. Smith & R. J. Downs","1983","R. M. & M. M. Klein","11081","1974","01","23","Brasil","Santa Catarina","Apiúna","Subida.","-49.3897018432617","-27.0356006622314","24893","Flor esverdeada. Habito: Arbustivo","CRI010547","auto",NA,NA,"angustifolia","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:14-03","UNESC","CRI","1991","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana","(Müll.Arg.) Mull. Arg,","L. B. Smith & R. J. Downs","1983","R. Klein","4602","1963","11","13","Brasil","Paraná","Palmeira","Witmarsum.","-50.0064010620117","-25.4293994903564","35166","Flor Branca. Habito: Arbustivo","CRI010545","auto",NA,NA,NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:14-03","UNESC","CRI","1953","PreservedSpecimen","Plantae","Euphorbiaceae","Sebastiania","schottiana","Sebastiania schottiana angustifolia","(Müll. Arg.) Pax & K. Hoffm.","L. B. Smith & R. J. Downs","1983","R. M. & M. M. Klein","11081","1974","01","23","Brasil","Santa Catarina","Apiúna","Subida.","-49.3897018432617","-27.0356006622314","24893","Flor esverdeada. Habito: Arbustivo","CRI010547","auto",NA,NA,"angustifolia","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","540476","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"J. C. Lindeman","4446","1967","01","24","Brazil","Paraná","Guairá","Guaira, 7 Quedas. Island in rapids","-54.2556","-24.08",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540476",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","NY00540476_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","540485","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"R. X. Lima","s.n.","1993","03","21","Brazil","Paraná","Capitão Leônidas Marques","Ilha de Salto Caxias","-53.67","-25.5",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81950' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540485",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","NY00540485_01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","540478","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"R. Reitz","9525","1960","02","06","Brazil","Santa Catarina","Blumenau","Salto Weissbach, Blumenau","-49.0658","-26.9194",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81953' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540478",NA,NA,NA,NA,"20","20","Magnoliophyta","Malpighiales","South America","sheet","NY00540478_01",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","540481","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"J. E. Leite","561","1941","10","01","Brazil","Rio Grande do Sul","Sao Leopoldo","Vicinity of San Leopoldo","-51.143791","-29.75136",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540481",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","NY00540481_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","503441","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"F. de Barros","2936","2000","02","07","Brazil","São Paulo","Itararé","Itararé, SP 258, km 324, margem do Rio Verde","-49.34","-24.1103",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81947' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503441",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","NY00503441_01",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1075500","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"H. S. Irwin","18536","1968","01","13","Brazil","Goiás","Cocalzinho de Goiás","25 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336523' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075500",NA,NA,NA,NA,"1150","1150","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00750351","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"H. S. Irwin","27443","1970","03","13","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Rio Jequití, ca. 20 km E. of Diamantina","-43.5196","-18.18055",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750351",NA,NA,NA,NA,"790","790","Magnoliophyta","Malpighiales","South America","sheet","NY00750351_01",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","540483","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"R. A. Wasum","4795","1988","10","30","Brazil","Rio Grande do Sul","Caxias do Sul","Criuva, Ilhéus","-51.1792","-29.1683",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540483",NA,NA,NA,NA,"800","800","Magnoliophyta","Malpighiales","South America","sheet","NY00540483_01",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","540473","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"F. J. Fernández Casas","4183","1980","10","10","Paraguay","Canindeyú",NA,"Cerca de Salto del Guairá. Fazenda Sete Quedas, en bosque bajo y muy ralo que se desarrolla en las riberas del río Paraná",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540473",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","NY00540473_01",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","540472","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"J. M. Silva","1932","1997","04","13","Brazil","Paraná","Assaí","Rio Tibagi, próximo a barra do Rio Cerro Leao","-50.8414","-23.3733",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=81956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540472",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet","NY00540472_01",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1075496","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"W. R. Anderson","8268","1973","04","06","Brazil","Goiás","Cristalina","Rio Cristal, 44 km by road SE of Cristalina.","-47.33","-16.88",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336470' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075496",NA,NA,NA,NA,"980","980","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1075503","PreservedSpecimen","Plantae","Euphorbiaceae","Gymnanthes","schottiana","Gymnanthes schottiana","Müll.Arg.",NA,NA,"H. S. Irwin","11416","1966","01","06","Brazil","Distrito Federal","Brasília","Riberão Torto, near Sobradinho","-47.87","-15.72",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1336528' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075503",NA,NA,NA,NA,"975","975","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
