"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","preparationType","previousCatalogNumber"
"20","2016-03-15 09:04:08-03","MNHN","RECOLNAT_MNHN_P","P01167267","PreservedSpecimen",NA,NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Sellow",NA,NA,"Brésil","P01167267","P01167267_01",NA,NA,NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"Avec P04643801, P01167266 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01167267' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA
"21","2019-11-20 10:59:52-03","MNHN","RECOLNAT_MNHN_P","P04643800","PreservedSpecimen",NA,NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Warming, E.",NA,NA,"Brasil","P04643800","P04643800_01",NA,NA,NA,NA,NA,NA,"Ad Rio S. Margot.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04643800' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA
"22","2019-11-20 10:59:52-03","MNHN","RECOLNAT_MNHN_P","P04643801","PreservedSpecimen",NA,NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Gaudichaud, C.",NA,NA,"Brésil","P04643801","P04643801_01 P04643801_02",NA,"1833","1","1",NA,NA,"Brésil. Province de San-Paolo",NA,NA,NA,NA,NA,NA,"Avec P01167266, P01167267 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04643801' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,"641","hb",NA
"23","2019-11-20 10:59:52-03","MNHN","RECOLNAT_MNHN_P","P04643802","PreservedSpecimen",NA,NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Glaziou",NA,NA,"Brasil","P04643802","P04643802_01",NA,"1896","1","7","São Paulo",NA,"Campos da Bocaina.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04643802' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,"8263","hb",NA
"24","2019-11-20 10:59:52-03","MNHN","RECOLNAT_MNHN_P","P04643803","PreservedSpecimen",NA,NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Sellow",NA,NA,"Brasil","P04643803","P04643803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04643803' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA
"25","2019-11-20 10:59:37-03","MNHN","RECOLNAT_MNHN_P","P04643804","PreservedSpecimen",NA,NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Martius",NA,NA,"Brasil","P04643804","P04643804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04643804' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA
"26","2021-02-11 17:22:02-03","UFPR","UPCB","43739","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Augusto Gehrt",NA,NA,"Brasil",NA,NA,"Hoehne, W.","1930","06","18","São Paulo","São Paulo","Pinheiros","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-11 17:22:02-03","UFPR","UPCB","59392","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A.St.-Hil.","Kozera, C.","3336",NA,"Brasil",NA,NA,"Hatschbach, G.","2006","11","15","Paraná","Balsa Nova","Ponte dos Arcos.","-49.6356010437012","-25.5839004516602","27346","auto",NA,NA,"Herbácea, flores brancas, ca. 5cm de altura, sob vegetação da planície inundável (várzea)..","2006","01","01",NA,NA,NA,NA,NA,NA,NA,NA
"28","2009-07-09 17:05:00-03","MO","MOBOT","2476739","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A. St.-Hil.","Gert G. Hatschbach","Hatschbach 34917","South America","Brazil",NA,NA,NA,"1975","11","5","Paraná",NA,"Guaricana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2009-12-24 06:40:00-02","MO","MOBOT","3104490","PreservedSpecimen","Plantae",NA,"Violaceae","Viola","gracillima","Viola gracillima","A. St.-Hil.","Shunsuke Tsugaru|Yasuo Otsuka","Tsugaru B-2282","South America","Brazil",NA,NA,"J. Paula-Souza","1987","12","2","São Paulo",NA,"Bairro Caete, Municipio de São Roque, 50km W from São Paulo. On damp ground.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"850.00000000",NA,NA,NA,NA,NA
