"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","locality","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","typeStatus","relatedCatalogItem","previousCatalogNumber","individualCount","fieldNumber"
"1","2021-04-05 14:33:19-03","UNESC","CRI","4561","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","micrantha","Jacaranda micrantha","Cham.","V. C. Zanette","Zenaide P. Topanotti","1995","10","26","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","Habito: árvore","CRI001539","CRI001539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:02-03","UNESC","CRI","1049","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","micrantha","Jacaranda micrantha","Cham.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1991","10","24","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001564","CRI001564","1327","Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","4557","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","micrantha","Jacaranda micrantha","Cham.","Elaine T. G. Carvalho","Elaine T. G. Carvalho",NA,NA,NA,"Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4",NA,"CRI001540","CRI001540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:19-03","UNESC","CRI","7621","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","micrantha","Jacaranda micrantha","Cham.","Vanilde Citadini- Zanette","V. P. Boff","2008","12","07","Brasil","Santa Catarina","Urussanga","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48",NA,"CRI001704","CRI001704",NA,NA,"2008","07","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:19-03","UNESC","CRI","1098","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","micrantha","Jacaranda micrantha","Cham.","Daniel B. Falkenberg","Clair Maria Martinello; A. J. de Aguiar","1992","01","10","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S","110","110","Habitat: beira do rio Habito: árvore","CRI001537","CRI001537",NA,"Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:02-03","UNESC","CRI","1097","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","micrantha","Jacaranda micrantha","Cham.","Daniel de Barcellos Falkenberg","Clair Maria Martinello; Aurélio José de Aguiar","1992","01","10","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI001549","CRI001549",NA,"Rio Novo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 15:16:31-03","UNESC","CRI","13583","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","micrantha","Jacaranda micrantha","Cham.","Renato Colares","Alexandre Medeiros","2018","12","03","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Flores roxa. Coleta 825. Habito: Arbóreo","CRI012190",NA,NA,"Laranjeiras","2018","12","03","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","402824","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","micrantha","Jacaranda micrantha","Cham.",NA,"B. J. Pickel","1932","01","22","Brazil","Pernambuco",NA,"-35.18","-8.12",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402824","NY00402824_01 NY00402824_02","429","Tapera",NA,NA,NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2016-09-27 02:11:00-03","NY","NYBG","402636","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","micrantha","Jacaranda micrantha",NA,"I. de Vattimo","E. L. Little Jr.","1984","02","04","Paraguay","Canindeyú",NA,"-54.63","-24.13",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402636",NA,"40130","Katueté",NA,NA,NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","402621","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","micrantha","Jacaranda micrantha","Cham.","I. de Vattimo","G. G. Hatschbach","1968","12","07","Brazil","Paraná","Sao Jorge d'Oeste","-53.008927","-25.537385",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402621","NY00402621_01","20545","Rio Iguaçu, Salto Osório",NA,NA,NA,NA,NA,"Magnoliophyta","Lamiales","South America","sheet",NA,NA,NA,NA,NA,NA
