"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","infraspecificEpithet","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relationshipType","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01090689","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","campestris","Ipomoea campestris","Meisn.","J. R. I. Wood","H. S. Irwin","18770","1968","01","18","South America","Brazil","Goiás","Cocalzinho de Goiás","20 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.73","-15.75","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224958' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090689","NY01090689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01090728","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","campestris","Ipomoea campestris","Meisn.","J. R. I. Wood","H. S. Irwin","24377","1969","03","14","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 37 km north of Veadeiros","-47.5167","-13.78228","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225099' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090728","NY01090728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1013898","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","campestris","Ipomoea campestris","Meisn.","C. A. O'Donell","P. Clausen","290","1838",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106634' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013898","NY01013898_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01081049","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","campestris","Ipomoea campestris","Meisn.","J. R. I. Wood","G. Eiten","1493","1959","12","04","South America","Brazil","São Paulo","Moji-Guaçu","Campos das Sete Lagôas/ Fazenda Campininha, just north of Rio Moji-Guaçu. 15 km N. of Padua Sales. (About 27 km NW of city of Moji-Mirim.)",NA,NA,"575","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214757' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081049","NY01081049_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1013897","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","campestris","Ipomoea campestris","Meisn.","R. Simão-Bianchini","R. C. de Mendonça","93","1980","03","27","South America","Brazil","Goiás","Luziânia","Santo Antonio do Descoberto.","-47.9503","-16.2528",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106633' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013897","NY01013897_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","319165","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","campestris","Ipomoea campestris","Meisn.","C. A. O'Donell","J. E. B. Warming",NA,NA,NA,NA,"South America","Brazil","Minas Gerais","Lagoa Santa","Lagoa Santa","-43.8894","-19.6272",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319165","NY00319165_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","782188","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","campestris","Ipomoea campestris","Meisn.","J. R. I. Wood","M. H. Nee","49030","1998","04","18","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Third Anillo, W of campus of Universidad Autónoma 'Gabriel René Moreno', Santa Cruz de la Sierra.","-63.18","-17.77","420","420","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00782188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01090699","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","campestris","Ipomoea campestris","Meisn.","J. R. I. Wood","H. S. Irwin","20554","1968","02","20","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, ca. km 125 (ca. 150 km. N. of Belo Horizonte).","-43.38","-18.82","1450","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225003' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090699","NY01090699_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","319164","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","campestris","Ipomoea campestris","Meisn.","D. F. Austin","J. E. B. Warming",NA,NA,NA,NA,"South America","Brazil","Minas Gerais","Lagoa Santa","Prope Lagoa Santa","-43.8894","-19.6272",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319164","NY00319164_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1013896","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","campestris","Ipomoea campestris","Meisn.","D. F. Austin","E. P. Heringer","11283","1967","01","08","South America","Brazil","Distrito Federal","Brasília","Samambaia, Rio Corumbá.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106632' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013896","NY01013896_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
