"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","class","order","relatedCatalogItem","imagecode","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-30 12:47:56-03","EAO","IAN","50607","PreservedSpecimen","Plantae","Dicotiledônea","Rubiaceae","Ladenbergia","paraensis","Ladenbergia paraensis","Ducke","Chiquillo, E","2015","02","20","isotipo","Ducke, A","15572","1919","06","25","Southern America","Brasil","Pará","Gurupá","Margem inundada do Riacho Jacepí.","-51.6399993896484","-1.40499997138977","122528","Fruto, árvore pequena, flor branca, perfumada.","IAN050607","auto",NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:25:08-03","NBC","NL-BOTANY","U 0006065","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ladenbergia","paraensis","Ladenbergia paraensis","Ducke","Ducke A",NA,NA,NA,"isotype","Ducke A",NA,"1919","06","25","Southern America","Brazil","Pará",NA,"Jurupá (civ. Pará)rivuli Jacopy superioris",NA,NA,NA,"in silva paludosa ad ripas<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006065 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006065",NA,"Magnoliopsidae","Gentianales","63899","NL-U0006065",NA,NA,NA
"3","2020-02-08 09:25:08-03","NBC","NL-BOTANY","U.1571964","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ladenbergia","paraensis","Ladenbergia paraensis","Ducke","Andersson BL","1994","02","01",NA,"Lemos Fróes R de",NA,NA,NA,NA,"Southern America","Brazil","Pará",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1571964 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1571964",NA,"Magnoliopsidae","Gentianales","U 0028928","NL-U1571964",NA,NA,NA
"4","2011-03-24 10:04:00-03","MO","MOBOT","3451963","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ladenbergia","paraensis","Ladenbergia paraensis","Ducke","L. Andersson(GB)",NA,NA,NA,"Isotype","A. Ducke","Ducke 15572","1913","3","16","South America","Brazil","Pará",NA,"Estado do Pará. Gurupá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","1517627","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ladenbergia","paraensis","Ladenbergia paraensis","Ducke",NA,NA,NA,NA,"Type fragment","A. Ducke","15572","1919","6","25","South America - Neotropics","Brazil","Pará",NA,"Gurupa.",NA,NA,NA,NA,"US00479143",NA,"Dicotyledonae","Rubiales",NA,"US00479143_01","1",NA,NA
"6","2020-09-12 05:00:02-03","US","US","1518573","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ladenbergia","paraensis","Ladenbergia paraensis","Ducke",NA,NA,NA,NA,"Type fragment","A. Ducke","15572","1923","3","16","South America - Neotropics","Brazil","Pará",NA,"Gurupa, silva riparia Paludosa Rivuli Jacopy Superioris.",NA,NA,NA,NA,"US00479144",NA,"Dicotyledonae","Rubiales",NA,"US00479144_01","1",NA,NA
"7","2020-09-12 05:00:02-03","US","US","2267325","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ladenbergia","paraensis","Ladenbergia paraensis","Ducke",NA,NA,NA,NA,NA,"A. Ducke","15572","1919","6","25","South America - Neotropics","Brazil","Pará",NA,"Procedencia Gurupa, Para. marg. do riacho Jacopy",NA,NA,NA,NA,"US02365550",NA,"Dicotyledonae","Rubiales",NA,"US02365550_01","1",NA,NA
"8","2020-09-12 05:00:02-03","US","US","2267324","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ladenbergia","paraensis","Ladenbergia paraensis","Ducke",NA,NA,NA,NA,NA,"A. Ducke","15572","1919","6","25","South America - Neotropics","Brazil","Pará",NA,"Gurupa, Para. marg. do riacho Jacopy",NA,NA,NA,NA,"US02365549",NA,"Dicotyledonae","Rubiales",NA,"US02365549_01","1",NA,NA
"9","2019-09-04 20:05:11-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Ladenbergia","paraensis","Ladenbergia paraensis",NA,NA,NA,NA,NA,"Isotype","A. Ducke","15572",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"10","2015-03-17 13:16:55-03","F","FMNH-SEEDPLANTS","V0295910F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Ladenbergia","paraensis","Ladenbergia paraensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0295910F",NA,"Dicotyledoneae",NA,NA,"V0295910F_01",NA,NA,NA
"11","2019-01-23 10:11:07-02","F","FMNH-SEEDPLANTS","V0360119F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Ladenbergia","paraensis","Ladenbergia paraensis",NA,NA,NA,NA,NA,"Isotype","A. Ducke","15572",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0360119F",NA,"Dicotyledoneae",NA,NA,"V0360119F_01",NA,NA,NA
