"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","typeStatus"
"1","2020-09-23 10:36:36-03","E","E","270698","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","digitalis","Zeyheria digitalis","Proenca, C., Franca, F., Melo, E., Cardoso, C.F.Rozendo","58","1997","05","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:282658","<a href=http://data.rbge.org.uk/herb/E00270698 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00270698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:36-03","E","E","189659","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","montana","Zeyheria montana","Munhoz, C.",NA,"1998","09","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:207341","<a href=http://data.rbge.org.uk/herb/E00189659 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00189659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:36-03","E","E","189658","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","montana","Zeyheria montana","Lima, J.C.M.","84","1999","11","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:207340","<a href=http://data.rbge.org.uk/herb/E00189658 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00189658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","483788","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","digitalis","Zeyheria digitalis","J. R. Mattos","8274","1960","09","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483788","Magnoliophyta","Lamiales","(Vell.) Hoehne & Kuhlm.","L. B. Smith","São Paulo","Moji-Guaçu","Fazenda Campininha, 3,2 - 3,4 km NNW de Padua Sales. Em frente da sede.","-47.164784","-22.242395","NY00483788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","483782","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","digitalis","Zeyheria digitalis","R. M. Harley","19593","1977","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483782","Magnoliophyta","Lamiales","(Vell.) Hoehne & Kuhlm.","A. H. Gentry","Bahia",NA,"Serra das Almas. Lower NE slopes of the Pico das Almas, ca. 25 km WNW of the Vila do Rio de Contas.","-41.95","-13.55","NY00483782_01","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","483783","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","digitalis","Zeyheria digitalis","H. S. Irwin","31487","1971","03","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483783","Magnoliophyta","Lamiales","(Vell.) Hoehne & Kuhlm.","A. H. Gentry","Bahia","Barreiras","Valley of the Rio das Ondas. Espigao Mestre, near Barreiras airport, ca. 5 km NW of Barreiras.","-44.99","-12.15","NY00483783_01","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","886434","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","digitalis","Zeyheria digitalis","R. M. Harley","15374","1974","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886434","Magnoliophyta","Lamiales","(Vell.) Hoehne & Kuhlm.","A. H. Gentry","Bahia",NA,"About 3 km N of the town of Rio de Contas.","-41.83","-13.58","NY00886434_01","980","980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","483796","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","digitalis","Zeyheria digitalis","I. Mimura","386","1962","05","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483796","Magnoliophyta","Lamiales","(Vell.) Hoehne & Kuhlm.","J. J. Wurdack","São Paulo","Sao José dos Campos","Ca. 9,7 km SSE em linha reta da praça principal de Sao José dos Campos. Uma área disjuntiva de cerrado, de várias centenas de km2, rodeada antigamente por mata.","-45.88","-23.1703","NY00483796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","483793","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","digitalis","Zeyheria digitalis","I. Mimura","382","1962","05","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483793","Magnoliophyta","Lamiales","(Vell.) Hoehne & Kuhlm.","J. J. Wurdack","São Paulo","Sao José dos Campos","Ca. 9,7 km SSE em linha reta da praça principal de Sao José dos Campos. Uma área disjuntiva de cerrado, de várias centenas de km2, rodeada antigamente por mata.","-45.88","-23.1703","NY00483793_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","483797","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","digitalis","Zeyheria digitalis","G. Eiten","1900","1960","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483797","Magnoliophyta","Lamiales","(Vell.) Hoehne & Kuhlm.","J. J. Wurdack","São Paulo","Moji-Guaçu","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. Ca. 4 km NNW of Padua Sales. (About 27 km NW of city of Moji-Mirim)",NA,NA,"NY00483797_01","575","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
