"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","eventTime"
"1","2021-04-05 14:25:37-03","UNESC","CRI","13893","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","Fabio Longen","2018","07","29","Alexandre Medeiros","898","2018","07","29","Brasil","Santa Catarina","Balneário Camboriú","Barra (Praça da Figueira) APA Costa Brava","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Flores brancas Habitat: Terrestre Habito: Arbóreo","CRI012504","CRI012504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:37-03","UNESC","CRI","12641","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","Renato Colares & Aline V. Guislon","2017","09","18","Alexandre Medeiros",NA,"2017","07","16","Brasil","Santa Catarina","Balneário Camboriú","Quilombola.","-48.599722","-27.042222","48º35'59''W","27º2'32''S","Coleta 503. Fruto verde.","CRI010855","CRI010855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","14379","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","Kassner-Filho, A.","2018","02","19","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","2132","2018","02","19","Brasil","Santa Catarina","Witmarsum",NA,"-49.77","-26.91","49º46'12''W","26º54'36''S","flor branca Habitat: borda do fragmento florestal Habito: árvore","CRI013528","CRI013528","413","413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","15321","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","João Paulo Gava Just & Aline Votri Guislon","2020","08","01","Aline V. Guislon; João Gava Just",NA,"2020","08","01","Brasil","Santa Catarina","Nova Veneza","Centro.","-49.498333","-28.633056","49º29'54''W","28º37'59''S","Casca do tronco fissurada. Hábito Ciófito Cálice verde com 5 sépalas e corola com 5 pétalas. Habito: Arbóreo","CRI014738",NA,"82","82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:37-03","UNESC","CRI","12642","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","Aline Votri Guislon & Renato colares","2017","09","18","Alexandre Medeiros",NA,"2017","07","16","Brasil","Santa Catarina","Balneário Camboriú","Quilombola.","-48.599722","-27.042222","48º35'59''W","27º2'32''S","Flor branca. Fruto verde. Coleta 500.","CRI010856","CRI010856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:37-03","UNESC","CRI","5110","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","Marcos Sobral",NA,NA,NA,"Vanilde Citadini Zanette; V. P. Boff",NA,"1996","09","19","Brasil","Santa Catarina","Lauro Muller","Rio Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,"CRI004944","CRI004944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:37-03","UNESC","CRI","14460","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","Korte, A","2010","11","09","Korte, A.; Kniess, A.","4838","2010","10","29","Brasil","Santa Catarina","Biguaçu","Timbé. Timbé.","-48.690278","-27.361389","48º41'25''W","27º21'41''S","Florística IFFSC 430b (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Inicial; interior do fragmento Habito: arbórea; flor amarela","CRI013617","CRI013617","75","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:44-03","UNESC","CRI","12042","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha",NA,"2016","07","28","Brasil","Santa Catarina","Grão Pará",NA,"-49.392222","-28.156389","49º23'32''W","28º9'23''S","Habito: Arbóreo","CRI010220","CRI010220","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:37-03","UNESC","CRI","3135","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","Marcos Sobral",NA,NA,NA,"Vanilde Citadini-Zanette","1771","1992","08","18","Brasil","Santa Catarina","Treviso","Rio Ferreira.","-49.45","-28.5","49º27'W","28º30'S",NA,"CRI004943","CRI004943","147","147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:44-03","UNESC","CRI","9385","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","A. Stival-Santos","2010","01","25","A. Stival-Santos; E. Legal & S. Silveira","1308","2009","11","23","Brasil","Santa Catarina","Indaial","Faxinal do Bepe,Parque Nacional da Serra do Itajaí.","-49.179722","-27.116111","49º10'47''W","27º6'58''S","Floresta Ombrófila Densa Habitat: beira da Estrada Habito: arbórea","CRI004942","CRI004942","96","96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","579625","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","L. R. Landrum",NA,NA,NA,"L. R. Landrum","3979","1981","12","05","Brazil","Santa Catarina","Itajaí","Itajai, hills at S end of Playa Cabecudas.","-48.630681","-26.9317121",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579625","NY00579625_01","30","30","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","579618","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","L. R. Landrum",NA,NA,NA,"R. Reitz","2109","1954","09","24","Brazil","Santa Catarina","Itajaí","Cunjas, Itajaí","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579618","NY00579618_01","15","15","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","579623","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","L. R. Landrum",NA,NA,NA,"L. R. Landrum","3980","1981","12","05","Brazil","Santa Catarina","Itajaí","Itajai, hills at S end of Playa Cabecudas.","-48.630681","-26.9317121",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579623","NY00579623_01","30","30","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","579622","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","L. R. Landrum",NA,NA,NA,"L. R. Landrum","3981","1981","12","05","Brazil","Santa Catarina","Itajaí","Itajai, hills at S end of Playa Cabecudas.","-48.630681","-26.9317121",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450892' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579622","NY00579622_01","30","30","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","579620","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","reitziana","Campomanesia reitziana","D.Legrand","M. L. Kawasaki",NA,NA,NA,"L. R. Landrum","4000","1981","12","10","Brazil","Paraná","Antonina","Antonina, along road to Guaraquecaba.","-48.67","-25.33",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579620","NY00579620_01","100","100","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
