"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","639009","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","H. E. Luther","J. G. Jardim","2817","2000","02","24","South America","Brazil","Bahia","Santa Teresinha","14,5 km na rod. Elísio Medrado/Sta. Teresinha. Torre da Embratel, ca. 7 km do Distr. de Pedra Branca. Serra da Giboia.","-39.4758","-12.8536","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639009","NY00639009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2013-07-03 10:37:47-03","EBDA","BAH","5231","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Bastos, M.J.S.M","Jardim, J.G.","5231","2000","02","24",NA,"Brasil","Bahia","Santa Teresinha","Km 14,5 Rod. Elisio Medrado/Santa Teresinha. Serra da Giboia.","-39.475833","-12.853611",NA,"Planta terrestre. Folhas concolores verde-claras , bainha negra.Inflorescência amarela, brácteas vermelhas vinosas.",NA,NA,"2011","10","39W 28' 33","12S 51' 13","750","750",NA,NA,NA,NA,NA
"3","2020-02-14 14:11:10-03","UFBA","ALCB","024448","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Faria, APG de; Wendt, T; Sousa, LOF de","Queiroz, LP de; Mayo, S; Nadruz, M; Nunes, TS; Guedes, ML","2933","1992","12","08","Southern America","Brasil","Bahia","Castro Alves","Recôncavo Sul, Serra da Jibóia (Serra da Pioneira)","-39.466667","-12.85",NA,"flhas rosuladas, cartáceas, semi-suculentas, concolores. Escapo de ca. 1,5 - 1,7 m, com brácteas vermelhas. Raque secundária com brácteas amarelas, filetes marrons e estilete branco.; sobre afloramento granítico.","ALCB011309","ALCB011309 ALCB011309_1","2003","03","-39.466667","-12.85",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:27:31-03","UFBA","ALCB","59018","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","Versieux, LM","Jardim, JG; Aguiar, C; Sant'Ana, SC de; Juchum, F; Paixão, JL da","2817","2000","02","24","Southern America","Brasil","Bahia","Santa Teresinha","Recôncavo Sul, 14,5 km na rod. Elísio Medrado/Sta. Teresinha. Torre da Embratel, ca. 7 km do Distr. de Pedra Branca. Serra da Giboia.","-39.475833","-12.853611",NA,"Planta terrestre. Folhas concolores verde-claras, bainha negra. Inflorescência amarela, brácteas vermelhas vinosas. Foto.","ALCB011310","ALCB011310","2018","04","-39.475833","-12.853611","750","750","01",NA,NA,NA,NA
"5","2020-11-04 11:03:42-03","ESALQ","ESA","120986","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii",NA,"Souza, E.H.","Souza, E.H.","1.0","2012","11","01",NA,"Brasil","Bahia","Santa Teresinha","Serra da Jibóia","-39.5233001708984","-12.771900177002",NA,NA,"ESA120986","ESA120986_1 ESA120986_2 ESA120986_3","2012",NA,NA,NA,NA,NA,NA,"25196","auto",NA,NA
"6","2021-01-14 15:25:33-03","MN","R","225213","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R. Grant","Couto, D.R.","Couto, D.R. 3148; Kessous, I.M. & Neves, B.",NA,"2015","03","21",NA,"Brasil","Bahia","Santa Teresinha","Pedra Branca, Serra da Jibóia","-39.475556","-12.854167",NA,NA,"R010004450","R010004450 R010004450_1 R010004450_2","2015","03","39°28'32#?#W","12°51'15#?#S","832","832","22",NA,NA,NA,NA
"7","2021-01-14 15:25:33-03","MN","R","214024","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R. Grant","Moura, R.","Moura, R. 735; Oliveira, A.",NA,"2008","11","17",NA,"Brasil","Bahia","Santa Teresinha",NA,"-39.5233001708984","-12.771900177002",NA,NA,"R010004429","R010004429 R010004429_1 R010004429_2 R010004429_3","2011","07",NA,NA,NA,NA,"26","25196","auto",NA,NA
"8","2021-03-04 11:04:38-03","UFRB","HURB","22160","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant",NA,"Carvalho, A.A.; Souza, E.H.","PE0041","2018","09","22",NA,"Brasil","Bahia","Milagres","BA 026, Estrada Amargosa-Milagres; Serra do Jatobá","-39.8588981628418","-12.8699998855591",NA,NA,"HURB000022160","HURB000022160",NA,NA,NA,NA,NA,NA,NA,"24432","auto",NA,NA
"9","2021-03-04 11:04:38-03","UFRB","HURB","9416","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant","E.H.Souza","Bastos, M.J.S.M.",NA,"2015","03","25",NA,"Brasil","Bahia","Santa Teresinha","Serra da Jibóia;","-39.5233001708984","-12.771900177002",NA,NA,"HURB000009416","HURB000009416",NA,NA,NA,NA,NA,NA,NA,"25196","auto",NA,NA
"10","2021-03-04 11:04:38-03","UFRB","HURB","20202","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Alcantarea","nahoumii","Alcantarea nahoumii","(Leme) J.R.Grant",NA,"Caiafa, A. N.; Cruz, A.R. da; Conceição, H.R.","273","2008","11","14",NA,"Brasil","Bahia","Santa Terezinha","Serra da Jibóia;","-39.5233001708984","-12.771900177002",NA,"Quando friccionadas, liberam uma secreção viscosa (mucilagem)..","HURB000020202",NA,NA,NA,NA,NA,NA,NA,NA,"25196","auto",NA,NA
